time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss
224,155648,692,-3.69283551,969.98,76,0.0728515625,0.0003,750,40.525309001654385,0.8541043102741241,-0.7926068343222141,0.0043933955,0.2,-0.00041316469723824413,32.887393951416016
228,157696,690,-3.2868013799999996,967.86,77,0.079833984375,0.0003,760,22.74915084373206,0.8803339749574661,-0.8527356311678886,0.006060193,0.2,-0.0022609620849834756,0.70680171251297
232,159744,686,-3.0026988600000006,967.86,78,0.031640625,0.0003,770,42.39016138128936,0.615777850151062,-0.7521449012681842,0.00521216,0.2,-0.0024181003227568,2.978886604309082
235,161792,686,-3.9404437500000005,967.86,79,0.07705078125,0.0003,780,31.56425466388464,0.684663712978363,-0.7422713132575154,0.00809381,0.2,-0.0033005649253027513,2.3268985748291016
240,163840,681,-3.276877030000001,967.86,80,0.076318359375,0.0003,790,25.30910467915237,0.8985527083277702,-0.7954103069379925,0.009246941,0.2,-0.0016306348668877035,1.7236148118972778
243,165888,681,-1.9272602699999992,965.82,81,0.071630859375,0.0003,800,36.66542321182787,0.8386076241731644,-0.8297444064170122,0.0064516254,0.2,-0.0027877957611053715,0.6346811652183533
247,167936,679,-2.562062129999999,964.13,82,0.025439453125,0.0003,810,45.83182434476912,0.7510988861322403,-0.777942918986082,0.0040559936,0.2,-0.0009179426946502644,2.486264944076538
250,169984,677,-2.071222669999999,964.13,83,0.06171875,0.0003,820,86.15951583459973,0.6381736397743225,-0.7750120179727673,0.007546887,0.2,-0.0032183254974370358,2.600015878677368
253,172032,677,-3.155869869999998,964.13,84,0.061767578125,0.0003,830,28.698039585724473,0.8601846247911453,-0.7991712693125009,0.005896748,0.2,-0.0035136139347741848,5.655284404754639
257,174080,676,-2.1479282199999985,964.13,85,0.082666015625,0.0003,840,27.457676384225486,0.9100703299045563,-0.7679650653153658,0.0077374033,0.2,-0.0017119701995397917,1.5001294612884521
260,176128,676,-1.0888393099999991,966.32,86,0.072119140625,0.0003,850,55.02469859421253,0.5730101764202118,-0.7712114050984382,0.0079905,0.2,-0.004096024918544572,17.660921096801758
263,178176,675,-1.6262857099999986,966.32,87,0.050341796875,0.0003,860,24.43111374117434,0.8772953599691391,-0.7913201360031963,0.0064570163,0.2,-0.0008137199503835291,0.6361740231513977
267,180224,674,0.5717077600000002,965.69,88,0.05107421875,0.0003,870,26.560760017856957,0.868533119559288,-0.6509470960125328,0.00400744,0.2,-0.0027472982001199853,0.9697556495666504
271,182272,671,-0.61697571,965.69,89,0.048388671875,0.0003,880,51.92819387223572,0.5624875128269196,-0.7521185711026191,0.004553402,0.2,-0.002992854827607516,277.95703125
274,184320,671,1.5498180800000017,966.06,90,0.108251953125,0.0003,890,36.60798272676766,0.8338523060083389,-0.813015666604042,0.014411571,0.2,-0.008273218864633235,0.9400786757469177
277,186368,671,2.074154410000001,963.13,91,0.057470703125,0.0003,900,29.829628808051346,0.7611698359251022,-0.7608600430190563,0.0062181186,0.2,-0.003604381838522386,1.6722636222839355
281,188416,669,2.1778222200000013,963.13,92,0.0265625,0.0003,910,69.4656127281487,0.5903937518596649,-0.7019717184826731,0.00220019,0.2,-0.00024203693501476665,5.277833938598633
284,190464,668,3.106380020000002,960.64,93,0.058544921875,0.0003,920,37.429864967428145,0.844732254743576,-0.7675122110173106,0.011260295,0.2,-0.0042861828347668055,0.5357003211975098
289,192512,665,3.0470372500000007,960.64,94,0.0939453125,0.0003,930,45.59459323436022,0.3933064937591553,-0.6967201348394155,0.0048277583,0.2,-0.0028895401490444785,165.34930419921875
293,194560,663,5.62577715,963.93,95,0.09697265625,0.0003,940,40.91383511461318,0.8088307082653046,-0.7704067829996347,0.020758789,0.2,-0.006365248966903892,1.780618667602539
297,196608,661,3.4868714,960.26,96,0.02919921875,0.0003,950,56.61090122237802,0.4777543544769287,-0.7327663248404861,0.003262803,0.2,-0.0013331755486433393,28.214984893798828
300,198656,660,6.70787781,961.74,97,0.07734375,0.0003,960,94.74952742233873,0.5880144834518433,-0.761073786765337,0.006734921,0.2,-0.0034282712174899645,2.0702528953552246
303,200704,660,5.604534470000001,962.49,98,0.066259765625,0.0003,970,41.127202162332836,0.7973098456859589,-0.7299260459840298,0.005742563,0.2,0.0003048281010705978,1.4145969152450562
306,202752,660,4.409990100000001,957.84,99,0.065869140625,0.0003,980,46.337776782177386,0.6895973682403564,-0.7850651577115059,0.004451749,0.2,-0.0011870753558469004,1.847357988357544
309,204800,661,4.14420504,955.76,100,0.031640625,0.0003,990,106.45718024224043,0.5242538452148438,-0.7195294372737407,0.0068252077,0.2,-0.0009688612015452236,4.16565465927124
313,206848,660,4.18281637,955.76,101,0.031396484375,0.0003,1000,88.05445872358978,0.6183034777641296,-0.7349990939721465,0.004200808,0.2,-0.0012377404933431534,11.628474235534668
316,208896,659,3.42154811,955.76,102,0.07919921875,0.0003,1010,38.33153952844441,0.8915746510028839,-0.6674706960096956,0.011411869,0.2,-0.002227625306113623,1.3185604810714722
319,210944,659,3.6357233200000008,955.76,103,0.087255859375,0.0003,1020,31.28210088685155,0.8662201166152954,-0.7835421131923794,0.0064674374,0.2,-0.0024394036299781874,0.714820146560669
323,212992,657,4.5583759200000005,953.89,104,0.0884765625,0.0003,1030,31.31847596652806,0.8446293622255325,-0.6621291909366847,0.0076204324,0.2,-0.0032528808784263673,0.3916904032230377
327,215040,655,4.949563860000001,953.89,105,0.06484375,0.0003,1040,45.11299553215504,0.5811455547809601,-0.7965866737067699,0.010383973,0.2,-0.0017254893806239124,0.5659494400024414
330,217088,656,3.9693413300000002,946.99,106,0.090185546875,0.0003,1050,31.43022798448801,0.8107460588216782,-0.7522953368723393,0.0061196107,0.2,-0.0033578991962713188,0.473639577627182
334,219136,654,8.63792035,943.8,107,0.0146484375,0.0003,1060,124.02341993302107,0.5348118841648102,-0.7040850803256035,0.0007322069,0.2,-0.00012560448776639533,24.21387481689453
337,221184,655,7.210107890000001,945.65,108,0.0337890625,0.0003,1070,101.54408896490932,0.47442781925201416,-0.715166182257235,0.002253253,0.2,-0.0008772044737270334,7.73657751083374
341,223232,654,7.07289533,945.07,109,0.05263671875,0.0003,1080,33.520699669606984,0.7854354083538055,-0.7264472739771008,0.0065991003,0.2,-0.003650545388518367,0.8008463978767395
344,225280,653,5.463740900000001,941.0,110,0.031396484375,0.0003,1090,80.79255208857357,0.6662354171276093,-0.764388932287693,0.0024067212,0.2,0.00028361193872115107,31.908281326293945
349,227328,651,5.81863169,941.0,111,0.098046875,0.0003,1100,78.71287905611098,0.6311585605144501,-0.7875804843381047,0.0076780505,0.2,-0.00211655765742762,1.6263489723205566
352,229376,650,6.25521804,937.06,112,0.10595703125,0.0003,1110,39.15761269722134,0.8261629194021225,-0.8184949139133095,0.01786438,0.2,-0.003152748637512559,0.7769912481307983
356,231424,649,5.486086329999999,937.3,113,0.026416015625,0.0003,1120,53.2788914848119,0.48316365480422974,-0.6614082254469394,0.0034482006,0.2,-0.0002476979872881202,4.55942964553833
359,233472,649,9.9419688,936.37,114,0.099072265625,0.0003,1130,34.73496781866997,0.7172605991363525,-0.8055913420394063,0.007830957,0.2,-0.001975634654809255,2.47965407371521
362,235520,648,10.585105969999999,936.37,115,0.06474609375,0.0003,1140,68.46402099654078,0.7846971303224564,-0.7231322756037116,0.0036989637,0.2,-0.0014148786027362802,5.646600246429443
366,237568,648,10.18957441,932.56,116,0.15126953125,0.0003,1150,32.65520898699761,0.7382810115814209,-0.7837278787046671,0.010493508,0.2,-0.004848640201089438,2.7458176612854004
369,239616,648,9.183438259999997,929.09,117,0.051904296875,0.0003,1160,47.35737990811467,0.7201377749443054,-0.7194940507411957,0.005803927,0.2,-0.002727452515682671,6.961007595062256
372,241664,648,9.10876459,925.17,118,0.091650390625,0.0003,1170,78.22275101728738,0.6576359570026398,-0.7619621468707919,0.0066277366,0.2,-0.002419762057979824,0.5793889164924622
376,243712,647,10.596189379999998,926.16,119,0.062939453125,0.0003,1180,45.70197322834283,0.8265610039234161,-0.7095204859972,0.004861841,0.2,-0.0015464622014405905,1.7581102848052979
379,245760,646,8.934462589999997,925.33,120,0.133740234375,0.0003,1190,33.161011572554706,0.7955937087535858,-0.7957719115540385,0.008025135,0.2,-0.005968048361683032,1.5824602842330933
382,247808,647,8.632525879999998,925.33,121,0.060205078125,0.0003,1200,124.85481414347888,0.6169886589050293,-0.736339887790382,0.007525293,0.2,-0.0029216732633358332,20.797515869140625
385,249856,647,6.80342745,918.37,122,0.10869140625,0.0003,1210,31.22452965993434,0.8372073620557785,-0.8350720629096031,0.009131804,0.2,-0.0020025160236400554,1.1462661027908325
390,251904,645,7.66392061,918.37,123,0.0619140625,0.0003,1220,89.24805187359452,0.6493821144104004,-0.7516262155026198,0.005050146,0.2,-0.0013633709557325346,15.302477836608887
2,2048,952,-144.5,720.5,1,0.07333984375,0.0003,1230,40.412521409150216,0.826339840888977,-0.7324451006948948,0.004310079,0.2,-0.00016645628638798371,1.6042249202728271
5,4096,752,-127.96,860.25,2,0.085205078125,0.0003,1240,45.95636915303767,0.6611829102039337,-0.7815603956580162,0.008931597,0.2,-0.0028635390117415227,2.502455234527588
