time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/n_updates,train/loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/explained_variance
28,20480,10,-498.0684950714286,706,711.0,0.1494140625,0.008877926,0.0003,97.37260164171457,1320,17.989744186401367,-0.7195757761597633,0.2,-0.0017401034783688374,0.8407370299100876
32,22528,11,-503.64359322580646,699,712.1290322580645,0.031005859375,0.0032670288,0.0003,153.64290573894976,1330,42.919700622558594,-0.7349979054182768,0.2,-0.0007351500480581308,0.5525469481945038
34,24576,12,-499.1799635588235,704,701.7352941176471,0.115576171875,0.011122121,0.0003,98.72622052878141,1340,294.73974609375,-0.744910129532218,0.2,-0.0010422455350635573,0.7864651381969452
37,26624,13,-503.3860558648649,708,711.0540540540541,0.058154296875,0.007803083,0.0003,133.57300832271576,1350,373.73590087890625,-0.6469196245074272,0.2,-0.0030949695013987367,0.7948367595672607
40,28672,14,-497.57928575000005,711,709.8,0.1330078125,0.016543385,0.0003,116.44117605909705,1360,3.430178642272949,-0.6110158518888056,0.2,-0.001874384464827017,0.8548155128955841
43,30720,15,-493.98209751162796,709,706.1162790697674,0.04921875,0.009779841,0.0003,156.85435757637023,1370,64.52872467041016,-0.6391851844266057,0.2,-0.004017694395588478,0.7568556517362595
46,32768,16,-493.37072280434785,704,708.304347826087,0.034375,0.004118789,0.0003,145.79008269309998,1380,10.128388404846191,-0.7046342303976416,0.2,-0.003131730433233315,0.7726745903491974
50,34816,17,-502.08140664583334,696,713.1041666666666,0.040087890625,0.0033651525,0.0003,127.66884484291077,1390,13.813395500183105,-0.652592652104795,0.2,-0.0027620697976090012,0.8761313334107399
52,36864,18,-508.38437100000004,696,718.6078431372549,0.072705078125,0.0074975993,0.0003,55.14554499909282,1400,48.533451080322266,-0.7671048218384385,0.2,-0.0010700356302550062,0.8555781692266464
55,38912,19,-517.0377973703704,698,718.0185185185185,0.058984375,0.005717856,0.0003,128.94921786487103,1410,47.297672271728516,-0.7241731638088822,0.2,-0.0014694620185764506,0.8571811467409134
58,40960,20,-527.4919728035713,702,727.8035714285714,0.07783203125,0.007355841,0.0003,147.11169516965748,1420,377.6123962402344,-0.7515902519226074,0.2,-0.003441601769736735,0.7139424085617065
62,43008,21,-529.7621966724138,688,737.1896551724138,0.079443359375,0.004502264,0.0003,59.34622845202684,1430,9.006096839904785,-0.7886359078809619,0.2,0.00010842875562957487,0.7708696871995926
