rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/loss,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate
903.32,706,120,347,245760,-19.760347369999998,73.80847386717797,1190,57.896854400634766,0.006031448,-0.8289167303591967,-0.0009907938096148428,0.34477680921554565,0.2,0.05703125,0.0003
900.37,707,121,350,247808,-21.331952459999997,24.022260977327825,1200,2.0545709133148193,0.005267039,-0.8171426070854068,-0.0001598873408511281,0.5817694962024689,0.2,0.075341796875,0.0003
892.71,706,122,353,249856,-22.865278469999993,63.17789017260075,1210,10.548480033874512,0.0047646556,-0.794654443487525,0.0012252336775418371,0.8866019025444984,0.2,0.036962890625,0.0003
892.71,705,123,357,251904,-23.491552479999996,44.389674216508865,1220,12.168854713439941,0.006996962,-0.8449519835412502,-0.004639165426488035,0.7611110061407089,0.2,0.064404296875,0.0003
1000.0,775,1,2,2048,-868.5695335,14.875719839334488,1230,2.9619834423065186,0.0036284183,-0.8371112639084458,0.0009515634519630112,0.9511524103581905,0.2,0.051220703125,0.0003
649.3333333333334,818,2,5,4096,-619.5002175000001,40.70002070814371,1240,2.479588270187378,0.0065846825,-0.8076713476330042,0.00119038448901847,0.9108759015798569,0.2,0.08955078125,0.0003
679.2222222222222,720,3,8,6144,-649.6035717777779,100.76382387876511,1250,33.18688201904297,0.00785271,-0.8324511153623462,-0.0018939788555144333,0.710037112236023,0.2,0.0791015625,0.0003
737.5454545454545,682,4,12,8192,-697.258030909091,51.361595515906814,1260,2.829007387161255,0.005112322,-0.810770520940423,-0.0012855409877374768,0.7417308688163757,0.2,0.058984375,0.0003
777.9230769230769,658,5,15,10240,-723.3560754615386,30.852150463312864,1270,3.399679660797119,0.007781048,-0.785745595023036,-0.0016823167003167327,0.5991902649402618,0.2,0.080419921875,0.0003
770.0666666666667,686,6,17,12288,-732.0443530000001,28.00672773644328,1280,2.61468505859375,0.009810278,-0.8013566030189395,-0.001429955208732281,0.548406720161438,0.2,0.076318359375,0.0003
762.0,699,7,20,14336,-722.8754165,14.703326154500246,1290,1.5389684438705444,0.0070760064,-0.7966604437679052,-0.0009336877352325246,0.9218058660626411,0.2,0.074169921875,0.0003
785.8,695,8,23,16384,-740.4467147,29.96691431850195,1300,2.530208110809326,0.007487626,-0.7932505475357174,-0.0030654078043880874,0.6027735769748688,0.2,0.0828125,0.0003
805.2727272727273,656,9,28,18432,-752.9131143636364,10.50170174241066,1310,1.9909368753433228,0.0070183496,-0.8005952278152109,-0.006056646133220056,0.7020835876464844,0.2,0.08369140625,0.0003
821.5,655,10,31,20480,-765.6425009166666,15.183602908998727,1320,49.47502517700195,0.011177262,-0.7750446686521173,-0.0026033209782326595,0.4342600107192993,0.2,0.090673828125,0.0003
835.2307692307693,655,11,34,22528,-774.2467699615383,14.206719164550304,1330,3.0686440467834473,0.007979412,-0.7987898375838995,-0.003376663568633376,0.35875821113586426,0.2,0.088037109375,0.0003
