time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction
206848,101,534.16,62.11372336999999,768,269,0.5059398710727692,1000,0.2,-0.003944506211701082,234.83334350585938,0.0003,-0.7866141268983483,219.06106131374835,0.0028955461,0.03876953125
208896,102,539.9,61.76914710999999,768,271,0.6264947354793549,1010,0.2,-0.004039387083503243,392.79852294921875,0.0003,-0.7273114057257771,169.47565548717975,0.003952916,0.03623046875
210944,103,532.83,56.509226250000005,769,274,0.8195600658655167,1020,0.2,-0.005790223148505902,9.376701354980469,0.0003,-0.7448034547269344,114.12696451246738,0.011800221,0.1203125
212992,104,520.8,54.74392701000001,770,276,0.7048382461071014,1030,0.2,-0.003804346336983144,14.671621322631836,0.0003,-0.8225849520415067,217.84989981651307,0.0040886384,0.04384765625
215040,105,511.09,52.9693793,771,278,0.6279929578304291,1040,0.2,-0.0014616168817155994,197.53469848632812,0.0003,-0.7853994056582451,139.128914219141,0.00382931,0.0474609375
217088,106,503.37,49.65677068000001,772,280,0.3219185471534729,1050,0.2,-0.004510536611269345,20.5625057220459,0.0003,-0.8150040982291102,254.11433405876159,0.0050135944,0.05859375
219136,107,500.01,47.23427979,773,283,0.45507264137268066,1060,0.2,-0.002682859648120939,168.32247924804688,0.0003,-0.8137947371229529,235.1063647776842,0.0027319696,0.0341796875
221184,108,501.36,44.335393460000006,774,285,0.7822421044111252,1070,0.2,-0.0010835451706952882,15.88092041015625,0.0003,-0.6668927101418376,124.79219143241644,0.0023542088,0.02783203125
223232,109,501.28,42.97938866,775,287,0.5510921478271484,1080,0.2,-0.003929726402566303,109.2714614868164,0.0003,-0.7589400762692093,196.76386972069741,0.005893478,0.063330078125
225280,110,498.6,43.53023419,775,290,0.7501228004693985,1090,0.2,-0.003224849869729951,161.06192016601562,0.0003,-0.6798399010673165,186.52425834834577,0.011036375,0.0876953125
227328,111,493.39,41.461230079999986,777,292,0.6121530830860138,1100,0.2,-0.0032976565053104423,26.263080596923828,0.0003,-0.8127390194684267,182.11491172611713,0.007795663,0.112109375
229376,112,485.35,41.19680074,778,294,0.47179192304611206,1110,0.2,-0.0015672696214096503,99.83616638183594,0.0003,-0.8353167772293091,252.44964905381204,0.003592729,0.032958984375
231424,113,480.54,41.845637319999994,779,296,0.6507681012153625,1120,0.2,-0.003964294298930327,20.950885772705078,0.0003,-0.7289855288341641,156.42443193495274,0.0031990078,0.037109375
233472,114,480.97,41.56641193,778,299,0.7111331224441528,1130,0.2,-0.0018683331960346549,60.49177551269531,0.0003,-0.7670750653371214,198.28712860643864,0.002573029,0.0404296875
235520,115,482.21,37.349819520000004,779,302,0.7595502287149429,1140,0.2,-0.006231552380631911,256.51995849609375,0.0003,-0.7225396046414971,155.19385145008565,0.0053074975,0.048193359375
237568,116,480.94,36.08384208999999,780,304,0.7539116144180298,1150,0.2,-0.0031963562043529235,21.870243072509766,0.0003,-0.6109859543852508,156.08052425086498,0.011544638,0.0900390625
239616,117,473.12,39.03174655,782,306,0.7811514586210251,1160,0.2,-0.0017690016837150324,16.141630172729492,0.0003,-0.7807820850983263,152.28033158928156,0.0089419875,0.10166015625
241664,118,464.6,36.56696598,783,308,0.3787880539894104,1170,0.2,-0.004390838807739783,365.1289978027344,0.0003,-0.8086404463276267,190.38211967647075,0.0048700674,0.081103515625
243712,119,465.48,35.908039239999994,784,310,0.505514919757843,1180,0.2,-0.005066257843282074,23.140779495239258,0.0003,-0.7849682848900557,240.70937740802765,0.003836866,0.035693359375
245760,120,448.53,36.18361638999999,785,312,0.7856075018644333,1190,0.2,-0.003260241113457596,10.201621055603027,0.0003,-0.6874236891046166,108.2684195354581,0.0091505665,0.098388671875
247808,121,439.36,34.97951279,787,314,0.5958536863327026,1200,0.2,-0.0018447125454258638,37.76370620727539,0.0003,-0.8054479461163282,241.62730466723443,0.0027539725,0.033447265625
249856,122,430.77,36.47447766999999,788,317,0.6248630583286285,1210,0.2,-0.005831942876102403,75.1197280883789,0.0003,-0.7412590105086565,283.6151656985283,0.0053698393,0.028955078125
251904,123,415.96,35.574342140000006,789,319,0.6341874897480011,1220,0.2,-0.0028600698613445276,24.093557357788086,0.0003,-0.7860578499734402,123.38129738569259,0.0050034197,0.049755859375
2048,1,360.0,-186.1884548,1288,1,0.5089646279811859,1230,0.2,-0.00403046571809682,19.237314224243164,0.0003,-0.838091691955924,216.4415069103241,0.0057130763,0.057666015625
4096,2,368.90909090909093,-204.19038590909094,1060,3,0.5778726041316986,1240,0.2,-0.0019181103081791662,41.78130340576172,0.0003,-0.7999197984114289,175.12039934694766,0.00518163,0.075341796875
6144,3,373.93333333333334,-201.07485886666666,1004,6,0.6661232113838196,1250,0.2,-0.0038355087453965098,21.402355194091797,0.0003,-0.7525148009881377,198.40013329088688,0.0074586067,0.087255859375
