time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss
117,915,239616,47.70054303,261,340.62,0.002971287,-0.00019108161723124795,0.2,0.0003,0.02294921875,250.3341794848442,-0.5862565774470567,1160,0.4694061279296875,102.74543762207031
118,915,241664,48.384911669999994,263,345.53,0.0067288224,-0.0012041328562190756,0.2,0.0003,0.054248046875,188.61882706284524,-0.5675014493055641,1170,0.6603057086467743,169.51156616210938
119,916,243712,50.57005256999999,265,350.95,0.01668563,-0.0016418137744039995,0.2,0.0003,0.0787109375,141.07628453969954,-0.6220262762159109,1180,0.6288202404975891,16.031885147094727
120,917,245760,50.27516857,267,352.91,0.0047426713,-0.002325664043746656,0.2,0.0003,0.05302734375,189.76762011051179,-0.5752610985189677,1190,0.696819007396698,389.9248962402344
121,918,247808,42.128201020000006,269,344.06,0.0070035383,-0.003669281351176323,0.2,0.0003,0.074951171875,240.31618643403053,-0.6009046233259141,1200,0.7429254353046417,24.47063636779785
122,919,249856,45.08488561,271,345.89,0.0060359444,-0.006895374814484967,0.2,0.0003,0.060791015625,274.7386811435223,-0.7338531039655208,1210,0.73092982172966,72.1986083984375
123,920,251904,42.72943959,273,347.73,0.0035337345,-0.0010955300425848692,0.2,0.0003,0.033349609375,173.5596801966429,-0.6381994491443038,1220,0.5822831094264984,52.50041198730469
1,1337,2048,-151.58,1,379.8,0.005297034,-0.0013302485429449006,0.2,0.0003,0.05009765625,207.80219883322715,-0.6246571647003293,1230,0.7657105475664139,10.194053649902344
2,1227,4096,-174.3375,3,332.5833333333333,0.011459904,-0.0012860374750744085,0.2,0.0003,0.10927734375,90.03753697872162,-0.6609603902325034,1240,0.5189299881458282,11.946483612060547
3,1168,6144,-192.425,5,324.6111111111111,0.0055008493,-0.002196198466117494,0.2,0.0003,0.07255859375,131.4113024830818,-0.630085794813931,1250,0.7295361757278442,45.43389892578125
4,1142,8192,-201.06799999999998,7,321.72,0.007754371,-0.003432970329595264,0.2,0.0003,0.101513671875,112.50748970806599,-0.685435070283711,1260,0.7650022506713867,34.50457000732422
5,1115,10240,-202.57931034482755,9,334.51724137931035,0.0029317641,-0.003234778036858188,0.2,0.0003,0.080126953125,100.5216994613409,-0.7016578609123826,1270,0.8568332642316818,21.187864303588867
6,1115,12288,-191.76666666666668,11,339.3611111111111,0.024058066,-0.005717932053084951,0.2,0.0003,0.1021484375,114.1499618113041,-0.48569931704550984,1280,0.8476656824350357,36.031707763671875
7,1111,14336,-191.52380952380952,12,336.76190476190476,0.0048579136,-0.0024438682543404867,0.2,0.0003,0.05,178.25801607370377,-0.5684453566558659,1290,0.8349697589874268,56.326080322265625
