time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates
202752,294,49.94518003000001,687,99,722.2,0.095166015625,-0.7657252406701446,0.2,55.92239170521498,13.13957691192627,-0.002596233321673935,0.8222900032997131,0.009178341,0.0003,980
204800,298,49.71267667000002,686,100,730.75,0.046728515625,-0.7578463789075613,0.2,137.2284946680069,35.942054748535156,-0.00306438416664605,0.56643146276474,0.0070203883,0.0003,990
206848,301,45.662673840000004,686,101,730.33,0.059912109375,-0.6338830448687076,0.2,31.16904768683016,4.212756633758545,0.001319561915443046,0.8574153184890747,0.0036168455,0.0003,1000
208896,304,47.930161559999995,686,102,733.42,0.06064453125,-0.7323708919808268,0.2,194.78923467546701,103.39031219482422,-0.00120272010062763,0.5928938388824463,0.0057602003,0.0003,1010
210944,307,45.33430312,686,103,723.19,0.056396484375,-0.7616075273603201,0.2,54.23863666653633,165.50613403320312,-0.0027557439338124824,0.8395091593265533,0.0063173743,0.0003,1020
212992,310,45.47956496,686,104,721.52,0.076953125,-0.7223154492676258,0.2,116.16486593782902,24.117996215820312,-0.003009895933791995,0.5475718975067139,0.010358289,0.0003,1030
215040,313,47.49151559,686,105,717.07,0.0849609375,-0.7411545976996422,0.2,46.78145630210638,1.7367035150527954,-0.0005799004888103809,0.7835860848426819,0.0074318675,0.0003,1040
217088,316,45.50864574,686,106,711.17,0.048828125,-0.7025465037673712,0.2,82.02624197602272,9.26606273651123,-0.0029828358521626795,0.6609641313552856,0.0018742555,0.0003,1050
219136,319,42.498375160000016,686,107,708.82,0.05078125,-0.6864528637379408,0.2,124.23736048415303,292.4385986328125,-0.0009172339428914711,0.5984674990177155,0.001957255,0.0003,1060
221184,322,43.518822069999985,686,108,709.28,0.0529296875,-0.7750772839412093,0.2,93.86143740043045,26.62516212463379,0.0005982476097415202,0.6232154071331024,0.006023224,0.0003,1070
223232,324,45.16378329,686,109,703.01,0.034619140625,-0.7013082683086396,0.2,75.54170352965593,9.612151145935059,-0.0011738952627638355,0.6584939360618591,0.0040387614,0.0003,1080
225280,328,43.225047520000004,686,110,698.46,0.048974609375,-0.6618811881169677,0.2,95.35312020778656,33.86235427856445,-0.004923098019207828,0.6006486117839813,0.0051082866,0.0003,1090
227328,331,37.83687134,686,111,693.95,0.05849609375,-0.6910975871607661,0.2,159.54354075342417,19.870868682861328,-0.002453853240876924,0.590961217880249,0.011586571,0.0003,1100
229376,333,36.28252841,686,112,689.17,0.07392578125,-0.7223196884617209,0.2,168.64154641032218,96.9603500366211,-0.0014499247165076668,0.5666312873363495,0.007337506,0.0003,1110
231424,337,40.22703781,686,113,687.75,0.05224609375,-0.7004007246345282,0.2,116.19387418329715,68.10154724121094,-0.00045284959214768604,0.5980972647666931,0.003952751,0.0003,1120
233472,340,43.732958790000005,685,114,686.14,0.071533203125,-0.7045007083564997,0.2,70.05530702248215,2.2232532501220703,-0.001848284735751804,0.8032298386096954,0.007849158,0.0003,1130
235520,343,44.918247310000005,685,115,682.74,0.088623046875,-0.7582911521196365,0.2,68.52810914367437,6.348983287811279,-0.0033592029940336943,0.729881078004837,0.006566711,0.0003,1140
237568,346,46.13842586,685,116,676.46,0.04130859375,-0.6198923964053392,0.2,100.81565952971577,33.714229583740234,-0.003625209392703255,0.43794262409210205,0.0030882843,0.0003,1150
239616,349,48.856765149999994,685,117,676.66,0.0701171875,-0.7374689124524594,0.2,61.048074210807684,3.7725613117218018,-0.0026451245139469393,0.6761722266674042,0.0048791375,0.0003,1160
241664,352,50.06696039000001,685,118,674.09,0.065380859375,-0.7239131214097142,0.2,40.40235451124609,3.5529990196228027,-0.0010135993572475855,0.7561317682266235,0.005655141,0.0003,1170
243712,354,50.6886038,686,119,669.94,0.03212890625,-0.7015274487435817,0.2,96.1274947926402,5.957711219787598,-0.001871007068984909,0.704945832490921,0.0040918924,0.0003,1180
245760,357,48.348218530000004,687,120,666.0,0.071142578125,-0.7212065102532506,0.2,99.42186498343945,2.632072925567627,-0.0024343131670320874,0.6236719489097595,0.005122411,0.0003,1190
247808,360,45.9473669,687,121,655.81,0.056884765625,-0.6964262103661895,0.2,131.27353310286998,121.29519653320312,-0.00124100077082403,0.5826460123062134,0.0037668722,0.0003,1200
249856,363,42.77747901,688,122,650.27,0.055078125,-0.7228401355445385,0.2,125.6618673980236,35.413551330566406,9.665715697337873e-05,0.5629240870475769,0.005429933,0.0003,1210
251904,366,43.61592246000001,687,123,643.0,0.045068359375,-0.7098355917260051,0.2,350.33139377236364,10.455098152160645,-0.0026533425771049224,0.28618091344833374,0.004999479,0.0003,1220
2048,2,-489.32500000000005,715,1,849.0,0.0400390625,-0.711791480332613,0.2,103.17258841246367,4.763736724853516,-0.00403129784790508,0.6199378371238708,0.0037563932,0.0003,1230
4096,6,-484.725,667,2,774.5,0.09775390625,-0.6499090656638146,0.2,71.8126018434763,6.061783790588379,-0.00013369034859351815,0.5372945070266724,0.009032758,0.0003,1240
6144,8,-517.3625,700,3,738.875,0.178173828125,-0.7172058181837201,0.2,47.000799706578256,4.3015923500061035,-0.0042520644004980564,0.8713948130607605,0.017535033,0.0003,1250
