time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/value_loss
740,219136,763.63,-33.929656480000006,107,295,1.6656510829925537,0.007144068,0.046923828125,1060,0.0003,-0.002182867423107382,0.9345207512378693,0.2,-0.8831121051684022,26.983524867147207
741,221184,772.88,-29.554907660000005,108,298,73.09095001220703,0.0033597914,0.0322265625,1070,0.0003,-0.0014300730867034873,0.8070347458124161,0.2,-0.8028138471767307,74.27146863564849
739,223232,780.64,-28.459581350000004,109,301,160.24717712402344,0.0024663773,0.010107421875,1080,0.0003,-0.0008374749075301224,0.674779087305069,0.2,-0.6221802180632949,258.9508662521839
737,225280,783.15,-30.982726619999998,110,305,1.9920225143432617,0.012386609,0.10146484375,1090,0.0003,-0.00454283204235253,0.9385190196335316,0.2,-0.874150314182043,21.753275375813246
737,227328,790.86,-31.332211729999997,111,308,18.613725662231445,0.0036516227,0.04453125,1100,0.0003,-0.0002785865915939212,0.8643644750118256,0.2,-0.8415026627480984,56.77249680384993
737,229376,797.38,-30.456549969999998,112,310,1.6348483562469482,0.0065489914,0.051416015625,1110,0.0003,-0.0007252502564369934,0.8710589855909348,0.2,-0.7849389228969812,40.16898457817733
735,231424,799.9,-32.706788949999996,113,314,7.489877223968506,0.009560017,0.066162109375,1120,0.0003,-0.0020710445460281335,0.9381630644202232,0.2,-0.8093514440581202,27.26509091258049
735,233472,804.94,-31.601466079999994,114,317,10.014391899108887,0.0019657677,0.0205078125,1130,0.0003,-0.0015865836758166552,0.7891662865877151,0.2,-0.8221643732860684,97.80242679268122
733,235520,804.54,-32.06074169,115,320,9.548721313476562,0.0049098586,0.050927734375,1140,0.0003,0.0001794018164218869,0.9251774027943611,0.2,-0.7999228052794933,38.07361842542887
733,237568,805.86,-31.53721503,116,323,2.913947582244873,0.008414403,0.090576171875,1150,0.0003,-0.002594543579834863,0.8452450037002563,0.2,-0.8928920574486255,78.28269905373455
732,239616,806.76,-31.976239599999996,117,327,3.96313214302063,0.00983642,0.0849609375,1160,0.0003,-0.0019625670112873193,0.9313281029462814,0.2,-0.8408218601718545,32.41237242668867
731,241664,812.88,-31.07303729,118,330,11.141724586486816,0.0054007275,0.042431640625,1170,0.0003,-0.0009163515831460245,0.8828287646174431,0.2,-0.7802308121696114,55.22296929359436
731,243712,799.5,-30.875900919999996,119,333,3.6499030590057373,0.009206581,0.049755859375,1180,0.0003,-0.0015360131066699978,0.9364862516522408,0.2,-0.8455532247200608,26.153777401149274
728,245760,807.66,-28.2889996,120,337,16.27249526977539,0.0077485144,0.071826171875,1190,0.0003,-0.004207368511561072,0.8522105365991592,0.2,-0.7881162000820041,100.19385488927364
728,247808,793.52,-27.902145689999998,121,339,6.919525146484375,0.0065723737,0.06650390625,1200,0.0003,-0.0040271589419717205,0.8405310660600662,0.2,-0.7794631035998464,88.757253703475
726,249856,802.22,-25.321950589999997,122,343,51.716304779052734,0.004937756,0.0455078125,1210,0.0003,-0.002132300143421162,0.864254429936409,0.2,-0.749720735475421,97.8827751621604
727,251904,794.53,-28.944558380000004,123,346,150.30592346191406,0.004248837,0.066015625,1220,0.0003,-0.00013774699546047485,0.9535592012107372,0.2,-0.8460814477875829,19.153084445744753
