time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss
122880,742,747.47,60,165,-17.791275659999997,0.0003,0.6272868812084198,0.005193781,0.053955078125,0.2,3.106590986251831,590,-0.9477937115356326,-0.0023304645241296385,58.67612235620618
124928,742,760.85,61,168,-13.316131810000002,0.0003,0.6239804625511169,0.0055663637,0.074462890625,0.2,29.762922286987305,600,-0.8907652584835887,-0.0012835313100367785,124.67341115474701
126976,739,776.09,62,171,-10.214664519999998,0.0003,0.531089186668396,0.0068587493,0.059326171875,0.2,88.13407135009766,610,-0.9609456265345215,-0.0028817387865274213,115.81541904807091
129024,733,783.35,63,175,-8.928234389999998,0.0003,0.7457766234874725,0.009806482,0.085546875,0.2,25.420475006103516,620,-1.01204638145864,-0.0029363825786276722,91.93166296482086
131072,733,780.61,64,178,-6.095063889999999,0.0003,0.701766699552536,0.0133277625,0.1328125,0.2,7.056427001953125,630,-0.896911208704114,-0.006986082531511784,45.29973831027746
133120,732,786.87,65,181,-4.08567683,0.0003,0.6782483756542206,0.025863316,0.1017578125,0.2,10.116530418395996,640,-0.795654265768826,-0.008972839882335392,107.53588188439608
135168,727,792.01,66,185,-1.0697979499999999,0.0003,0.5511574745178223,0.0045645675,0.039892578125,0.2,89.51445770263672,650,-0.9422395871952176,-0.0026425112733704736,196.82617648243905
137216,723,798.59,67,189,0.16472342000000256,0.0003,0.6905698180198669,0.01749418,0.116357421875,0.2,60.41770553588867,660,-0.8423547966405749,-0.006400360343104694,74.86565217971801
139264,722,799.32,68,192,1.2569144300000028,0.0003,0.7846850752830505,0.011331409,0.13349609375,0.2,4.939318656921387,670,-0.9388641698285938,-0.00550110858748667,42.456227003782985
141312,720,792.62,69,196,0.25033585000000413,0.0003,0.713877260684967,0.010230378,0.127734375,0.2,29.902271270751953,680,-0.9922967722639442,-0.003696603450953262,68.66527226045727
143360,716,787.75,70,200,2.438610150000002,0.0003,0.7796602696180344,0.012421772,0.116455078125,0.2,440.2303466796875,690,-1.0120002003386617,-0.0019609959723311476,71.8431555043906
145408,713,776.1,71,203,1.15992265,0.0003,0.7124512791633606,0.007547032,0.0708984375,0.2,68.46477508544922,700,-0.9825866779312491,-0.00389548246312188,82.73481700271368
147456,710,776.1,72,207,1.8562376300000032,0.0003,0.6826202571392059,0.009047242,0.1181640625,0.2,3.961030960083008,710,-0.9662354892119766,-0.0027905041075428016,117.66762162595987
149504,712,743.42,73,209,-3.2367231999999966,0.0003,0.8303256034851074,0.0065487847,0.08466796875,0.2,3.7134647369384766,720,-0.9678260590881109,-0.002269070463080425,45.41595993600786
151552,711,747.29,74,212,-1.1665388899999976,0.0003,0.7728436887264252,0.003136166,0.02587890625,0.2,31.128944396972656,730,-0.9239497305825353,-0.0007975150670972653,155.89892907440662
153600,712,731.41,75,215,2.879986980000002,0.0003,0.8923081755638123,0.012195539,0.120556640625,0.2,0.8768450617790222,740,-0.9070866009220481,-0.0044889744865940885,35.17535385414958
155648,714,728.84,76,217,5.277284520000002,0.0003,0.5398356914520264,0.0030111969,0.00927734375,0.2,103.52527618408203,750,-0.7530660459771752,-0.0015984898440365215,291.5055865764618
157696,714,728.01,77,220,5.0089793500000015,0.0003,0.6407478451728821,0.006558695,0.043310546875,0.2,5.317294120788574,760,-0.7086430547758937,-0.0013522688845114318,93.05185116939246
159744,713,728.91,78,223,3.0100147200000005,0.0003,0.7255584895610809,0.0071678534,0.069873046875,0.2,3.2436022758483887,770,-0.8831139981746674,-0.0028020514189847747,106.09369383454323
161792,714,715.69,79,226,-0.3780185099999997,0.0003,0.7983147352933884,0.006798204,0.0400390625,0.2,2.7970166206359863,780,-0.8799341334030032,-0.0017967751384276199,88.78350854068995
163840,714,712.22,80,229,-2.201287459999999,0.0003,0.6494290828704834,0.0050940327,0.056201171875,0.2,110.14360809326172,790,-0.809673261642456,-0.0006580775720067322,201.0787769317627
165888,713,717.25,81,232,-0.5397807699999988,0.0003,0.7436392903327942,0.009540038,0.101904296875,0.2,44.87112045288086,800,-0.9058835215866565,-0.0028538905549794435,152.99708810299634
167936,714,716.55,82,235,0.0007488699999991865,0.0003,0.8106991946697235,0.011582775,0.091650390625,0.2,3.480520486831665,810,-0.8906995052471757,-0.0017619241189095192,65.09497632905841
169984,714,714.73,83,237,3.728026720000001,0.0003,0.615234762430191,0.005517948,0.050927734375,0.2,135.41773986816406,820,-0.8886633588001132,-0.0016438299218862085,295.29240589141847
172032,712,706.64,84,241,-0.9122256499999993,0.0003,0.6563726961612701,0.0026129493,0.011669921875,0.2,8.002750396728516,830,-0.6721013830974698,-0.0006059285005903803,111.68044550120831
174080,709,697.51,85,245,0.2723755500000003,0.0003,0.6550314128398895,0.004000418,0.054248046875,0.2,64.92296600341797,840,-0.884709782153368,-0.0012973001092177582,177.00332028716804
176128,709,688.61,86,248,-2.093375049999999,0.0003,0.6944954991340637,0.017614149,0.078857421875,0.2,51.48713684082031,850,-0.7846721827983856,-0.0030019209334568586,150.9116049900651
178176,708,689.6,87,251,-1.5636299199999977,0.0003,0.586400032043457,0.0054010777,0.04755859375,0.2,150.9390411376953,860,-0.8839585749432445,-0.0017329833079202217,230.99115396142005
180224,707,692.12,88,254,-1.8916766799999976,0.0003,0.7232319116592407,0.0058031166,0.061083984375,0.2,68.03119659423828,870,-0.85960200894624,-0.000528520044463221,125.16284095495939
182272,708,688.52,89,257,-5.096684919999999,0.0003,0.7662701904773712,0.015057505,0.138671875,0.2,6.164796829223633,880,-0.952603711374104,-0.0029615910454594994,89.834578223899
184320,707,682.56,90,260,-5.516982409999998,0.0003,0.7245089113712311,0.004079855,0.047412109375,0.2,18.082048416137695,890,-0.8938483595848083,9.671113584772684e-05,70.890842628479
186368,705,678.4,91,264,-4.547036559999999,0.0003,0.8097811490297318,0.0067645214,0.08037109375,0.2,37.3055419921875,900,-0.92237380258739,-0.0010928509494988249,76.06609303802252
188416,704,673.56,92,267,-6.232483419999999,0.0003,0.7002100050449371,0.007309532,0.062646484375,0.2,45.424678802490234,910,-0.8386520069092512,-0.003052287851824076,162.3895460098982
190464,702,681.37,93,271,-1.121146190000002,0.0003,0.6720645129680634,0.010076197,0.10830078125,0.2,7.929607391357422,920,-0.8310598757117986,-0.0035791104164673015,134.5273675367236
192512,702,670.03,94,273,-3.089487170000002,0.0003,0.7951910495758057,0.012461709,0.150390625,0.2,2.1390950679779053,930,-0.9011726031079889,-0.0028674120047071485,59.38384858891368
194560,702,663.16,95,276,-2.548793210000002,0.0003,0.7172839641571045,0.004133255,0.08388671875,0.2,107.08086395263672,940,-0.7820959154516458,-0.0024302401245222425,184.49871221631764
196608,697,664.17,96,281,-1.4692529800000023,0.0003,0.6130242347717285,0.015704593,0.132861328125,0.2,39.831024169921875,950,-0.881345115788281,-0.005982043943367899,137.14281707853078
198656,694,671.34,97,286,-0.8581076799999983,0.0003,0.74202099442482,0.020547425,0.1263671875,0.2,55.70705032348633,960,-0.8568245273083448,-0.007968955405522138,71.79337424635887
200704,692,682.71,98,289,-0.5956880899999982,0.0003,0.6974354684352875,0.0058113136,0.06044921875,0.2,3.0359439849853516,970,-0.727327537536621,-0.0014171461087244097,36.1108411192894
202752,693,672.2,99,292,-3.3392745999999986,0.0003,0.8161294311285019,0.017543001,0.1744140625,0.2,4.696139812469482,980,-0.8920978624373674,-0.002159720542113064,42.57262404765934
204800,694,661.78,100,295,-6.19915249,0.0003,0.5368456244468689,0.0055646934,0.066796875,0.2,168.59519958496094,990,-0.877806692570448,-0.0031021316039186787,157.61032444536687
206848,694,662.01,101,297,-2.027703760000001,0.0003,0.6111879646778107,0.0059318077,0.0517578125,0.2,128.38108825683594,1000,-0.8465536501258611,-0.0030774694168940187,161.82385918200015
208896,693,664.18,102,301,-3.000017700000001,0.0003,0.6330966353416443,0.007289459,0.046923828125,0.2,11.329655647277832,1010,-0.7512323854491114,-0.002151296878582798,78.85564943552018
210944,693,666.6,103,304,-1.7573690700000026,0.0003,0.6687087416648865,0.0031339393,0.03759765625,0.2,2.555300235748291,1020,-0.8310606881976128,-0.0006029232354194392,87.70601346865297
212992,691,666.6,104,307,-2.3058504100000037,0.0003,0.6680541932582855,0.0066662924,0.05986328125,0.2,36.77383804321289,1030,-0.8542795585468411,-0.0037182535026659023,121.2248651623726
215040,692,668.91,105,310,0.4652493199999985,0.0003,0.8525796234607697,0.01759585,0.140771484375,0.2,0.549996018409729,1040,-0.8745989918708801,-0.0022989827222772872,36.77106019556523
217088,692,662.03,106,313,-2.2174688500000004,0.0003,0.7057605683803558,0.0059421435,0.020556640625,0.2,31.156110763549805,1050,-0.7694971591234208,-0.0014091151348111452,112.88853259533644
219136,693,659.97,107,315,-5.806246880000001,0.0003,0.6514309048652649,0.005754103,0.0314453125,0.2,107.05284118652344,1060,-0.844058034196496,-0.0037179704071604648,198.65514349490405
