rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/value_loss,train/n_updates
937.28,663,240,78,-22.01482113,159744,0.042822265625,0.0003,0.004448031,0.8516827970743179,-0.8086097821593284,4.444838047027588,-0.003116051207325654,0.2,30.738111746311187,770
937.28,663,243,79,-22.56407352,161792,0.039306640625,0.0003,0.004707663,0.5901303291320801,-0.8127955878153443,10.628730773925781,-0.003634655897621997,0.2,49.43791952803731,780
948.17,664,246,80,-19.98106203,163840,0.05029296875,0.0003,0.005098991,0.9057190492749214,-0.8387280421331524,1.7483067512512207,-0.00294359842519043,0.2,21.445932648330928,790
957.29,661,250,81,-17.415824150000002,165888,0.037060546875,0.0003,0.005079787,0.6731727421283722,-0.8021571278572083,2.9100489616394043,0.0003324561323097441,0.2,13.325199132040144,800
958.55,662,253,82,-18.765349120000003,167936,0.065087890625,0.0003,0.008110041,0.7909740507602692,-0.8294551325961947,1.2918366193771362,-0.0030769963697821366,0.2,22.022171149775385,810
949.53,660,257,83,-21.155932630000002,169984,0.034619140625,0.0003,0.0044184583,0.7825962901115417,-0.8035078370943666,1.795587182044983,-0.001878490277886158,0.2,40.46516788043082,820
946.51,658,261,84,-21.548415910000003,172032,0.039990234375,0.0003,0.0038037887,0.790936067700386,-0.7865223037078977,257.9173583984375,-0.0017946713356650434,0.2,80.6878578260541,830
946.51,657,264,85,-22.406371299999996,174080,0.04267578125,0.0003,0.0074763717,0.7912152260541916,-0.7943401753902435,18.174257278442383,-0.003925196131604025,0.2,57.84220213219523,840
939.39,657,267,86,-23.884711599999996,176128,0.0896484375,0.0003,0.010328939,0.4818844795227051,-0.8178118512034416,3.211196184158325,-0.0022209796778042802,0.2,14.928513872623444,850
939.39,657,271,87,-22.66002475,178176,0.06875,0.0003,0.004199992,0.19187968969345093,-0.7710614014416933,1.9090160131454468,-0.0017724310586345383,0.2,72.10283990353346,860
936.4,658,273,88,-23.635845380000006,180224,0.071533203125,0.0003,0.007925538,0.9219483658671379,-0.7999239969998598,1.854947805404663,-0.005137254857982043,0.2,23.451761718466877,870
936.4,657,277,89,-25.122298760000007,182272,0.049365234375,0.0003,0.0046414714,0.8260266780853271,-0.8036025915294885,77.12910461425781,-0.0025239697453798724,0.2,70.81549695134163,880
936.4,656,280,90,-24.802503570000002,184320,0.073681640625,0.0003,0.009188329,0.889115571975708,-0.7580940637737512,5.681748390197754,-0.0033700469401082957,0.2,30.324838742613792,890
919.5,657,283,91,-26.488585590000003,186368,0.09443359375,0.0003,0.0070876293,0.8209592401981354,-0.8169181287288666,2.0175530910491943,-0.002852783900743816,0.2,12.048329629004002,900
898.6,658,286,92,-25.288227080000006,188416,0.033349609375,0.0003,0.003309534,0.3586195707321167,-0.755242414213717,60.51740646362305,-0.0010295399064489176,0.2,214.16337897777558,910
897.94,659,289,93,-27.45272783,190464,0.041845703125,0.0003,0.0035184305,0.4174450635910034,-0.764622195251286,41.719112396240234,-0.0017545328970300033,0.2,134.18224699646234,920
897.94,659,291,94,-27.498666799999995,192512,0.06142578125,0.0003,0.00334039,0.8568238615989685,-0.8656619567424059,55.9622917175293,-0.0016183042331249452,0.2,48.099599454551935,930
898.06,660,294,95,-25.673588329999998,194560,0.046630859375,0.0003,0.0070620547,0.9076406359672546,-0.8175779206678271,5.015653610229492,-0.0010656083308276721,0.2,20.42575546056032,940
898.25,658,298,96,-25.22325785,196608,0.079736328125,0.0003,0.005005397,0.8813713192939758,-0.8299978652969002,1.7186461687088013,-0.0006087929403292946,0.2,24.844648860022424,950
901.57,658,301,97,-23.908845099999997,198656,0.096435546875,0.0003,0.0063870447,0.7812688201665878,-0.8673746030777693,1.9685585498809814,-0.003628676405060105,0.2,18.873949022963643,960
905.61,658,304,98,-22.877167749999998,200704,0.075,0.0003,0.0065875817,0.8375730514526367,-0.883345247246325,1.1515220403671265,-0.0030106272373814137,0.2,13.563755540177226,970
905.61,657,308,99,-22.843414099999997,202752,0.077685546875,0.0003,0.006628624,0.8229214549064636,-0.8832313679158688,1.1345996856689453,-0.0027371122501790523,0.2,21.129940674453973,980
905.61,654,312,100,-22.186668699999995,204800,0.0951171875,0.0003,0.009448659,0.8880605921149254,-0.8269595716148614,2.4030861854553223,-0.0033188870111189317,0.2,23.481813841313123,990
915.25,654,315,101,-20.38369053,206848,0.0416015625,0.0003,0.0043286243,0.827063575387001,-0.8009299715980888,1.2323166131973267,-0.0013006415814743378,0.2,21.211623648554088,1000
910.97,653,319,102,-20.084900360000002,208896,0.068896484375,0.0003,0.00467393,0.878741167485714,-0.808537451736629,2.095092296600342,-0.0018406748509733005,0.2,16.785116885229947,1010
910.97,652,323,103,-19.531294149999997,210944,0.0341796875,0.0003,0.0043776846,0.7110574841499329,-0.820830600708723,2.5193028450012207,-0.0023061521322233604,0.2,59.819088297337295,1020
912.18,651,326,104,-17.12085055,212992,0.050390625,0.0003,0.006113834,0.7242039740085602,-0.8326056245714426,1.421252727508545,0.00016114061072585172,0.2,35.5935114312917,1030
912.18,650,330,105,-17.587558899999998,215040,0.014404296875,0.0003,0.0027340844,0.3325992226600647,-0.7832484917715192,12.845125198364258,-0.0006888926094688941,0.2,102.57038419470192,1040
911.38,646,335,106,-18.62824744,217088,0.09306640625,0.0003,0.0071957586,0.8138986080884933,-0.794451411627233,0.5313603281974792,-0.005017260275781155,0.2,21.960371342115103,1050
911.38,643,340,107,-18.764816610000004,219136,0.038427734375,0.0003,0.0029267287,0.7688780277967453,-0.7932759422808886,4.231631278991699,-0.002058100458816625,0.2,49.26324941888451,1060
911.38,642,344,108,-18.96607033,221184,0.06171875,0.0003,0.0062161805,0.6721459031105042,-0.8079021763056516,0.783578634262085,-0.0008481216646032408,0.2,21.81179116331041,1070
911.38,642,347,109,-18.45323932,223232,0.079296875,0.0003,0.009837932,0.7976532876491547,-0.7867422999814153,1.4159168004989624,-0.0018676387364394032,0.2,25.729791820421816,1080
911.38,642,350,110,-19.21063462,225280,0.077587890625,0.0003,0.007969607,0.8488717973232269,-0.8089675771072506,2.986177921295166,-0.0010512759079574607,0.2,15.256184707581998,1090
911.38,643,353,111,-18.56367525,227328,0.058203125,0.0003,0.007252801,0.7923639565706253,-0.7994129370898009,1.1016768217086792,0.000126207631547004,0.2,24.3865942645818,1100
903.23,644,355,112,-21.512957269999998,229376,0.0357421875,0.0003,0.0038601593,0.7385264337062836,-0.7833180902525783,0.9381006956100464,-0.0006313092817435972,0.2,31.486498709395526,1110
901.25,645,358,113,-20.993533580000005,231424,0.06484375,0.0003,0.006108403,0.3093768358230591,-0.7415823610499501,58.24368667602539,-0.0035050549304287415,0.2,105.88667390048504,1120
877.93,646,360,114,-24.59068251,233472,0.048876953125,0.0003,0.006864462,0.6403363943099976,-0.7905888617038727,48.524696350097656,0.001723018805932952,0.2,51.43175715059042,1130
