time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/policy_gradient_loss
153600,75,322,5.837123219999998,475,858.03,0.7486168742179871,117.11737104058265,0.2,0.051806640625,66.4004898071289,0.004196893,0.0003,0.6683756113052368,-2.030135602504015,740,-0.00473045103935874
155648,76,327,6.472474379999999,475,840.96,0.8825983628630638,38.1731401534751,0.2,0.107568359375,0.8384939432144165,0.007938622,0.0003,0.6529791951179504,-2.0020449597388508,750,-0.0023168717394582926
157696,77,330,7.138653679999997,476,840.96,0.732342004776001,137.1254668354988,0.2,0.075048828125,14.463631629943848,0.005332993,0.0003,0.6506167054176331,-1.978759665414691,760,-0.005685993103907094
159744,78,334,7.22656267,477,840.96,0.8760118409991264,37.67507014460862,0.2,0.11474609375,0.16121013462543488,0.012795971,0.0003,0.6424755454063416,-1.9602290619164706,770,-0.0021623295255267295
161792,79,340,7.22866333,475,840.96,0.8407668769359589,33.52784458985552,0.2,0.08818359375,0.3859419822692871,0.0069108326,0.0003,0.6423144340515137,-1.9488973215222358,780,0.00033630901743890717
163840,80,345,7.8402265899999986,474,837.05,0.8839693740010262,44.17629717802629,0.2,0.11083984375,0.794030487537384,0.009367247,0.0003,0.6302095055580139,-1.9254953049123287,790,-0.0034679081130889245
165888,81,350,8.253718740000002,472,837.05,0.803672268986702,42.829040276631716,0.2,0.09326171875,10.084820747375488,0.0071335873,0.0003,0.628128707408905,-1.9048880442976952,800,-0.0013905863008403685
167936,82,355,8.15687316,472,833.7,0.8883187100291252,42.326014714036134,0.2,0.072509765625,0.6276392340660095,0.005393099,0.0003,0.6290788650512695,-1.905662427097559,810,-0.00020557200550683775
169984,83,359,6.9760029,472,828.59,0.8187292963266373,78.69211297929287,0.2,0.0625,15.035021781921387,0.0043520005,0.0003,0.6279909610748291,-1.9043306645005942,820,-0.0022311514381726737
172032,84,364,4.695809299999999,471,825.94,0.7530986666679382,76.33382678208872,0.2,0.06357421875,0.3343854248523712,0.005374239,0.0003,0.626288652420044,-1.9002725426107645,830,-0.0025718775286804885
174080,85,367,5.020046520000001,473,825.94,0.7971309423446655,100.27303079925477,0.2,0.03896484375,19.04967498779297,0.006477176,0.0003,0.6277415156364441,-1.8999412562698126,840,-0.005806700200628257
176128,86,371,8.64286018,474,805.73,0.919220820069313,34.53310430943966,0.2,0.0810546875,0.5999097228050232,0.008115204,0.0003,0.6220501065254211,-1.8936460617929698,850,-0.003045072843087837
178176,87,375,12.773093049999998,474,799.36,0.6080199480056763,181.17121487259865,0.2,0.023681640625,11.919862747192383,0.0042106053,0.0003,0.6207994818687439,-1.8826550275087357,860,-0.003355889942031354
180224,88,380,13.292593429999997,473,796.97,0.7794715017080307,76.17460840456188,0.2,0.053076171875,29.701536178588867,0.0068783658,0.0003,0.6157541275024414,-1.8735199265182019,870,-0.001770197299629217
182272,89,385,13.21727038,472,796.97,0.7261916995048523,114.72872933894396,0.2,0.082421875,43.450504302978516,0.010249142,0.0003,0.6134944558143616,-1.8620895240455866,880,-0.004167836494889343
184320,90,391,13.874697119999999,470,796.15,0.8265141099691391,45.25169308707118,0.2,0.098095703125,1.9134812355041504,0.005296716,0.0003,0.6121535301208496,-1.8565164681524038,890,-0.006905926886975067
186368,91,395,11.957624419999997,471,790.13,0.862975999712944,42.499601933918896,0.2,0.112646484375,0.3852355480194092,0.007081501,0.0003,0.6112433671951294,-1.8513182170689106,900,0.0023411683629092294
188416,92,398,11.613007169999998,472,788.96,0.867008849978447,58.7387317314744,0.2,0.100830078125,2.639439821243286,0.007898465,0.0003,0.615198016166687,-1.8559517625719308,910,-0.001614061262080213
190464,93,402,12.510178149999996,473,788.96,0.8212778121232986,67.03437700979411,0.2,0.078857421875,15.534976959228516,0.008774569,0.0003,0.6130551099777222,-1.8590498730540275,920,-0.0012944029454956762
192512,94,406,13.170705119999997,473,793.32,0.895763024687767,37.07826796537265,0.2,0.1466796875,0.34873634576797485,0.008433292,0.0003,0.6197415590286255,-1.8710671249777078,930,-0.0005828015157021583
194560,95,410,12.944237109999994,473,793.32,0.9016063585877419,29.746954977186398,0.2,0.086767578125,0.25106123089790344,0.0069707353,0.0003,0.609657883644104,-1.8600739259272814,940,-0.001259001806465676
196608,96,414,13.703803149999993,474,794.75,0.8844357132911682,37.16399672287516,0.2,0.090869140625,1.0891486406326294,0.007659358,0.0003,0.6019916534423828,-1.8353348385542632,950,-0.0026315277136745863
198656,97,417,13.053154859999998,475,811.81,0.8338327258825302,49.55265423730016,0.2,0.11025390625,9.5132417678833,0.012908855,0.0003,0.6009208559989929,-1.8204417433589697,960,-0.0020804728104849347
200704,98,420,11.036310049999997,477,807.84,0.8754810467362404,63.009763322491196,0.2,0.093505859375,0.27882567048072815,0.009529345,0.0003,0.6017341613769531,-1.8194232173264027,970,0.0008127728287945502
202752,99,424,13.730349369999999,477,800.6,0.8009440451860428,117.94850873500108,0.2,0.0556640625,44.37699890136719,0.0067104558,0.0003,0.5994926691055298,-1.8156517289578915,980,-0.0036308379581896587
204800,100,427,10.864740489999999,478,794.44,0.8285754472017288,79.40218528695405,0.2,0.092236328125,33.65370178222656,0.0076067355,0.0003,0.594368577003479,-1.8027424823492766,990,-0.003876160491199698
206848,101,430,14.045041699999997,480,799.92,0.8551127910614014,69.12787670046092,0.2,0.027880859375,262.44342041015625,0.004900757,0.0003,0.5930982828140259,-1.791456015408039,1000,-0.0031763221675646493
208896,102,435,13.09765752,479,799.92,0.8930661305785179,70.04922575168311,0.2,0.061572265625,1.5803580284118652,0.011038693,0.0003,0.5873993635177612,-1.782250501215458,1010,-3.055442139157094e-05
210944,103,439,14.274173029999996,479,791.56,0.8855108693242073,40.15182462651283,0.2,0.12421875,0.718760073184967,0.010039583,0.0003,0.577506422996521,-1.7501882046461106,1020,-0.001604464314004872
212992,104,443,15.604425829999998,480,796.52,0.8002160936594009,101.00099006965756,0.2,0.02587890625,35.12148666381836,0.004036196,0.0003,0.5792040228843689,-1.7367396153509618,1030,-0.002216592515469529
215040,105,446,14.456290219999998,481,791.15,0.8414918184280396,76.27986316271127,0.2,0.06162109375,3.8486618995666504,0.00580304,0.0003,0.5729588270187378,-1.7299114894121885,1040,-0.003230590989915072
217088,106,451,11.44348829,481,798.58,0.7116900682449341,148.9058548927307,0.2,0.05087890625,14.04443645477295,0.005849587,0.0003,0.5713815093040466,-1.7162927106022834,1050,-0.006875362855498679
219136,107,455,11.387628770000001,481,798.1,0.894639402627945,51.261292826198044,0.2,0.071142578125,0.8269907236099243,0.010259019,0.0003,0.5688749551773071,-1.709606460854411,1060,-0.0009546432236675173
221184,108,460,9.04901847,480,789.14,0.8801084905862808,89.08062990531326,0.2,0.07216796875,2.325199604034424,0.0075206133,0.0003,0.5678560733795166,-1.7025391563773156,1070,-0.0017821247594838497
223232,109,463,8.843114020000002,481,789.14,0.8319500982761383,108.45078455209732,0.2,0.0513671875,75.2540054321289,0.010397858,0.0003,0.5699385404586792,-1.7057153601199389,1080,-0.007575565131992335
