rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/clip_fraction,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss
566.66,217,754,28.360203580000004,80,163840,0.0069622453,82.18512725830078,790,0.5094640254974365,0.060986328125,0.0003,0.2,-0.002311676012323005,252.56881827712058,-0.6822221582755447
539.14,219,756,29.163493560000003,81,165888,0.0033261466,18.773122787475586,800,0.4795040488243103,0.046533203125,0.0003,0.2,-0.0012042573909639032,160.67343933582305,-0.8262290939688682
530.6,222,756,27.817922190000004,82,167936,0.005948704,80.05489349365234,810,0.6797420382499695,0.0376953125,0.0003,0.2,-0.0004656576755223796,223.2161157667637,-0.7737330181524158
507.12,224,758,28.206417199999997,83,169984,0.006503977,46.857791900634766,820,0.717109352350235,0.138671875,0.0003,0.2,-0.0038982888967439067,120.43988580703736,-0.761515761166811
497.52,227,757,29.96033453,84,172032,0.0020274476,208.99940490722656,830,0.6415795385837555,0.028759765625,0.0003,0.2,-0.0014108306313573848,221.69619249105455,-0.7990144016221166
495.89,229,758,35.36708778,85,174080,0.010605714,10.412718772888184,840,0.7364557981491089,0.155078125,0.0003,0.2,-0.00424020774080418,96.58517461419106,-0.7179148962721229
496.18,231,760,37.32971235,86,176128,0.0057093464,11.639971733093262,850,0.5895393788814545,0.03671875,0.0003,0.2,-0.0020437132465303876,112.17128320634365,-0.7326028268784285
487.53,234,760,44.25938339,87,178176,0.011107188,10.87139892578125,860,0.5589410364627838,0.097900390625,0.0003,0.2,-0.004656682143831858,110.24193632900715,-0.765664167329669
485.82,236,761,43.68071379999999,88,180224,0.0073778806,23.326499938964844,870,0.5772389769554138,0.09326171875,0.0003,0.2,-0.0026472684337932153,88.13828044235706,-0.7241381894797086
485.79,238,763,45.66193135,89,182272,0.0041157077,9.589859962463379,880,0.6994113028049469,0.04423828125,0.0003,0.2,-0.0011510032010846772,131.80892993211745,-0.7173716764897108
485.02,241,763,44.45880353,90,184320,0.010046717,171.57275390625,890,0.7677218317985535,0.07646484375,0.0003,0.2,-0.004328931655618362,86.35834738761187,-0.7711235480383039
478.07,243,765,42.755164699999995,91,186368,0.005076519,144.4775390625,900,0.3973061442375183,0.0671875,0.0003,0.2,-0.005451227979210671,213.96894823610782,-0.7241899561136961
479.07,246,765,40.15916464,92,188416,0.003469748,9.059138298034668,910,0.38265275955200195,0.041357421875,0.0003,0.2,-0.003813920785978553,205.93348120898008,-0.732603170350194
474.12,248,767,43.88847944,93,190464,0.0033379602,77.36870574951172,920,0.3555641770362854,0.012109375,0.0003,0.2,-0.0008832100931613241,274.3147214472294,-0.6685209298506379
469.12,250,769,41.65403726,94,192512,0.008678924,81.1799087524414,930,0.6578947603702545,0.04140625,0.0003,0.2,-0.007553999907395336,218.03173975348471,-0.7319709479808807
469.5,252,770,40.37595769,95,194560,0.004452725,376.6853942871094,940,0.6940668821334839,0.068310546875,0.0003,0.2,-0.0038371658585674593,186.13688101172448,-0.8130558935925365
467.89,254,772,44.6646468,96,196608,0.0034285472,152.12896728515625,950,0.7422033846378326,0.05830078125,0.0003,0.2,-0.00167252956161974,215.7764893949032,-0.7239105695858598
471.81,257,772,47.261010479999996,97,198656,0.010978775,25.49822235107422,960,0.4580114483833313,0.088330078125,0.0003,0.2,-0.0052768245215702335,151.47247606515884,-0.7399642996490001
471.36,259,773,50.735801040000005,98,200704,0.004544164,15.624361038208008,970,0.6534019112586975,0.0498046875,0.0003,0.2,-0.0019272197903774213,123.0881251513958,-0.6564021952450275
461.87,261,774,51.027188,99,202752,0.009507455,535.0938720703125,980,0.5097416341304779,0.119873046875,0.0003,0.2,-0.0034488781057007145,113.30541465431452,-0.7248541880398989
451.25,263,776,52.650907090000004,100,204800,0.00529027,36.78916931152344,990,0.3518328070640564,0.045849609375,0.0003,0.2,-0.0028894074752315647,335.29461374878883,-0.6863805428147316
447.63,265,778,52.61879936,101,206848,0.004197288,24.222139358520508,1000,0.26707708835601807,0.029052734375,0.0003,0.2,-0.0006940446022781543,345.46857088804245,-0.6912049790844321
442.52,267,780,55.55600302,102,208896,0.0034294082,61.275726318359375,1010,0.3656429052352905,0.02705078125,0.0003,0.2,-0.0021334430217393673,222.8397122859955,-0.739333531446755
431.97,269,781,57.79254143,103,210944,0.016038036,251.32408142089844,1020,0.45427560806274414,0.082421875,0.0003,0.2,-0.004407694573092158,203.85450636446475,-0.6777292195707559
430.15,272,783,56.73427353000001,104,212992,0.0072775586,39.547874450683594,1030,0.5282667577266693,0.10458984375,0.0003,0.2,-0.006559669684065739,196.48106501698493,-0.6526964101940393
415.2,274,784,55.558465850000005,105,215040,0.0069795633,76.78570556640625,1040,0.5783595740795135,0.042333984375,0.0003,0.2,-0.005738708312856033,281.8521424114704,-0.6542264761403203
409.58,276,786,56.69861251999999,106,217088,0.004926143,95.39520263671875,1050,0.5140304565429688,0.038671875,0.0003,0.2,-0.0018933486968307988,192.9056859791279,-0.675358816422522
402.1,278,787,54.378293240000005,107,219136,0.008789517,7.660289287567139,1060,0.5229402780532837,0.1287109375,0.0003,0.2,-0.0032431859603093472,123.50995382368565,-0.6968912795186043
395.97,280,789,52.24966214,108,221184,0.005063677,77.76805877685547,1070,0.45546436309814453,0.066064453125,0.0003,0.2,-0.0026484554888156707,208.3026695430279,-0.6641465816646814
384.77,282,791,50.64071637999999,109,223232,0.0036449307,25.193540573120117,1080,0.37090420722961426,0.04375,0.0003,0.2,-0.0005031670072639827,250.45944185256957,-0.7237971333786846
378.37,283,793,46.23068842,110,225280,0.0036362242,88.71890258789062,1090,0.4016965627670288,0.024169921875,0.0003,0.2,-0.0023280620676814578,272.28890109062195,-0.7134012633934617
374.54,285,795,50.54550644,111,227328,0.004316664,212.9216766357422,1100,0.5202294588088989,0.053564453125,0.0003,0.2,-0.0031104674577363766,331.65144392848015,-0.6876760387793184
371.37,287,796,54.538412739999984,112,229376,0.006072104,28.992094039916992,1110,0.5140542089939117,0.048974609375,0.0003,0.2,-0.0006033655379724223,188.40824904739856,-0.6667294757440686
366.88,290,798,55.05035969000001,113,231424,0.00657948,50.96865463256836,1120,0.25752538442611694,0.04912109375,0.0003,0.2,-0.0021174073321162724,232.45926217734814,-0.6594400053843856
359.44,291,799,50.490986809999995,114,233472,0.0055412604,117.74640655517578,1130,0.35566169023513794,0.049853515625,0.0003,0.2,-0.0024122560833347963,212.49892861545086,-0.7071353880688548
353.87,293,801,50.68932225000001,115,235520,0.0034068744,18.49782371520996,1140,0.47125279903411865,0.02919921875,0.0003,0.2,-0.003777035023085773,234.19982002973558,-0.6924227569252253
