rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/loss
406.0882352941176,-238.4507745,923,14336,7,15,-0.0006368493690388277,0.004442638,0.0234375,0.0003,0.2,-0.6081490155309439,146.98039464950563,1290,0.8720320016145706,15.300580978393555
410.7105263157895,-231.03898892105258,908,16384,8,18,-0.003087336735916324,0.0037868125,0.049365234375,0.0003,0.2,-0.6987204452976584,288.01834189891815,1300,0.7192786931991577,362.2420654296875
414.6818181818182,-229.83515468181815,917,18432,9,20,-0.00156780026263732,0.0034323412,0.014013671875,0.0003,0.2,-0.5744771107099951,125.3516462892294,1310,0.8222298324108124,56.62540054321289
415.46938775510205,-234.6815665510204,915,20480,10,22,-0.0021108058048412205,0.007951911,0.045751953125,0.0003,0.2,-0.6697457363829017,192.29362556636335,1320,0.8218604773283005,268.68267822265625
409.55555555555554,-232.8630191296296,917,22528,11,24,-0.005027415247059253,0.026385875,0.07509765625,0.0003,0.2,-0.6200932199135423,221.71664073467255,1330,0.7597676217556,98.22206115722656
429.50877192982455,-235.27460115789472,892,24576,12,27,-0.0024772358694463035,0.007873906,0.05244140625,0.0003,0.2,-0.6862964238971472,156.27580038905143,1340,0.862156555056572,45.8062744140625
422.4754098360656,-237.9751330327869,888,26624,13,29,-0.00017588623413757886,0.007872889,0.08427734375,0.0003,0.2,-0.652097188308835,79.07855571657419,1350,0.9155096635222435,2.2185006141662598
422.4179104477612,-237.56437340298507,893,28672,14,32,-0.0017291695912717842,0.006178951,0.078173828125,0.0003,0.2,-0.6901458449661731,157.58416419774295,1360,0.8813103139400482,8.605867385864258
424.5774647887324,-238.71545909859157,883,30720,15,34,-0.0020942178853147198,0.005053632,0.059033203125,0.0003,0.2,-0.6991196198388934,178.04520958662033,1370,0.8409363180398941,14.015228271484375
428.7105263157895,-242.53405998684215,887,32768,16,36,-0.0036349560738017316,0.0069947825,0.1060546875,0.0003,0.2,-0.6723151313140988,157.11676787734032,1380,0.7882270514965057,59.098716735839844
443.35897435897436,-245.87251806410262,873,34816,17,39,-0.002229609414644074,0.0053094495,0.045654296875,0.0003,0.2,-0.6942256407812237,167.45004701316356,1390,0.8433815091848373,45.654441833496094
437.4404761904762,-245.44119716666665,878,36864,18,41,-0.0005103994692035485,0.0146948695,0.1138671875,0.0003,0.2,-0.6639929451048374,24.405760104209186,1400,0.8823026195168495,2.1308493614196777
440.875,-246.6296705681818,874,38912,19,44,-0.002805397340125637,0.004665829,0.04052734375,0.0003,0.2,-0.6571962302550673,235.61468859910966,1410,0.6929718255996704,25.41346549987793
433.5744680851064,-246.52890463829786,879,40960,20,46,-0.003378218628859031,0.0044757896,0.029833984375,0.0003,0.2,-0.6351586684584618,115.54620030894876,1420,0.8718633353710175,7.089512348175049
430.2828282828283,-240.86861735353534,885,43008,21,48,-0.0027137238255818376,0.005823667,0.054931640625,0.0003,0.2,-0.7033745752647519,141.92608314156533,1430,0.8541693687438965,11.391534805297852
425.67,-244.90562713,889,45056,22,50,-0.001660032045765547,0.003726372,0.02763671875,0.0003,0.2,-0.6125552811659872,246.92956813573838,1440,0.7503196150064468,50.1990966796875
426.43,-245.13956042,891,47104,23,52,-0.004228185865940759,0.01010109,0.07880859375,0.0003,0.2,-0.6831756312400102,252.3636991262436,1450,0.7432208359241486,230.6032257080078
