time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/n_updates,train/loss,train/entropy_loss
188416,92,498,889.91,20.42846007,377,0.5450431704521179,0.045849609375,0.2,0.0066669313,87.18465465456248,-0.0021534673644055145,0.0003,0.553986668586731,910,78.39826965332031,-1.661469241604209
190464,93,499,896.74,22.341181700000003,381,0.5916323363780975,0.047119140625,0.2,0.0045491355,86.5231081262231,-0.0003807674365816638,0.0003,0.552224338054657,920,37.75983428955078,-1.6491166852414607
192512,94,497,895.71,21.46152747,387,0.7776043713092804,0.061279296875,0.2,0.006893142,69.21946194767952,-0.0034154130989918485,0.0003,0.5481888055801392,930,47.67464065551758,-1.6383900340646504
194560,95,496,890.0,24.634622530000005,391,0.4567970633506775,0.098583984375,0.2,0.0059289904,68.26272979900241,0.0003485791508865077,0.0003,0.5449767112731934,940,2.297851085662842,-1.6267417933791877
196608,96,496,888.72,23.35420196,395,0.4656703472137451,0.040771484375,0.2,0.006025661,109.49948391914367,-0.001282015853212215,0.0003,0.5453991889953613,950,21.35039710998535,-1.6210705034434796
198656,97,496,888.72,22.585082550000006,399,0.3266369700431824,0.082568359375,0.2,0.0065494757,86.03166835233569,-0.004302140732397675,0.0003,0.5440157651901245,960,15.399589538574219,-1.6187832623720169
200704,98,496,884.45,20.898403750000003,404,0.8598191142082214,0.09453125,0.2,0.009845132,39.89980471879244,0.0018515736635890789,0.0003,0.5416547060012817,970,6.674027919769287,-1.6101223383098842
202752,99,493,881.92,21.36011435,410,0.7012489140033722,0.105810546875,0.2,0.008209189,84.05657276511192,-0.009549079478165367,0.0003,0.5434978604316711,980,25.96250343322754,-1.606812758743763
204800,100,493,873.1,19.359129609999997,414,0.8010034710168839,0.08525390625,0.2,0.00949016,75.82003394812345,-0.002106914108298952,0.0003,0.5404696464538574,990,5.595900535583496,-1.6073401536792518
206848,101,492,869.66,20.281945420000003,419,0.6892058849334717,0.089306640625,0.2,0.009442866,102.81297070533037,-0.003288565781258512,0.0003,0.5413891077041626,1000,9.707781791687012,-1.6022075809538365
208896,102,493,854.89,18.18856281,423,0.5657898783683777,0.083642578125,0.2,0.00974129,58.028400966525076,0.00017886534842546098,0.0003,0.5364046096801758,1010,4.08831262588501,-1.5919846139848233
210944,103,493,838.64,19.43704383,427,0.7542381137609482,0.050634765625,0.2,0.00517105,100.46878971010446,0.0006159757860586979,0.0003,0.534835159778595,1020,23.741891860961914,-1.581079714745283
212992,104,493,835.99,16.244140459999997,431,0.6431452333927155,0.054443359375,0.2,0.0048764828,142.44384674429892,-0.001855954849452246,0.0003,0.5372664928436279,1030,105.93624114990234,-1.5839342650026083
215040,105,493,825.78,14.655675399999998,435,0.8498555123806,0.080419921875,0.2,0.01019203,70.17161152884364,0.001429394444130594,0.0003,0.5387786626815796,1040,2.4992058277130127,-1.5905024044215679
217088,106,495,805.9,13.71785845,438,0.7481964528560638,0.068994140625,0.2,0.007841686,89.69705549031497,-0.004639093215519097,0.0003,0.5396703481674194,1050,6.501350402832031,-1.596923940628767
219136,107,494,803.71,15.77846368,443,0.6524395644664764,0.077734375,0.2,0.006231645,117.62771923244,-0.004862600637716241,0.0003,0.5338447690010071,1060,3.8633079528808594,-1.5859086576849222
221184,108,495,784.17,13.452583529999995,446,0.7255325615406036,0.086328125,0.2,0.007970065,124.11774372011423,-0.004632355987268966,0.0003,0.5316759347915649,1070,92.19271850585938,-1.5727172043174504
223232,109,496,772.59,13.585121219999996,449,0.6356203556060791,0.060986328125,0.2,0.009129065,132.53680725246667,-0.002850614093040349,0.0003,0.5295805335044861,1080,15.462839126586914,-1.5638032291084527
225280,110,497,766.64,13.903082949999996,452,0.7094168066978455,0.093115234375,0.2,0.010629324,76.98971124812961,0.002532651043657097,0.0003,0.5323162078857422,1090,2.0541558265686035,-1.5649407722055912
227328,111,496,760.59,11.853213129999997,457,0.7474321722984314,0.101025390625,0.2,0.012431566,60.813962721452114,-0.0009361634321976453,0.0003,0.5236336588859558,1100,12.487422943115234,-1.5540032722055912
229376,112,498,737.44,8.850722679999997,460,0.8066070079803467,0.10869140625,0.2,0.011542859,65.69996217414737,-0.0005486320180352778,0.0003,0.5240040421485901,1110,13.63616943359375,-1.5354242876172066
231424,113,499,740.27,7.669058299999998,463,0.6206982731819153,0.067041015625,0.2,0.0046815965,201.63823900818824,-0.002530029810441192,0.0003,0.5213244557380676,1120,240.2226104736328,-1.5338817149400712
233472,114,499,745.67,7.491097749999999,467,0.6851614713668823,0.1056640625,0.2,0.0108484905,41.41955357380211,0.002178133274719585,0.0003,0.5225910544395447,1130,4.598251819610596,-1.5299452509731055
235520,115,499,735.21,9.731353519999997,471,0.6907085180282593,0.08876953125,0.2,0.010700752,64.8458884164691,-0.001411169641505694,0.0003,0.520052433013916,1140,48.96760940551758,-1.5283282879739999
237568,116,500,724.57,2.898731919999999,474,0.6313079595565796,0.09169921875,0.2,0.01821309,77.89194416999817,-0.0006114787131082267,0.0003,0.5209437608718872,1150,6.156380653381348,-1.5231450613588096
239616,117,501,705.54,4.431345999999999,478,0.7150403559207916,0.081982421875,0.2,0.008611387,111.6963579237461,-0.005211560186580755,0.0003,0.5196954011917114,1160,79.49662017822266,-1.522539122775197
241664,118,501,707.1,2.5915160900000003,481,0.5270057022571564,0.0462890625,0.2,0.005830533,169.00597957074643,-0.0025964508167817257,0.0003,0.5203558206558228,1170,65.1863784790039,-1.5197649996727705
243712,119,502,694.22,-1.2979700100000013,484,0.5345552265644073,0.107275390625,0.2,0.0064466773,92.63551817908883,0.002264883909083437,0.0003,0.5105612277984619,1180,19.56549072265625,-1.5039110064506531
245760,120,503,680.91,-3.0761974300000015,488,0.4889475107192993,0.055126953125,0.2,0.005500967,214.3656202286482,-0.006223921914352104,0.0003,0.5070903301239014,1190,133.74273681640625,-1.4783976316452025
247808,121,502,673.2,-1.393482350000002,493,0.6965384185314178,0.123876953125,0.2,0.0055492395,105.02886659502983,-0.003128382113209227,0.0003,0.5066307783126831,1200,101.61437225341797,-1.4706121046096086
249856,122,503,659.38,2.162846889999996,496,0.800710529088974,0.0701171875,0.2,0.0083952295,67.8457892805338,-0.0007549106710939668,0.0003,0.5001235008239746,1210,82.1815185546875,-1.4558614905923606
251904,123,503,656.5,0.6792231699999962,500,0.33060967922210693,0.06982421875,0.2,0.0075414977,141.08204391002656,-0.002168480263571837,0.0003,0.49563366174697876,1220,8.604802131652832,-1.434114334732294
2048,1,533,761.5,-31.628457500000003,3,0.7135975360870361,0.12275390625,0.2,0.0082739955,64.34605225771665,-0.00034989053165190853,0.0003,0.49889683723449707,1230,16.395801544189453,-1.4306560318917037
4096,2,572,543.2857142857143,-92.32308742857143,7,0.8257116079330444,0.124169921875,0.2,0.009953918,50.539383460208775,-0.00245972619704844,0.0003,0.4950981140136719,1240,17.17455291748047,-1.4271697290241718
6144,3,570,570.4,-86.2807894,10,0.6095495522022247,0.052587890625,0.2,0.0061271656,126.25979905128479,-0.0025604928647226187,0.0003,0.4967750310897827,1250,54.09508514404297,-1.423592810332775
8192,4,526,572.2307692307693,-70.20517715384617,15,0.6374756395816803,0.095751953125,0.2,0.01054955,74.1534729719162,-0.001899547050925321,0.0003,0.4922570586204529,1260,2.8929545879364014,-1.4210718598216772
10240,5,531,581.4705882352941,-63.42241235294118,19,0.6204741895198822,0.07890625,0.2,0.005979986,77.66309582144022,-0.00036911290662828834,0.0003,0.49441105127334595,1270,5.113805294036865,-1.4155695237219335
12288,6,510,592.8,-70.29275175000001,24,0.6225874423980713,0.0802734375,0.2,0.009941672,85.22333141714334,0.0006232684927454102,0.0003,0.49452459812164307,1280,26.83258819580078,-1.4192031845450401
14336,7,524,581.7916666666666,-69.826133375,27,0.642116516828537,0.115283203125,0.2,0.005126467,81.68291239887476,-0.0022569202112208584,0.0003,0.48819005489349365,1290,17.80023956298828,-1.4115564815700055
16384,8,510,613.9615384615385,-70.52900926923077,32,0.7253362834453583,0.07041015625,0.2,0.005550228,87.43606689721346,-0.0021282474328472743,0.0003,0.4962247312068939,1300,52.21946716308594,-1.410185283794999
18432,9,495,629.4827586206897,-72.10301837931034,37,0.8012445271015167,0.137939453125,0.2,0.014834715,44.52609100230038,-0.0005049938583397307,0.0003,0.4913267493247986,1310,7.9925007820129395,-1.423629554361105
20480,10,497,653.3870967741935,-71.90911880645162,41,0.7453896403312683,0.088525390625,0.2,0.00671836,88.52376700341702,-0.0001821197976823896,0.0003,0.48549124598503113,1320,115.51152801513672,-1.398507046699524
