time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/std,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss
2048,-59.1003085,1,493,1000.0,4,32.06180384811014,0.0003,0.2,-1.487394681945443,0.007779617,0.5140873193740845,0.8428871333599091,0.090771484375,1230,-6.287121213972568e-05,1.5131665468215942
4096,-98.98541475,2,532,808.25,7,36.601760166976604,0.0003,0.2,-1.488783697038889,0.0076621366,0.5106467008590698,0.84834124147892,0.075048828125,1240,-0.0003656920569483191,2.7884633541107178
6144,-80.11328183333335,3,519,872.1666666666666,11,68.41350770369172,0.0003,0.2,-1.487232018634677,0.0052226763,0.5141322612762451,0.714082658290863,0.05419921875,1250,-0.001341738345217891,1.6576032638549805
8192,-79.876207,4,488,904.125,16,40.40146627593786,0.0003,0.2,-1.4757174842059613,0.012967982,0.5039795637130737,0.821916788816452,0.118115234375,1260,0.0003874340691254474,3.2251853942871094
10240,-77.39034954545454,5,516,930.2727272727273,19,35.674392393417655,0.0003,0.2,-1.4450156141072512,0.008086862,0.4978852868080139,0.85552878677845,0.06708984375,1270,-0.00043466064889798874,1.3573209047317505
12288,-77.63223723076922,6,502,941.0,24,69.29918912071734,0.0003,0.2,-1.4300981510430575,0.008202052,0.49476659297943115,0.7096505165100098,0.08447265625,1280,-0.0019710658445546867,1.0181968212127686
14336,-73.23865539999998,7,515,911.9333333333333,27,27.54270769804716,0.0003,0.2,-1.4196722809225322,0.0073818127,0.492228239774704,0.8473211228847504,0.08955078125,1290,-0.0022920499162864872,1.0956803560256958
16384,-60.618739899999994,8,534,816.1,30,44.2107070883736,0.0003,0.2,-1.4214024618268013,0.0072216094,0.4947611093521118,0.8389102220535278,0.08466796875,1300,-0.0025995494353992397,1.2643847465515137
18432,-56.346138727272724,9,534,804.6818181818181,34,181.8460570216179,0.0003,0.2,-1.4269380990415812,0.004963581,0.4953767955303192,0.5299273431301117,0.02626953125,1310,-0.002830444606297533,283.544189453125
20480,-54.071990240000005,10,520,817.16,39,50.47629083953798,0.0003,0.2,-1.4201581168919801,0.008159124,0.4909549355506897,0.768293097615242,0.068603515625,1320,-0.0008246903031249531,19.718402862548828
