rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/clip_range
863.57,303,110,743,225280,-3.9827049799999967,0.600193977355957,0.031982421875,0.0003,1090,40.38964535184205,-0.00030403341952478513,0.0053340974,-0.8352043138816952,1.3139346837997437,0.2
851.75,304,111,746,227328,-6.898457359999998,0.6994358599185944,0.039501953125,0.0003,1100,75.7822598695755,-0.0012783324142219498,0.0045373514,-0.8072041366249323,24.47247314453125,0.2
840.47,306,112,748,229376,-5.103520189999999,0.7251262366771698,0.059521484375,0.0003,1110,87.12697384059429,-0.003052990602736827,0.0063756183,-0.8073803517967463,1.9313479661941528,0.2
840.47,307,113,752,231424,-5.0360687,0.37020325660705566,0.05107421875,0.0003,1120,172.39847246408462,-0.0016653773807774996,0.006068764,-0.77157176528126,15.636765480041504,0.2
842.85,309,114,755,233472,-3.0170154000000013,0.8819582536816597,0.084521484375,0.0003,1130,23.6691427603364,0.00014790685527259483,0.0053998786,-0.825786168500781,2.0278432369232178,0.2
840.42,310,115,758,235520,-4.519654750000001,0.6613147556781769,0.100634765625,0.0003,1140,44.49014682397247,-0.0013790111006528605,0.008946361,-0.8178859321400523,7.871841907501221,0.2
841.28,312,116,760,237568,-1.902121139999999,0.673191249370575,0.019189453125,0.0003,1150,90.8546916052699,-0.0007298690819879994,0.0030718916,-0.665996284224093,9.330280303955078,0.2
843.34,313,117,763,239616,0.7606613100000004,0.8231564164161682,0.045849609375,0.0003,1160,81.88628261163831,-0.0009068863306310959,0.004735865,-0.7846151644363999,420.8228759765625,0.2
831.53,315,118,766,241664,-4.183272599999999,0.4743739366531372,0.089501953125,0.0003,1170,143.89160082191228,-0.0035348357658222087,0.0052431338,-0.8748687759041787,56.675193786621094,0.2
825.67,316,119,770,243712,0.5736397500000007,0.7880900055170059,0.034130859375,0.0003,1180,121.00885584950447,-0.0015290070536138956,0.006859494,-0.8085976585745811,16.361061096191406,0.2
820.07,318,120,772,245760,3.9417880399999974,0.8360021412372589,0.076806640625,0.0003,1190,89.34441167116165,-0.0025430408350075595,0.00671226,-0.7233599910512567,9.12544059753418,0.2
816.03,319,121,775,247808,5.428051099999997,0.36078518629074097,0.0513671875,0.0003,1200,145.00721254199743,-0.0019229246034228708,0.0038751457,-0.753845894895494,12.526638984680176,0.2
817.72,320,122,778,249856,7.0720059299999996,0.8116995543241501,0.097216796875,0.0003,1210,112.7574204325676,-0.0016580259180045687,0.008469116,-0.7906699705868959,31.415494918823242,0.2
818.05,322,123,781,251904,6.895835300000001,0.8250350803136826,0.105078125,0.0003,1220,46.77341275587678,-0.0008517701004166156,0.009207593,-0.8706824390217662,189.2325897216797,0.2
400.8,1236,1,1,2048,-132.608,0.8625785261392593,0.1001953125,0.0003,1230,42.47057617008686,0.001387641603650991,0.006693582,-0.8126893112435937,6.222626686096191,0.2
469.25,913,2,4,4096,-121.29125,0.6657907664775848,0.07958984375,0.0003,1240,130.1470716252923,-0.003784934996656375,0.0066044955,-0.686325885169208,60.5494499206543,0.2
510.27272727272725,884,3,6,6144,-136.9690909090909,0.8707559257745743,0.09072265625,0.0003,1250,28.58587421104312,-0.0019702566612977536,0.0077602975,-0.8188667921349406,48.62932586669922,0.2
556.7142857142857,808,4,10,8192,-142.5264285714286,0.8183943033218384,0.096875,0.0003,1260,28.645602791011335,4.4665775203611704e-05,0.014011373,-0.8521181156858801,1.2047053575515747,0.2
554.9444444444445,806,5,12,10240,-109.13333333333333,0.9201992601156235,0.070947265625,0.0003,1270,12.26629817634821,0.00013720020215259864,0.008173274,-0.8579410087317229,1.8332350254058838,0.2
560.1428571428571,799,6,15,12288,-91.39142857142856,0.7658500522375107,0.101123046875,0.0003,1280,39.01585919186473,-0.0013943234385806135,0.010313199,-0.7902528451755643,11.88022232055664,0.2
598.3913043478261,790,7,18,14336,-99.37695652173912,0.9016570821404457,0.05537109375,0.0003,1290,34.52426550984383,-0.0024973756379040426,0.0073260986,-0.7174872556701303,8.005561828613281,0.2
630.52,775,8,21,16384,-105.49080000000002,0.8496408760547638,0.1068359375,0.0003,1300,0.46823540767654775,-0.001017865285393782,0.0055238483,-0.8220019640401006,0.1637144386768341,0.2
610.8,753,9,24,18432,-102.48700000000002,0.8328634798526764,0.076513671875,0.0003,1310,0.46288678008131684,-0.0025962705083657058,0.0076540876,-0.8700815560296178,0.17720076441764832,0.2
619.3030303030303,760,10,26,20480,-110.35787878787879,0.8886921480298042,0.04677734375,0.0003,1320,40.43208043649793,-0.0006750218341039727,0.004112171,-0.8053962379693985,27.246885299682617,0.2
636.5714285714286,759,11,29,22528,-116.54228571428571,-0.7257205247879028,0.0271484375,0.0003,1330,67.30571747273207,-0.002080820295668673,0.0113467965,-0.8425032235682011,40.159339904785156,0.2
641.2631578947369,761,12,32,24576,-125.2484210526316,0.744108259677887,0.034130859375,0.0003,1340,14.844302641227841,0.00017254259510082192,0.0026807464,-0.7950780116021633,28.373340606689453,0.2
631.4285714285714,761,13,34,26624,-124.62880952380952,0.3756587505340576,0.03359375,0.0003,1350,38.56985351480544,-0.0012853673804784193,0.002470957,-0.9029686160385608,3.341700315475464,0.2
