time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates
322,122,249856,16.213746250000003,774,679.46,-0.8087827118113637,231.79666976034642,23.31646728515625,0.079541015625,0.6948218047618866,-0.0038753829576307908,0.011080336,0.2,0.0003,1210
325,123,251904,13.769591570000003,774,671.92,-0.7136176995933056,100.87534470781684,491.55841064453125,0.05322265625,0.722993791103363,-0.0006897221210238058,0.007131395,0.2,0.0003,1220
1,1,2048,-206.2621818,1481,347.2,-0.6935711048543454,91.22331763207913,298.2472229003906,0.022509765625,0.8519819378852844,-0.0007896305483882316,0.0042450554,0.2,0.0003,1230
4,2,4096,-213.2429764285714,935,533.7142857142857,-0.7483749490231275,188.7180511802435,79.36162567138672,0.0447265625,0.8124267756938934,-0.0018842571880668402,0.003398072,0.2,0.0003,1240
6,3,6144,-192.59095391666668,959,506.25,-0.6347179185599089,35.33477117195726,2.2799839973449707,0.058544921875,0.8820343688130379,-0.0004744769088574685,0.0054720617,0.2,0.0003,1250
8,4,8192,-207.2940855,932,492.5,-0.7059114631265402,189.75080167949199,49.660099029541016,0.012060546875,0.3122926950454712,-0.002109878377086716,0.0020184556,0.2,0.0003,1260
11,5,10240,-225.11297676190475,923,484.85714285714283,-0.7651579964905977,131.52250463366508,322.8233947753906,0.0556640625,0.6135062575340271,-0.0018905723532952833,0.005920795,0.2,0.0003,1270
13,6,12288,-232.81461004347824,911,529.6521739130435,-0.720432547479868,223.36462255120279,336.38482666015625,0.01640625,0.6112784743309021,-0.0014679354771942599,0.005378505,0.2,0.0003,1280
15,7,14336,-229.2526828965517,907,493.41379310344826,-0.7219363156706095,47.82971902899444,2.410414695739746,0.11435546875,0.7661841213703156,-0.005437053588684649,0.0107639525,0.2,0.0003,1290
18,8,16384,-228.44929042424243,889,492.93939393939394,-0.7603086015209556,219.84383635520936,23.8507137298584,0.048046875,0.598006010055542,-0.0012647376472159522,0.0059477743,0.2,0.0003,1300
20,9,18432,-220.78738232432434,895,494.7837837837838,-0.7491519924253225,179.41832787692547,237.8525390625,0.11279296875,0.6410347819328308,-0.003639037983521121,0.009323488,0.2,0.0003,1310
23,10,20480,-218.6773945714286,890,484.9761904761905,-0.6866364050656557,204.92877801060678,79.16858673095703,0.0912109375,0.6457581520080566,-0.0017524734153994358,0.00961596,0.2,0.0003,1320
25,11,22528,-218.58264102222225,895,488.64444444444445,-0.7081932509317994,186.14371649622916,322.86468505859375,0.041015625,0.7993898093700409,-0.002481956998963142,0.00595179,0.2,0.0003,1330
27,12,24576,-215.89159224489796,893,484.16326530612247,-0.7244888547807932,100.30084292292595,306.4230651855469,0.04755859375,0.8496323674917221,-0.0022475693105661774,0.006760759,0.2,0.0003,1340
29,13,26624,-215.011107754717,894,494.7169811320755,-0.6572820656001568,174.16323145627976,7.9601006507873535,0.1091796875,0.5781259536743164,-0.002188847093930235,0.018784778,0.2,0.0003,1350
32,14,28672,-208.30373705172414,888,492.32758620689657,-0.6862672891467809,104.67488080039621,5.610497951507568,0.04462890625,0.7983495742082596,-0.0022125772455183325,0.006220693,0.2,0.0003,1360
34,15,30720,-192.48691134848488,899,465.1515151515151,-0.6883384233340621,142.00417741537095,5.861800193786621,0.054345703125,0.7633239477872849,-0.0016563134500756859,0.007921342,0.2,0.0003,1370
36,16,32768,-187.59915314285715,906,464.37142857142857,-0.6235584008507431,322.4225029349327,36.97616195678711,0.046240234375,0.6351927816867828,-0.0029842706833733247,0.003867051,0.2,0.0003,1380
38,17,34816,-186.0334465479452,906,466.8082191780822,-0.7045277083292604,114.38617256432772,6.0370612144470215,0.057080078125,0.8248221129179001,-0.0016572968008404132,0.0038065054,0.2,0.0003,1390
40,18,36864,-182.91345403797465,910,462.49367088607596,-0.6641170976683497,74.07201216854155,270.6356506347656,0.147265625,0.7995027899742126,-0.00018946216878248378,0.0058334246,0.2,0.0003,1400
42,19,38912,-184.14694229268292,908,472.3658536585366,-0.7142464259639383,176.03591669797896,284.9128723144531,0.02197265625,0.7656519562005997,-0.0017111593209847343,0.0029425349,0.2,0.0003,1410
