rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/clip_range,train/learning_rate,train/n_updates,train/loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/value_loss
771.8,-29.03155751,366,682,122,249856,0.2,0.0003,1210,59.825199127197266,0.6085105240345001,0.056494140625,0.010734459,-0.7014717759564519,-0.004154997092700796,220.76917610168456
764.45,-29.868467700000007,368,682,123,251904,0.2,0.0003,1220,3.073659658432007,0.8631428778171539,0.05166015625,0.0050477525,-0.8157012121751904,-0.0008581512418459169,38.63286152333021
814.5,-141.10500000000002,2,838,1,2048,0.2,0.0003,1230,17.795286178588867,0.6428165137767792,0.044873046875,0.0052451277,-0.7625889202579856,-0.001688942361579393,185.6956176906824
775.8,-113.146,5,731,2,4096,0.2,0.0003,1240,11.563277244567871,0.5528672337532043,0.102783203125,0.006169401,-0.8222016807645559,-0.004081340408447431,98.0380834415555
799.1428571428571,-121.39571428571428,8,691,3,6144,0.2,0.0003,1250,95.66825866699219,0.6202874481678009,0.07451171875,0.005255034,-0.7573348429054022,-0.001840602047741413,96.99068979322911
824.5555555555555,-118.54444444444445,12,655,4,8192,0.2,0.0003,1260,16.820066452026367,0.29571568965911865,0.0498046875,0.010835841,-0.7498759089037776,-0.005845032267097849,84.23700566366315
856.4545454545455,-120.98,15,656,5,10240,0.2,0.0003,1270,27.44708251953125,0.30058497190475464,0.10107421875,0.010712074,-0.7732199931517243,-0.00016268958861473948,60.06052611079067
878.5384615384615,-126.9976923076923,19,638,6,12288,0.2,0.0003,1280,0.22472473978996277,0.8615598082542419,0.108251953125,0.011269702,-0.8496487502008676,0.0021826302050612866,0.6948025424964726
880.0,-138.786875,22,628,7,14336,0.2,0.0003,1290,0.08382183313369751,0.8507881164550781,0.077783203125,0.008573558,-0.7583213178440928,-0.002647492419055197,0.8033575869631022
885.1111111111111,-134.48222222222225,26,610,8,16384,0.2,0.0003,1300,10.879244804382324,0.5986036062240601,0.046240234375,0.004333814,-0.868367582000792,-0.0004347531928942772,23.7469139393419
896.6,-137.312,30,609,9,18432,0.2,0.0003,1310,0.3706716001033783,0.2070046067237854,0.0478515625,0.005431099,-0.7832767821848392,-0.0007936041554785333,45.766636146511885
890.3478260869565,-143.40739130434784,33,619,10,20480,0.2,0.0003,1320,0.1433834433555603,0.9078261032700539,0.09765625,0.011219604,-0.9003765102475881,-0.004074040360865183,0.6636508261086419
895.04,-141.214,35,634,11,22528,0.2,0.0003,1330,3.0459253787994385,0.42761552333831787,0.04658203125,0.0064368667,-0.8218351686373353,-0.0012694417309830897,21.03331589195877
902.8148148148148,-141.67148148148146,39,626,12,24576,0.2,0.0003,1340,1.6895264387130737,0.23168355226516724,0.045166015625,0.005071963,-0.8952014455571771,-0.0010938861560134683,40.695197882922365
