time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,train/policy_gradient_loss,train/std,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
194560,17.632462089999997,355,617.29,95,546,-0.001673697674414143,0.6651208996772766,-2.0215897373855114,0.5765947103500366,25.184804916381836,0.004896327,940,0.066357421875,151.2669130757451,0.0003,0.2
196608,17.576144539999998,359,621.52,96,546,-0.0077816186101699715,0.6606501340866089,-2.013613822311163,0.6727877557277679,58.114105224609375,0.008089723,950,0.084033203125,111.85506666377186,0.0003,0.2
198656,15.227447949999998,362,611.84,97,548,-0.00031870385791989977,0.6619885563850403,-2.0101995550096037,0.8120082765817642,3.9908933639526367,0.0066802516,960,0.1021484375,40.357644856721166,0.0003,0.2
200704,18.38775173,366,610.64,98,547,-0.005672970409796108,0.6596583127975464,-2.00927529335022,0.5888824462890625,199.57749938964844,0.00847706,970,0.11025390625,152.3914949864149,0.0003,0.2
202752,16.42979134,369,588.02,99,548,0.000989419865072705,0.6541743278503418,-1.9975855313241482,0.5943479239940643,20.2573184967041,0.014179786,980,0.09072265625,86.01710015535355,0.0003,0.2
204800,14.433639919999997,372,584.18,100,549,-0.0030397921218536794,0.6488522887229919,-1.9797113940119744,0.6713788509368896,40.98054504394531,0.0038120435,990,0.05087890625,161.6423102080822,0.0003,0.2
206848,13.245270559999996,375,587.29,101,550,-0.0041329999759909695,0.6497815847396851,-1.9733390349894762,0.5843534469604492,32.015323638916016,0.008130782,1000,0.085595703125,197.36992504894732,0.0003,0.2
208896,9.806153639999998,377,568.75,102,552,-0.0010537053876760183,0.645309329032898,-1.9684687484055758,0.7809450030326843,2.251331329345703,0.007621871,1010,0.074951171875,72.33205123245716,0.0003,0.2
210944,5.415029659999999,381,552.88,103,552,-0.0008747151947318344,0.640914797782898,-1.9552078053355217,0.6413554847240448,43.56698226928711,0.0059140157,1020,0.077783203125,179.54734207987786,0.0003,0.2
212992,5.343590900000001,386,555.48,104,551,-0.00058227998597431,0.6441222429275513,-1.9512364145368337,0.8102826178073883,75.31214904785156,0.007886798,1030,0.076953125,126.7820982053876,0.0003,0.2
215040,6.46250981,389,548.97,105,552,0.004495964271154662,0.6344423294067383,-1.9408930819481611,0.8361068814992905,7.383839130401611,0.0142724775,1040,0.134619140625,63.56553435605019,0.0003,0.2
217088,6.3914532999999984,392,554.41,106,553,-0.00026233646785840393,0.6359285116195679,-1.9273776303976775,0.6782436072826385,6.022103309631348,0.004398141,1050,0.03876953125,105.44581592381,0.0003,0.2
219136,10.316749349999998,395,562.25,107,554,-0.0012983304128283634,0.6298776268959045,-1.9211546499282122,0.6827248334884644,1.0340297222137451,0.0064346706,1060,0.08486328125,43.60034313499928,0.0003,0.2
221184,9.765756309999999,398,558.65,108,554,-0.002557755996531341,0.6265345811843872,-1.9058735951781274,0.6199423670768738,24.570348739624023,0.005952865,1070,0.068603515625,94.45821535885334,0.0003,0.2
223232,8.00443627,402,564.43,109,554,-0.004508427867403952,0.6228816509246826,-1.896488593146205,0.5583290457725525,87.6097412109375,0.007156983,1080,0.055859375,101.06155157983304,0.0003,0.2
225280,7.372232019999999,406,560.47,110,554,-0.0036177732195938005,0.6216709613800049,-1.888383087515831,0.44776082038879395,94.81139373779297,0.005682025,1090,0.060888671875,147.20888769626617,0.0003,0.2
227328,5.7333868400000005,409,558.75,111,554,-0.003464915691438364,0.6258605122566223,-1.8926325906068087,0.6745841205120087,136.0507049560547,0.007103261,1100,0.086376953125,125.80220146253706,0.0003,0.2
229376,5.00873165,413,554.37,112,555,-0.0023455762428056916,0.6216551661491394,-1.8939171731472015,0.7079798877239227,109.4217300415039,0.005246151,1110,0.036376953125,138.5761155694723,0.0003,0.2
231424,7.32379966,416,550.57,113,555,-0.0025014714628923684,0.6123785972595215,-1.867734332382679,0.7493268549442291,43.1602783203125,0.008603722,1120,0.0650390625,78.95816477239131,0.0003,0.2
233472,3.6312366000000007,420,558.77,114,555,-0.005856087237771135,0.602995753288269,-1.8418435927480459,0.6106871366500854,14.684249877929688,0.005384739,1130,0.04384765625,150.5458387285471,0.0003,0.2
235520,3.642881989999999,424,569.5,115,554,-0.0046634552621981126,0.6008676290512085,-1.8175241693854332,0.7028502821922302,20.882122039794922,0.0119293295,1140,0.083349609375,94.93013107925654,0.0003,0.2
237568,2.984018449999998,427,573.44,116,555,0.0034626792228664273,0.591707170009613,-1.7999162297695874,0.9009435325860977,292.2558898925781,0.0064596734,1150,0.13408203125,31.091995376721023,0.0003,0.2
239616,3.577673319999998,431,580.91,117,555,-0.004282330505520804,0.5856029987335205,-1.7720994677394628,0.7664031237363815,4.316945552825928,0.014195506,1160,0.09140625,111.07347706705332,0.0003,0.2
241664,3.331149809999998,434,583.96,118,555,-0.001979373325229972,0.5845555067062378,-1.7613507907837629,0.6867817342281342,8.932520866394043,0.0038736458,1170,0.07021484375,184.6791685938835,0.0003,0.2
243712,0.5678514099999998,438,584.94,119,555,-0.003968642015752266,0.5782718062400818,-1.751830956712365,0.5637568533420563,280.2880554199219,0.009957883,1180,0.068505859375,145.18076014816762,0.0003,0.2
245760,-0.2866115099999976,442,585.09,120,555,-0.006236716677813092,0.5789109468460083,-1.7381564889103174,0.7625909000635147,5.992567539215088,0.010244165,1190,0.097412109375,113.23108323141932,0.0003,0.2
247808,-5.033696699999998,445,577.4,121,556,-0.0014668825184344313,0.5756327509880066,-1.7371395386755466,0.7863153666257858,35.27763366699219,0.0069929142,1200,0.08310546875,109.81628688722849,0.0003,0.2
249856,-6.36453312,448,586.16,122,557,-0.004690142193430802,0.5751098394393921,-1.7298424456268549,0.7357513010501862,76.30770111083984,0.007208705,1210,0.07236328125,124.58523782491685,0.0003,0.2
