time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss,train/n_updates
225280,287,110,782,32.38984824999999,561.5,-0.8874850537627935,0.0059746513,29.588159561157227,0.0003,0.10634765625,0.9077060893177986,0.2,68.97551813870669,-0.005785505549283698,1090
227328,290,111,782,33.79200248,574.09,-0.8919170090928674,0.0049090153,3.8268215656280518,0.0003,0.057861328125,0.8647129982709885,0.2,37.41653115898371,-0.001437249791342765,1100
229376,293,112,780,41.868115319999994,579.38,-0.8852097721770406,0.007946845,4.589258193969727,0.0003,0.073974609375,0.8775350525975227,0.2,64.56851340681314,-0.004729133049113443,1110
231424,297,113,777,38.81779952,594.33,-0.8423576705157757,0.005580993,244.7738494873047,0.0003,0.060986328125,0.8630830496549606,0.2,78.56069002002478,-0.004647549685614649,1120
233472,299,114,778,35.4825524,588.09,-0.747655132971704,0.018633623,19.20332145690918,0.0003,0.1158203125,0.8225569128990173,0.2,92.24665199965239,-0.005788194675551495,1130
235520,302,115,777,39.35324257,590.8,-0.7975648896768689,0.0044005294,18.01572608947754,0.0003,0.07080078125,0.3967200517654419,0.2,204.51429326981307,-0.0023649211441806985,1140
237568,305,116,777,37.60227018999999,595.87,-0.7323356563225388,0.004063825,20.163318634033203,0.0003,0.01982421875,0.7461066544055939,0.2,118.54526111483574,-0.003390070431487402,1150
239616,308,117,776,41.549780840000004,593.81,-0.7669156616553664,0.0032861405,122.40039825439453,0.0003,0.016748046875,0.7211085259914398,0.2,191.42022640705108,-0.001320207790195127,1160
241664,311,118,774,40.99367701000001,607.6,-0.7662923460826278,0.0070398524,25.145172119140625,0.0003,0.06591796875,0.6672944724559784,0.2,106.60699354112148,-0.0020127484363911207,1170
243712,314,119,774,41.26303267000001,609.53,-0.7405978227034211,0.0036853487,3.3899331092834473,0.0003,0.057763671875,0.603832870721817,0.2,51.803383332490924,-0.0007620549789862707,1180
245760,317,120,774,40.215193230000004,606.97,-0.7370350822806359,0.005243849,161.24468994140625,0.0003,0.046630859375,0.6118460893630981,0.2,121.08716222643852,-0.002446326928475173,1190
247808,319,121,775,39.74368192,608.58,-0.8266698345541954,0.0049048983,25.938779830932617,0.0003,0.049462890625,0.69866743683815,0.2,125.18469563275576,-0.0015344232251663925,1200
249856,321,122,776,38.8238154,616.91,-0.7884579842910171,0.0048233783,42.5883674621582,0.0003,0.05185546875,0.7668977230787277,0.2,137.88339759409428,-0.004630800049562822,1210
251904,324,123,776,38.517763220000006,619.87,-0.7565158635377884,0.00817312,108.38938903808594,0.0003,0.056689453125,0.5405475497245789,0.2,85.82200327664614,-0.001357641401773435,1220
2048,2,1,1014,-284.4875,481.5,-0.7344684157520532,0.006789065,24.190183639526367,0.0003,0.083544921875,0.6537538766860962,0.2,124.47046689838172,-0.004447821196663426,1230
4096,5,2,764,-305.4214285714285,556.4285714285714,-0.8028447298333049,0.014232069,12.282203674316406,0.0003,0.093408203125,0.5281263887882233,0.2,122.78064227700233,-0.0034742039712000405,1240
6144,8,3,730,-373.34,589.5,-0.747599208727479,0.005438782,9.182388305664062,0.0003,0.037255859375,0.8933444768190384,0.2,58.91966983526945,-0.0022928233083803207,1250
