rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates
24.41636443,719,816.93,157696,219,77,328.4055480957031,-0.0008063999946898547,0.2,0.5621659457683563,-0.7824909057468176,0.0030996548,0.0003,106.87586433589459,0.05078125,760
25.562453249999997,716,815.13,159744,222,78,41.00164794921875,-0.0045914383314084265,0.2,0.5072734653949738,-0.7194913413375617,0.0053935247,0.0003,121.31164170056581,0.069287109375,770
25.920588449999997,717,804.38,161792,225,79,8.383333206176758,-0.0022957359557040035,0.2,0.6437348425388336,-0.8262182986363769,0.007169925,0.0003,72.07222597002983,0.08017578125,780
25.94532815,714,796.01,163840,229,80,17.326786041259766,-0.004032978955001454,0.2,0.6316001415252686,-0.8131960844621062,0.004129955,0.0003,131.7179123029113,0.0599609375,790
28.498588759999997,712,793.57,165888,232,81,119.10043334960938,-0.0015859546409046743,0.2,0.5489540100097656,-0.8268663452938199,0.005298863,0.0003,137.6387342482805,0.03896484375,800
33.36177498,712,797.78,167936,235,82,5.288055419921875,-0.0020032572218042334,0.2,0.5585347414016724,-0.862758936919272,0.0035719464,0.0003,66.47035078927874,0.060986328125,810
36.71201595,710,795.46,169984,239,83,27.36588478088379,-0.0019292850211058976,0.2,0.640778511762619,-0.7841168381273746,0.00714179,0.0003,90.61696936637163,0.052294921875,820
40.491716,709,792.42,172032,242,84,59.559322357177734,-0.0035445951514702758,0.2,0.5804531872272491,-0.7880097022280097,0.0065297084,0.0003,102.4597944766283,0.0583984375,830
43.87321313999999,708,784.46,174080,245,85,27.99222183227539,-0.011145562537421938,0.2,0.6497121155261993,-0.7523643841966987,0.01219325,0.0003,100.95787916481495,0.12197265625,840
45.602820709999996,708,774.73,176128,248,86,29.02924346923828,-0.0011703964893968078,0.2,0.6660924255847931,-0.7375519338995218,0.00597215,0.0003,82.67392254173755,0.064501953125,850
45.68475883000001,705,774.73,178176,252,87,184.65475463867188,-0.0007098739995853975,0.2,0.3699995279312134,-0.7362142164260149,0.005770036,0.0003,153.65228628367186,0.05517578125,860
45.330378270000004,703,773.25,180224,256,88,5.8478684425354,-1.5917552082100884e-05,0.2,0.7361683249473572,-0.761114196665585,0.0052435333,0.0003,39.723752754181625,0.055810546875,870
47.499559340000005,702,766.68,182272,259,89,23.583194732666016,-0.0011696497971570353,0.2,0.7199613451957703,-0.6067523754201829,0.004449743,0.0003,49.92439590394497,0.03984375,880
42.27267684999999,703,762.09,184320,261,90,43.93024826049805,-0.005387589531528647,0.2,0.5258853733539581,-0.7578072305768728,0.007441967,0.0003,142.31335168331861,0.0701171875,890
44.14258543999999,702,769.59,186368,265,91,67.24877166748047,-0.0034605781973368723,0.2,0.5468303859233856,-0.803868486173451,0.0044588763,0.0003,171.13503756672145,0.0548828125,900
42.241041720000005,702,763.42,188416,268,92,35.06218338012695,-0.0032708413229556752,0.2,0.5649823546409607,-0.7863542623817921,0.0051980917,0.0003,101.96677835583687,0.05908203125,910
40.42607718,703,754.52,190464,270,93,75.94022369384766,-0.0032595290776953334,0.2,0.6627792716026306,-0.7846158407628536,0.0127905775,0.0003,130.86794831603765,0.062890625,920
39.88246036,704,754.97,192512,273,94,109.97810363769531,0.00010310236466466449,0.2,0.5327963531017303,-0.7756837530061602,0.0062579177,0.0003,187.78316346406936,0.04951171875,930
37.836869779999994,703,762.86,194560,276,95,103.32955169677734,-0.001667709314642707,0.2,0.7299862802028656,-0.7603894453495741,0.0066001303,0.0003,77.6989577755332,0.0609375,940
35.32782541,701,759.8,196608,280,96,5.474348068237305,-0.001747943402006058,0.2,0.501667320728302,-0.8179593602195382,0.005724239,0.0003,104.58283503465354,0.060595703125,950
