time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates
729,247,5.274597790000002,180224,88,839.04,-0.8849469861015677,0.0003,0.064306640625,0.797917827963829,0.2,38.713803307339546,0.0048038447,-0.0005693239771062508,0.8596989512443542,870
729,249,6.812439559999998,182272,89,842.46,-0.9038579884916544,0.0003,0.061865234375,0.5478959083557129,0.2,74.08527299538255,0.0061144102,-0.002572105196304619,2.5122873783111572,880
727,253,6.95440409,184320,90,842.46,-0.8807695677503944,0.0003,0.055078125,0.6446261703968048,0.2,81.82200734615326,0.0077536353,-0.001980255350645166,39.390254974365234,890
724,257,4.6593975499999996,186368,91,841.08,-0.9613438906148076,0.0003,0.0755859375,0.7807029336690903,0.2,35.70619149953127,0.0058250446,-0.0037882579956203697,2.91457462310791,900
721,261,4.848425059999999,188416,92,843.0,-0.9033422078937292,0.0003,0.045068359375,0.6837235987186432,0.2,77.46829165071249,0.0068279128,-0.001189691054605646,13.980362892150879,910
719,264,6.364942050000001,190464,93,848.71,-0.9532578945159912,0.0003,0.0642578125,0.799085944890976,0.2,42.138697781413796,0.0066302298,-0.0005887754203286022,4.16393518447876,920
715,269,6.7062268099999995,192512,94,853.94,-0.9336302727460861,0.0003,0.123486328125,0.8018216341733932,0.2,41.43297678679228,0.013010606,-0.003498088951164391,2.014831304550171,930
715,272,4.5051361599999975,194560,95,854.84,-0.8902642222121357,0.0003,0.08837890625,0.8409572690725327,0.2,29.6458291657269,0.009188714,-0.003072443218843546,3.193906545639038,940
715,274,4.082641589999997,196608,96,858.14,-0.9009613875299692,0.0003,0.10537109375,0.6150892674922943,0.2,118.71172485500574,0.010794947,-0.0057021652559342325,8.580796241760254,950
715,277,3.7908036799999985,198656,97,855.44,-0.9083247017115355,0.0003,0.085791015625,0.7828501164913177,0.2,43.660089660435915,0.0064091105,-0.0028737348766298965,3.116959810256958,960
714,280,2.9214691299999993,200704,98,858.47,-0.897618030756712,0.0003,0.105810546875,0.6150923371315002,0.2,97.01207309998571,0.007690624,-0.001973099010865553,19.78926658630371,970
714,283,2.0550126300000002,202752,99,861.8,-0.9427719028666616,0.0003,0.06630859375,0.743354320526123,0.2,47.251491183787586,0.0048488304,0.0005038369497924577,3.14994478225708,980
715,286,4.554388829999999,204800,100,864.3,-0.8983955640345812,0.0003,0.09140625,0.824393630027771,0.2,41.74701710157096,0.00830105,-0.004860248600016348,0.39117157459259033,990
714,289,3.414246399999999,206848,101,868.02,-0.8112307891249657,0.0003,0.0259765625,0.49836403131484985,0.2,120.31724744588136,0.0027458412,-0.0009469177395658335,63.048160552978516,1000
714,292,2.9622831699999996,208896,102,871.13,-0.7236706728115678,0.0003,0.040625,0.6761289238929749,0.2,52.94208339191973,0.0056344103,-0.0019930768252379495,29.333023071289062,1010
712,295,4.878354059999998,210944,103,876.77,-0.9455877594649792,0.0003,0.143359375,0.689392626285553,0.2,42.59237755462527,0.011414967,-0.0035996755061205475,1.432356357574463,1020
712,299,4.0287905399999975,212992,104,876.77,-0.881240856088698,0.0003,0.078564453125,0.8300074189901352,0.2,40.025347642228006,0.0059577464,-0.0037498133206099737,1.0901845693588257,1030
710,302,5.191275819999999,215040,105,873.55,-0.9331182908266783,0.0003,0.102685546875,0.8576886057853699,0.2,32.95780401648953,0.008132255,-0.0030457543361990247,0.6528515219688416,1040
710,305,6.870808719999998,217088,106,878.07,-0.7934261631220579,0.0003,0.038037109375,0.6075514853000641,0.2,82.64456991255284,0.0033320026,-0.00037425118862302045,37.72984313964844,1050
708,309,3.6716332199999986,219136,107,875.76,-0.8979395542293787,0.0003,0.1080078125,0.811135396361351,0.2,35.89982103817165,0.009915914,-0.0035717304643185345,186.1056671142578,1060
708,312,3.40891343,221184,108,877.52,-0.9317675614729524,0.0003,0.038916015625,0.6573212146759033,0.2,84.20982344523073,0.0067456476,-0.002413686602812959,23.91800880432129,1070
708,315,2.5901932300000006,223232,109,879.06,-0.8620938284322619,0.0003,0.0421875,0.6983815133571625,0.2,78.32983475103974,0.0049970923,-0.001958897892473033,2.1357686519622803,1080
707,318,4.325743110000001,225280,110,884.7,-0.8564593944698572,0.0003,0.075439453125,0.7401905357837677,0.2,58.54812043868005,0.007236195,-0.001955646145506762,27.576574325561523,1090
706,321,8.048998959999999,227328,111,877.1,-0.7746933603659272,0.0003,0.114404296875,0.6460191011428833,0.2,92.39957422018051,0.0072578406,-0.001974087175767636,3.091311454772949,1100
706,324,7.988682499999999,229376,112,877.14,-0.6125049678608775,0.0003,0.02646484375,0.5489890575408936,0.2,190.88719434291124,0.0049594482,-0.0006373872261974612,41.15178298950195,1110
705,328,6.750703040000001,231424,113,874.53,-0.9800835294649005,0.0003,0.163818359375,0.8124882280826569,0.2,42.89587512277067,0.027836194,-0.0004574955273710657,2.1178267002105713,1120
706,330,8.763717749999998,233472,114,867.53,-0.9790332885459065,0.0003,0.0296875,0.6935993134975433,0.2,98.13470134809613,0.0029087772,-0.0018713359253524687,27.602237701416016,1130
704,334,10.646382449999999,235520,115,864.76,-0.8908338528126478,0.0003,0.040673828125,0.7315229773521423,0.2,90.90950110033154,0.0042101755,-0.0014315575219370658,25.95542335510254,1140
705,336,9.730743359999998,237568,116,856.64,-0.7408415377140045,0.0003,0.052587890625,0.7456071972846985,0.2,76.4882925465703,0.005409479,-0.003790518164896639,58.61009979248047,1150
704,339,10.06132217,239616,117,850.36,-0.8426886027678847,0.0003,0.02412109375,0.6184066534042358,0.2,160.37260974943638,0.005260813,-0.0025144524697680026,53.905879974365234,1160
705,342,11.921007119999997,241664,118,849.47,-0.9251961894333363,0.0003,0.125927734375,0.7791367322206497,0.2,50.903235444799066,0.009282805,-0.0005533933574042749,2.150359869003296,1170
706,344,15.42095623,243712,119,829.83,-0.7910226887091995,0.0003,0.04404296875,0.8114409744739532,0.2,60.56574441641569,0.004217093,-0.001475826871319441,1.9079543352127075,1180
707,347,14.834815429999999,245760,120,818.3,-0.6529338727705181,0.0003,0.02529296875,0.4487440586090088,0.2,223.2785900861025,0.0052513517,-0.0007285650201083627,75.58184051513672,1190
707,350,14.98550583,247808,121,815.2,-0.7140472503378987,0.0003,0.033447265625,0.6093423962593079,0.2,122.27326947301626,0.003677918,-0.0013924543192842976,14.963172912597656,1200
709,352,14.856527489999996,249856,122,794.82,-0.8386392353102565,0.0003,0.100048828125,0.5059303045272827,0.2,96.83450774177909,0.009003712,-0.0016234062928560888,41.09230041503906,1210
709,354,14.889118470000003,251904,123,783.2,-0.7371544316411018,0.0003,0.029345703125,0.5762869119644165,0.2,184.5983245253563,0.002305801,-0.0004941319668432698,26.132747650146484,1220
864,2,-354.4230155,2048,1,690.5,-0.8353562688454985,0.0003,0.141455078125,0.5271203815937042,0.2,157.96987797245384,0.009096937,-0.005802285668323748,17.29405403137207,1230
780,5,-355.98496220000004,4096,2,789.2,-0.9123119130730629,0.0003,0.11298828125,0.41009098291397095,0.2,93.13021008223295,0.008933919,-0.005941139064088929,12.402368545532227,1240
818,7,-385.64857762500003,6144,3,709.5,-0.8266326259821654,0.0003,0.083056640625,0.4378393292427063,0.2,100.70841652974487,0.009674378,-7.04964593751356e-05,5.088716506958008,1250
