time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl
2,315.0833333333333,3,4096,1255,1.7324999999999982,0.2,-0.005060903557750862,1240,0.0003,0.089306640625,158.6667990744114,107.99343872070312,0.45104289054870605,-0.7997160568833351,0.010833558
3,349.05882352941177,5,6144,1175,-13.081764705882351,0.2,-0.003420536293560872,1250,0.0003,0.1287109375,105.53190978169441,26.784427642822266,0.6394593715667725,-0.7505690101534128,0.010272948
4,350.82608695652175,7,8192,1123,-4.44478260869565,0.2,-0.0033251301232667175,1260,0.0003,0.06962890625,90.5933036968112,83.21604919433594,0.7691317796707153,-0.7488695185631513,0.007056111
5,335.5,9,10240,1123,-10.228333333333333,0.2,-0.0014999633633124177,1270,0.0003,0.04453125,151.86651175618172,35.20701217651367,0.6187730133533478,-0.6612018514424562,0.0038440512
6,329.19444444444446,11,12288,1112,-4.538333333333335,0.2,-0.0018670521927560912,1280,0.0003,0.048193359375,127.1431095764041,31.238691329956055,0.798230454325676,-0.7496714638546109,0.011204388
7,336.4047619047619,12,14336,1104,-5.520952380952381,0.2,-0.006498546825605444,1290,0.0003,0.05693359375,66.35790055394173,29.230499267578125,0.8143564760684967,-0.6375679390504956,0.0043398426
8,331.1020408163265,14,16384,1108,3.762857142857143,0.2,-0.002629609435098246,1300,0.0003,0.059521484375,152.2912656724453,57.10142135620117,0.7722566723823547,-0.676527788490057,0.008182772
9,323.05263157894734,16,18432,1109,1.0256140350877205,0.2,-0.0006947511858015787,1310,0.0003,0.010009765625,95.33645544648171,29.81537628173828,0.7522556185722351,-0.6710028503090143,0.0018982508
10,329.35483870967744,18,20480,1106,5.7848387096774205,0.2,-0.001596300522578531,1320,0.0003,0.055029296875,162.29045063555242,120.51143646240234,0.7758399099111557,-0.6996119057759642,0.007265454
11,320.37142857142857,20,22528,1113,-2.0791428571428563,0.2,-0.001037219889985863,1330,0.0003,0.03310546875,79.1510279238224,32.1457405090332,0.8579671680927277,-0.6291827931068837,0.004743126
12,315.5844155844156,22,24576,1116,0.937532467532469,0.2,-0.0033040833350241883,1340,0.0003,0.0423828125,156.64735779464246,51.5086784362793,0.7575680613517761,-0.6469299355521798,0.0050080405
13,312.94117647058823,23,26624,1116,6.590470588235296,0.2,-0.0030656487939268117,1350,0.0003,0.11240234375,126.59507480859756,32.348594665527344,0.7323809266090393,-0.7415949951857328,0.0064377235
14,306.86021505376345,25,28672,1123,2.6648387096774186,0.2,-0.0018921065333415755,1360,0.0003,0.036865234375,69.28544145524502,60.14403533935547,0.8901219442486763,-0.5963121999986469,0.0063317604
