time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/explained_variance,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss
198656,272,805.61,-5.194310700000001,728,97,0.873475581407547,5.556546211242676,0.0040479614,0.0003,960,0.033544921875,-0.0008427070850302698,0.2,-0.901668437384069,71.67385370880365
200704,275,802.72,-4.577695929999999,729,98,0.8055170625448227,18.817758560180664,0.0054249372,0.0003,970,0.037109375,-0.001300954876205651,0.2,-0.896218977868557,80.11488707587122
202752,278,802.72,-4.1172557199999975,727,99,0.7025450468063354,214.92698669433594,0.0055068377,0.0003,980,0.06005859375,-0.0016168066998943687,0.2,-0.7127611298114062,148.95844477862119
204800,281,796.76,-3.227770349999998,727,100,0.9205386936664581,2.1385791301727295,0.033254184,0.0003,990,0.15263671875,-0.007061802617681678,0.2,-0.7018463496118784,32.610803426243365
206848,284,803.05,-1.6843670699999982,726,101,0.790881335735321,209.87249755859375,0.022466123,0.0003,1000,0.124560546875,-0.002697890686977189,0.2,-0.931947597488761,66.41532117575407
208896,287,802.67,-4.391669839999999,726,102,0.8845465257763863,0.6906864643096924,0.02095244,0.0003,1010,0.202978515625,-0.011255190375959501,0.2,-0.9444119954481721,39.69972888249904
210944,291,816.92,-1.0687772799999988,724,103,0.7472899258136749,3.4468770027160645,0.0059760027,0.0003,1020,0.02607421875,-0.0014109389943769203,0.2,-0.7852544859051704,124.87445346340537
212992,294,813.12,0.14543800000000162,724,104,0.8867727145552635,18.448387145996094,0.009674832,0.0003,1030,0.10263671875,-0.0009107182435400318,0.2,-0.8120631065219641,38.91278801858425
215040,297,817.34,1.8200475400000022,723,105,0.7010909914970398,100.68504333496094,0.008188218,0.0003,1040,0.078662109375,-0.001183177693746984,0.2,-0.8835752420127392,163.2335607983172
217088,300,817.34,1.6623938200000021,722,106,0.851639524102211,8.940853118896484,0.004307653,0.0003,1050,0.03857421875,-0.003711100416694535,0.2,-0.8212558882310986,91.75690068900585
219136,303,811.73,-0.13800523999999817,721,107,0.9127083644270897,2.1348698139190674,0.004502115,0.0003,1060,0.063671875,-0.0010607624310068787,0.2,-0.9403672760352493,29.81119915135205
221184,306,811.73,0.13956706000000108,722,108,0.8312848657369614,2.9104745388031006,0.0036153155,0.0003,1070,0.03828125,-0.0006924463996256236,0.2,-0.9048651034012437,69.58491794764996
223232,308,809.23,1.170503910000001,723,109,0.8789867609739304,2.246368169784546,0.007824553,0.0003,1080,0.053857421875,-0.0009259046302759089,0.2,-0.824472464993596,46.49786579087377
225280,312,805.42,2.151487500000001,721,110,0.7349484860897064,43.90714645385742,0.007268278,0.0003,1090,0.068896484375,-0.003197688512591412,0.2,-0.8962033206596971,114.22138918936253
227328,315,800.38,5.362500550000001,721,111,0.806180328130722,1.807303547859192,0.006884993,0.0003,1100,0.052734375,-0.001955177641502814,0.2,-0.9053607519716025,67.13181092254817
229376,318,804.6,3.61787276,719,112,0.7162715792655945,22.558366775512695,0.004579107,0.0003,1110,0.01923828125,-0.0012016320070870278,0.2,-0.7928119592368603,161.46631715595723
231424,322,804.6,4.663961260000001,718,113,0.9067659825086594,0.8161383867263794,0.015038924,0.0003,1120,0.146435546875,-0.0032846482630702668,0.2,-0.8813615826889872,33.47061883881688
233472,325,804.6,4.46024714,717,114,0.8966266959905624,1.4904574155807495,0.012091944,0.0003,1130,0.118212890625,-0.0015764573450724128,0.2,-0.8864269064739346,37.364209110848606
