time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss
335,88,180224,537,8.886712719999998,850.67,-0.002695040225808043,0.6657624244689941,0.2,0.6712586879730225,0.0087910015,870,0.9113520085811615,-2.027983060479164,0.08466796875,0.0003,27.22694856710732
338,89,182272,537,7.0213007700000025,839.46,-0.0037146260438021272,0.6568984985351562,0.2,1.8131351470947266,0.004418819,880,0.9017158970236778,-2.012929517403245,0.05849609375,0.0003,28.632886935025454
342,90,184320,538,9.34966797,835.01,-0.0015118680916202721,0.6561647653579712,0.2,63.128379821777344,0.0066750953,890,0.6916660368442535,-1.994753648340702,0.0521484375,0.0003,132.31643838584424
346,91,186368,538,10.816962050000003,823.86,0.0007281783342477866,0.6554992198944092,0.2,0.6389634013175964,0.0052166265,900,0.8419431000947952,-1.993004336580634,0.085400390625,0.0003,67.43695069812239
349,92,188416,539,12.38181151,805.11,-0.0004939361569995526,0.652701199054718,0.2,10.892041206359863,0.0036138876,910,0.7456772923469543,-1.9901303946971893,0.031494140625,0.0003,107.32942911610007
352,93,190464,540,10.87029004,808.41,-0.0029984849563334135,0.6514021754264832,0.2,0.9849526286125183,0.010794227,920,0.6965052783489227,-1.9829483080655337,0.102978515625,0.0003,123.28622543103992
355,94,192512,541,13.233859570000002,795.57,-0.0020298769872169943,0.6422174572944641,0.2,1.2415132522583008,0.006616711,930,0.8916519805788994,-1.9635743241757155,0.08759765625,0.0003,38.54345258679241
358,95,194560,542,13.750629870000004,789.82,-0.002245002983545419,0.6419405341148376,0.2,1.3555629253387451,0.0056387624,940,0.7066182494163513,-1.9524453222751617,0.053662109375,0.0003,62.150102362036705
362,96,196608,541,14.097504770000002,789.82,-0.0015721723961178214,0.6322184801101685,0.2,23.063533782958984,0.0077268016,950,0.8963106498122215,-1.9368516366928816,0.08134765625,0.0003,48.71970687545836
367,97,198656,540,15.21925833,782.74,-0.005849582387963892,0.6146038770675659,0.2,0.36902087926864624,0.00929909,960,0.8933891877532005,-1.8892572209239007,0.08720703125,0.0003,35.5778942476958
370,98,200704,541,16.309940740000002,777.16,-0.0022011310189554933,0.6049422025680542,0.2,0.7497112154960632,0.009442817,970,0.9089978784322739,-1.8486851576715708,0.1021484375,0.0003,34.821627920912576
374,99,202752,540,16.5752504,777.16,-0.0025560002803104,0.5977228879928589,0.2,2.2811341285705566,0.005247121,980,0.8710030615329742,-1.8198712464421987,0.053466796875,0.0003,58.8278807874769
378,100,204800,541,18.01219716,767.09,-0.0009972319421649445,0.5887845158576965,0.2,0.1996404081583023,0.00889915,990,0.9221682101488113,-1.7931718938052654,0.140283203125,0.0003,30.76893347967416
381,101,206848,541,16.19411327,765.78,-0.003387179238779936,0.5862687826156616,0.2,2.8573760986328125,0.0074712704,1000,0.8135238587856293,-1.77270689830184,0.075244140625,0.0003,109.47480453178287
385,102,208896,542,14.818306589999999,758.9,-0.0056378259971097576,0.5890569686889648,0.2,2.7423386573791504,0.0057453183,1010,0.8224241733551025,-1.7738325089216231,0.038818359375,0.0003,83.58276587035508
389,103,210944,542,14.737600269999998,758.9,-0.0028626149960473413,0.5922948122024536,0.2,22.194740295410156,0.004161684,1020,0.8169972002506256,-1.7826946262270211,0.043896484375,0.0003,91.45954531151801
392,104,212992,542,14.140628890000002,754.15,-0.0007103809301042929,0.5971392393112183,0.2,0.28416523337364197,0.008979011,1030,0.9334563314914703,-1.7970134273171425,0.090478515625,0.0003,33.190457318490374
396,105,215040,542,14.16097191,754.15,-0.003974851282691816,0.5959694385528564,0.2,28.527854919433594,0.0040915287,1040,0.6985444128513336,-1.80511340983212,0.01923828125,0.0003,180.49306948035957
