time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction
227,10.77700388,161792,711,859.96,79,-0.728515668027103,0.0003,140.47414211928844,-0.002106005838140845,13.745553016662598,780,0.2,0.7138480246067047,0.0050485693,0.043212890625
230,11.25606938,163840,709,856.31,80,-0.8751606101170182,0.0003,75.12225527912378,-0.0006186098653415684,3.214369773864746,790,0.2,0.7867264598608017,0.0069072507,0.059423828125
233,14.568327030000003,165888,709,845.22,81,-0.817564032971859,0.0003,77.33641430735588,-0.002965090049110586,11.208980560302734,800,0.2,0.6369385421276093,0.0044580586,0.047265625
236,15.893789870000003,167936,709,840.5,82,-0.7867652155458927,0.0003,174.64335023462772,-0.0036982261965022188,108.37551879882812,810,0.2,0.5366364419460297,0.004251572,0.04912109375
239,16.45492551,169984,710,837.32,83,-0.7795588741078973,0.0003,80.90584474503994,-0.003310704113391694,29.137523651123047,820,0.2,0.7121679782867432,0.0048412853,0.047314453125
242,16.1793991,172032,709,838.37,84,-0.8236780289560557,0.0003,71.91323857754469,-0.002596352918044431,13.08223819732666,830,0.2,0.5978309214115143,0.006059777,0.054345703125
245,17.62887105,174080,708,832.22,85,-0.8680121313780547,0.0003,37.24492226839065,-0.004473700532616931,5.23032283782959,840,0.2,0.7321195602416992,0.00912177,0.081201171875
248,21.53697696,176128,709,819.31,86,-0.7776418043300509,0.0003,137.16565882861613,-0.0023340936513704946,437.57672119140625,850,0.2,0.4160313010215759,0.005085229,0.037158203125
250,23.501945910000003,178176,710,803.44,87,-0.7689427779987454,0.0003,164.2359714180231,-0.002409429733961588,38.38382339477539,860,0.2,0.6440533697605133,0.004297086,0.0251953125
254,26.52381552,180224,709,795.57,88,-0.7372684147208929,0.0003,158.05223121345043,-0.003863268477289239,21.551349639892578,870,0.2,0.5394338965415955,0.0058881408,0.057861328125
256,29.740482189999998,182272,709,788.79,89,-0.7291740857064724,0.0003,102.24017595350742,-0.0026634534951881506,8.411117553710938,880,0.2,0.6253427565097809,0.006140465,0.03193359375
259,32.60045266,184320,710,773.44,90,-0.8004004336893559,0.0003,104.12491940408945,-0.0008916248320019804,15.144221305847168,890,0.2,0.7180451154708862,0.003951582,0.036181640625
262,31.557399710000006,186368,711,764.01,91,-0.7644466489553452,0.0003,161.23187094926834,-0.0017677509102213662,69.309326171875,900,0.2,0.5659892857074738,0.007031682,0.06689453125
265,34.0850528,188416,710,757.81,92,-0.7450266065075993,0.0003,143.73915121257306,-0.0016271584172500297,114.85137176513672,910,0.2,0.5016931593418121,0.0040713274,0.050732421875
267,35.473013740000006,190464,711,739.61,93,-0.7403966622427106,0.0003,77.15796328932046,-0.001583193560509244,6.301143169403076,920,0.2,0.7598864436149597,0.008492896,0.07109375
270,37.4048859,192512,711,731.31,94,-0.7487082716077567,0.0003,205.08073043823242,-0.007267808655160479,50.08414840698242,930,0.2,0.5367537140846252,0.0042647608,0.03125
273,40.843770709999994,194560,711,716.33,95,-0.7233452901244164,0.0003,114.61356457918882,-0.003200044187360618,31.15824317932129,940,0.2,0.7324356436729431,0.007273391,0.054541015625
276,43.18250666000001,196608,711,714.31,96,-0.8058474333956838,0.0003,143.31905040740966,-0.004537352457555243,43.456260681152344,950,0.2,0.7695739716291428,0.010313938,0.0978515625
279,47.09652169,198656,709,710.26,97,-0.6747804453596473,0.0003,127.95442792922259,-0.0021994660251948516,14.899514198303223,960,0.2,0.6827251017093658,0.0035923203,0.03173828125
282,47.33206003,200704,709,706.04,98,-0.7620763499289751,0.0003,88.27993507236242,-0.0005701429545297287,14.342418670654297,970,0.2,0.8190198540687561,0.010296746,0.052734375
285,50.35171441000001,202752,710,705.07,99,-0.7772325521335006,0.0003,86.2859955623746,-0.0009486009508691496,26.443973541259766,980,0.2,0.6318221688270569,0.0063788667,0.03857421875
287,46.758740460000006,204800,711,699.57,100,-0.7895503044128418,0.0003,107.22722709327937,-0.004549496872641612,38.66523361206055,990,0.2,0.6959531009197235,0.006040382,0.09072265625
290,49.56428668999999,206848,711,689.27,101,-0.7445763962343335,0.0003,183.80284955203533,-0.0007945751842271421,44.75489807128906,1000,0.2,0.7046473920345306,0.0046039014,0.023388671875
293,47.728912819999984,208896,711,689.4,102,-0.7854332827031613,0.0003,146.8931255966425,-0.004540696920230403,129.7573699951172,1010,0.2,0.5497202575206757,0.006990762,0.0876953125
295,53.11921763,210944,712,681.97,103,-0.7682954901829362,0.0003,111.89773738980293,-0.0026105682249180973,22.237632751464844,1020,0.2,0.649640828371048,0.006672229,0.07197265625
298,53.33038258,212992,713,674.64,104,-0.6646779719740152,0.0003,141.4236738562584,-0.0021005849144785315,32.773956298828125,1030,0.2,0.5900766551494598,0.0028568103,0.022412109375
301,53.41479292000001,215040,713,662.46,105,-0.8129408579319716,0.0003,136.6927891328931,-0.0021135361243068474,24.736698150634766,1040,0.2,0.4355175495147705,0.006700226,0.10048828125
304,54.30547318,217088,713,653.89,106,-0.7795899029821157,0.0003,130.04677719771863,-0.0022954047366511078,33.08737564086914,1050,0.2,0.52860888838768,0.0049450085,0.049072265625
307,55.94648226999999,219136,712,642.35,107,-0.7587894588708878,0.0003,119.8187732487917,-0.003937732210761169,18.499094009399414,1060,0.2,0.7943002283573151,0.011630605,0.045849609375
310,57.943981869999995,221184,713,636.58,108,-0.7695092618465423,0.0003,122.24976842999459,-0.0010817651396791915,25.60078239440918,1070,0.2,0.5517065525054932,0.003507985,0.028369140625
312,58.14620383999998,223232,713,633.61,109,-0.7556942149996757,0.0003,95.84024451971054,-0.0019516666117851856,17.501522064208984,1080,0.2,0.6799892783164978,0.0065733613,0.064453125
315,58.65150573,225280,714,631.02,110,-0.8254788506776094,0.0003,146.43929097801447,-0.0011588407465751515,112.43704986572266,1090,0.2,0.6885142028331757,0.0042874394,0.02841796875
318,62.39781406999999,227328,714,627.67,111,-0.7739626184105873,0.0003,105.7484169125557,-0.0028521301770524587,17.00407600402832,1100,0.2,0.7077435255050659,0.0053417706,0.037255859375
321,59.299746369999994,229376,714,626.15,112,-0.812099058739841,0.0003,92.84985081851482,-0.0034690593449340666,11.451282501220703,1110,0.2,0.6393254399299622,0.0076871174,0.0669921875
324,58.526258899999995,231424,714,618.2,113,-0.8291752392426133,0.0003,112.50740664154291,-0.0038985888757451905,15.53316879272461,1120,0.2,0.7849684357643127,0.006069822,0.054541015625
326,59.54913339999999,233472,714,611.26,114,-0.7763841425999999,0.0003,140.25149083137512,-0.0023000176181085406,37.753265380859375,1130,0.2,0.8036861717700958,0.004625289,0.0392578125
329,64.59248453999999,235520,715,605.02,115,-0.7483687752857804,0.0003,130.05758048593998,-0.0030456335611233954,182.2295684814453,1140,0.2,0.38509172201156616,0.006733618,0.0482421875
331,64.29042667999998,237568,715,608.13,116,-0.7974280588328838,0.0003,105.4759343534708,-0.0018703177778661485,204.02793884277344,1150,0.2,0.6554760634899139,0.004767488,0.038232421875
334,60.3935457,239616,715,611.81,117,-0.743253199569881,0.0003,116.41535659730434,-0.002888647681538714,9.074660301208496,1160,0.2,0.6698316037654877,0.007471258,0.061669921875
337,58.32046490999999,241664,715,611.62,118,-0.7537089543417096,0.0003,136.3031149223447,-0.001774317433591932,15.348249435424805,1170,0.2,0.5939174294471741,0.0050950395,0.058154296875
340,58.03390635000001,243712,714,609.59,119,-0.7734857266768813,0.0003,108.53345396369696,-0.0048505864186154215,35.41841506958008,1180,0.2,0.6578377783298492,0.015896652,0.13447265625
343,60.562509399999996,245760,715,608.12,120,-0.7939184090122581,0.0003,104.67591978609562,-0.0025935802048479674,10.912771224975586,1190,0.2,0.7547445744276047,0.008029535,0.076318359375
346,60.66234856000001,247808,714,604.58,121,-0.7555779250338673,0.0003,180.48333387970925,-0.00553368895634776,52.1717643737793,1200,0.2,0.6730639040470123,0.0042746747,0.062841796875
349,58.34731380999999,249856,714,596.71,122,-0.7821843005716801,0.0003,140.2139943987131,0.0006590475808479823,30.585241317749023,1210,0.2,0.7107422649860382,0.0042038914,0.030712890625
352,61.27678403000001,251904,715,594.23,123,-0.7862111886963248,0.0003,150.37850566357375,-0.0023257137538166715,147.57879638671875,1220,0.2,0.7459822595119476,0.006332891,0.04072265625
2,-209.68304400000002,2048,965,570.6666666666666,1,-0.7795372737571598,0.0003,166.16191625744105,-0.0014157058358250652,158.7499542236328,1230,0.2,0.7559429258108139,0.004865015,0.064208984375
4,-289.50739457142856,4096,914,526.8571428571429,2,-0.6925971513614059,0.0003,111.86817707717418,-0.004672977898735553,13.485881805419922,1240,0.2,0.6984082460403442,0.0074920086,0.085595703125
7,-318.73414890909095,6144,874,517.9090909090909,3,-0.7820823645219207,0.0003,151.61566365659237,-0.003268116362596629,24.167194366455078,1250,0.2,0.8385500311851501,0.0052710925,0.048486328125
9,-312.52933520000005,8192,850,513.0,4,-0.7568553125485777,0.0003,161.17627197802068,-0.0025869812576274852,27.682018280029297,1260,0.2,0.8332178592681885,0.0054593724,0.044970703125
12,-312.47434005,10240,842,511.05,5,-0.80131930205971,0.0003,107.94860921502114,-0.002524849007022567,10.372450828552246,1270,0.2,0.8537361770868301,0.0057933815,0.0458984375
14,-317.09112278260875,12288,857,511.82608695652175,6,-0.7434540932998062,0.0003,146.83325824737548,-0.00593435294504161,19.228593826293945,1280,0.2,0.8573162853717804,0.005144149,0.047412109375
16,-314.01880370370367,14336,859,512.5185185185185,7,-0.7135825952515006,0.0003,150.59082580804824,-0.0020254410068446306,178.0455322265625,1290,0.2,0.881013534963131,0.004443301,0.036669921875
19,-311.46295619354834,16384,839,525.6129032258065,8,-0.7163721453398466,0.0003,128.74073666632177,-0.004226671441574581,317.1488037109375,1300,0.2,0.8702938258647919,0.009488076,0.107568359375
21,-311.0053855142857,18432,848,522.8,9,-0.7225932570174336,0.0003,108.96009587645531,-0.0001418380190443713,286.2860412597656,1310,0.2,0.8932338282465935,0.0032907412,0.02919921875
23,-308.0277826410256,20480,857,513.7435897435897,10,-0.6788194859400392,0.0003,166.3336108446121,-0.0027658816041366665,75.73643493652344,1320,0.2,0.7473345696926117,0.0077480897,0.068505859375
