time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range
653,814.04,382,249856,48.14499125,122,445.14453125,-0.0016511271795025095,0.07275390625,0.005064539,56.22556555271149,0.0003,1210,-0.6750405073165894,0.6145264804363251,0.2
651,815.44,386,251904,48.2486286,123,301.3890075683594,-0.00020207697853038553,0.079345703125,0.003866319,41.31520397700369,0.0003,1220,-0.6024858716875314,0.7494405508041382,0.2
781,772.5,2,2048,-449.950007,1,7.843173503875732,0.0004981546240742319,0.024365234375,0.0029935592,51.555554086714984,0.0003,1230,-0.6400046041235328,0.5932565331459045,0.2
722,724.8,5,4096,-458.62026660000004,2,5.361990451812744,-0.0004363620697404258,0.05556640625,0.008425251,85.20585241913795,0.0003,1240,-0.6596611676737666,0.47970736026763916,0.2
669,776.0,9,6144,-493.3267971428572,3,26.194189071655273,-0.0013294573785969988,0.045703125,0.0046777716,127.86502715051174,0.0003,1250,-0.6732955817133188,0.5937022268772125,0.2
666,741.3636363636364,12,8192,-491.02592763636363,4,6.2062482833862305,-0.0014039753212273353,0.0455078125,0.008620819,63.36994664222002,0.0003,1260,-0.6978177793323994,0.8921566158533096,0.2
684,728.2307692307693,14,10240,-474.00121615384614,5,37.8246955871582,-0.0012192927701107693,0.02880859375,0.0025966624,125.32826144695282,0.0003,1270,-0.6101784255355597,0.820032387971878,0.2
656,755.1875,18,12288,-498.0781464375,6,4.542366981506348,-0.003924466005264549,0.0962890625,0.007410026,86.57683753222227,0.0003,1280,-0.642515166848898,0.8592732399702072,0.2
629,761.3888888888889,22,14336,-508.3614145555555,7,10.021468162536621,0.0002904831177147571,0.02724609375,0.0049231565,91.24654744043946,0.0003,1290,-0.6474122582003474,0.9146385863423347,0.2
620,765.4285714285714,26,16384,-514.3243645238095,8,9.12926959991455,-0.002150093379168538,0.057275390625,0.0041603683,52.39129737019539,0.0003,1300,-0.6550419230014086,0.9462141543626785,0.2
617,757.625,29,18432,-512.6228065416667,9,7.600862979888916,0.00012794976792065426,0.04013671875,0.0046989014,71.61002210378646,0.0003,1310,-0.6421248208731413,0.941312987357378,0.2
621,746.3703703703703,32,20480,-495.5472088518519,10,3.34906268119812,-0.0009047604857187252,0.07333984375,0.0049101505,66.70090013667941,0.0003,1320,-0.6871092462912202,0.9465537890791893,0.2
618,743.2333333333333,36,22528,-495.7962615666667,11,5.099826335906982,-0.0024773827157332563,0.06494140625,0.0051163733,65.32593181282282,0.0003,1330,-0.6207507960498333,0.9606995098292828,0.2
631,744.8125,38,24576,-498.37948096875004,12,10.492074012756348,-0.0025280139358073938,0.08076171875,0.0041550277,69.3964318856597,0.0003,1340,-0.6615497644990682,0.9640228785574436,0.2
640,745.2571428571429,41,26624,-490.09198765714285,13,7.4563493728637695,-0.0020342049916507675,0.09619140625,0.009659767,50.6831372000277,0.0003,1350,-0.6609555196017027,0.9687295034527779,0.2
