time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/n_updates,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance
104,692,2.7926490699999977,754.62,307,212992,0.2,-0.0044599651053431446,0.022265625,0.004366665,1030,59.71174621582031,-0.7839883344247938,0.0003,247.6453746855259,0.6361475884914398
105,691,-1.278567010000002,741.83,310,215040,0.2,-0.006739667762303725,0.154052734375,0.014331311,1040,89.84700775146484,-0.8282075652852654,0.0003,99.85233164727688,0.7731981575489044
106,692,-2.7742020800000002,731.16,313,217088,0.2,-0.0016047872384660877,0.0716796875,0.008359151,1050,28.816654205322266,-0.7886365303769708,0.0003,77.15517382025719,0.8615688383579254
107,693,-5.417048859999999,730.18,315,219136,0.2,-0.0032536307684495115,0.02578125,0.0033242903,1060,55.24002456665039,-0.8367042545229196,0.0003,184.7220500677824,0.8170129507780075
108,692,-1.8388801499999983,734.01,319,221184,0.2,-0.0065748189656005705,0.133544921875,0.011991556,1070,15.726298332214355,-0.835377829708159,0.0003,47.706450164318085,0.8953688517212868
109,692,-6.190746079999999,730.19,322,223232,0.2,-0.0020167104885331355,0.070458984375,0.005236395,1080,4.092963218688965,-0.8446440571919084,0.0003,91.48114804625511,0.6444119811058044
110,692,-4.890746619999998,735.51,325,225280,0.2,-0.0031685802838183007,0.07216796875,0.008500141,1090,75.365966796875,-0.8441054359078407,0.0003,60.03634459972382,0.8388608545064926
111,691,-6.699548379999998,737.05,328,227328,0.2,-0.003528909565648064,0.096240234375,0.009677161,1100,1.610834002494812,-0.847974419593811,0.0003,29.446499758213758,0.8697076737880707
112,691,-5.02870254,736.87,331,229376,0.2,-0.0022240675367356743,0.106884765625,0.011026192,1110,8.214853286743164,-0.8317251738160849,0.0003,35.13267858326435,0.8970634788274765
113,689,-9.130840339999999,732.7,335,231424,0.2,-0.007113861703692237,0.078662109375,0.006810395,1120,391.0091247558594,-0.8096691973507404,0.0003,92.81523202955722,0.7545754611492157
114,687,-8.40043986,736.44,339,233472,0.2,-0.0048336744679545515,0.09580078125,0.0073038964,1130,5.054013729095459,-0.9053273698315024,0.0003,38.358883114159106,0.8556765019893646
115,685,-9.878098630000002,740.04,343,235520,0.2,-0.007385446390253491,0.13857421875,0.008858698,1140,3.2220141887664795,-0.8356340203434229,0.0003,33.94248623549938,0.7589922249317169
116,684,-11.909018300000003,738.9,347,237568,0.2,-0.0008843875970342196,0.064208984375,0.004692034,1150,2.2979137897491455,-0.8618692388758064,0.0003,29.29125238135457,0.848567321896553
117,683,-15.5973634,734.02,350,239616,0.2,-0.0020140213040576783,0.03203125,0.005078284,1160,60.949398040771484,-0.768274686858058,0.0003,103.27706361860037,0.5245446264743805
118,681,-17.53377757,737.7,354,241664,0.2,-0.0030682256678119303,0.06953125,0.006700581,1170,3.726978063583374,-0.8134354019537569,0.0003,129.6379605397582,0.5382280647754669
119,680,-16.009084330000004,742.35,358,243712,0.2,-0.0017426818558305968,0.040185546875,0.0050609075,1180,3.8273260593414307,-0.8298424350097775,0.0003,51.74027494341135,0.8121888041496277
120,680,-16.365777240000003,745.78,361,245760,0.2,0.0005773140044766478,0.033544921875,0.0067732893,1190,51.91921615600586,-0.8210178872570395,0.0003,56.845838985592124,0.702011913061142
121,679,-15.80293337,748.67,364,247808,0.2,-0.002084255775116617,0.03984375,0.0036486876,1200,10.397805213928223,-0.7085109198465943,0.0003,55.31869779527187,0.7625580430030823
122,679,-14.184017859999999,751.21,367,249856,0.2,-0.0017936990851012524,0.036279296875,0.0037350585,1210,49.505496978759766,-0.7263286789879203,0.0003,72.42482101619244,0.500603437423706
123,677,-13.724714369999994,750.76,371,251904,0.2,-0.0009192374138365267,0.07548828125,0.007902993,1220,3.0016863346099854,-0.8501684902235865,0.0003,19.004915074259042,0.9011515006422997
1,657,-530.65,794.5,3,2048,0.2,-0.002415883104549721,0.052099609375,0.005088676,1230,141.62840270996094,-0.8027659844607115,0.0003,39.7744367800653,0.7849928289651871
2,649,-584.0833333333334,671.6666666666666,6,4096,0.2,-0.00275903358560754,0.1236328125,0.016722247,1240,12.500947952270508,-0.8098138129338622,0.0003,77.73960366547108,0.25114989280700684
3,686,-663.925,753.75,8,6144,0.2,-0.002576027072791476,0.02880859375,0.005308823,1250,34.72273635864258,-0.7860638804733753,0.0003,118.1991669267416,0.583861231803894
4,671,-649.4227272727272,743.8181818181819,12,8192,0.2,-0.001213490980444476,0.075634765625,0.009212475,1260,1.2623151540756226,-0.8835244536399841,0.0003,25.601636574789882,0.7475628554821014
5,631,-640.8576923076923,722.6923076923077,16,10240,0.2,-0.00042689909241744317,0.079443359375,0.005704505,1270,47.899078369140625,-0.8644974770024418,0.0003,65.0698919635266,0.34271669387817383
6,628,-655.596875,759.25,19,12288,0.2,0.0005726102841435932,0.075634765625,0.006102628,1280,7.019639492034912,-0.9022891573607922,0.0003,18.850507187470793,0.798775389790535
7,634,-645.7447368421052,746.2105263157895,22,14336,0.2,-0.0031098297971766443,0.10556640625,0.0108507555,1290,4.024904251098633,-0.8620313497260212,0.0003,34.667598535865544,0.8509847223758698
8,635,-633.1642857142857,741.952380952381,25,16384,0.2,-0.0005699599758372642,0.057080078125,0.005201709,1300,2.2250914573669434,-0.8686637509614229,0.0003,50.19683761447668,0.7408113181591034
9,636,-625.7217391304348,764.3913043478261,28,18432,0.2,-0.0019442260258074385,0.071728515625,0.007715972,1310,2.43863844871521,-0.7253697045147419,0.0003,25.314617113396526,0.9667006991803646
10,634,-606.6962962962963,747.1111111111111,32,20480,0.2,-0.0013849842762283515,0.105810546875,0.009174529,1320,1.756280541419983,-0.8311041187494993,0.0003,13.893144435808063,0.9809094127267599
11,636,-611.2568965517243,764.551724137931,35,22528,0.2,-0.0018718491359322798,0.086865234375,0.010379599,1330,9.245783805847168,-0.8111077569425106,0.0003,23.021364605985582,0.9710211176425219
12,637,-594.3424242424243,738.8484848484849,38,24576,0.2,-0.007920115660817828,0.117431640625,0.012203984,1340,0.47398170828819275,-0.8712408982217312,0.0003,9.487157781235874,0.9887467734515667
13,651,-584.1069444444444,724.6388888888889,40,26624,0.2,-0.0019477401778203785,0.094677734375,0.010209197,1350,8.62121868133545,-0.8718572018668056,0.0003,71.49304507151246,0.8769914582371712
