rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/entropy_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_range,train/explained_variance,train/approx_kl,train/learning_rate
26.54121125,736.78,141312,187,69,754,-0.8278159571811556,44.34051513671875,0.0419921875,-0.0024583474500104786,680,173.34283279180528,0.2,0.49954158067703247,0.0057387967,0.0003
31.89534325,741.83,143360,189,70,755,-0.8954270562157035,62.22036361694336,0.035791015625,-0.0015303405074519106,690,137.37129724919797,0.2,0.6477718949317932,0.0067689843,0.0003
37.5147306,737.49,145408,192,71,754,-0.7912165077403188,7.268585205078125,0.04521484375,-0.0020356337139673998,700,127.27932654619217,0.2,0.7084948420524597,0.004334825,0.0003
35.73085676,716.89,147456,195,72,755,-0.8527469735592603,24.741304397583008,0.081982421875,-0.005704795247584116,710,100.40371032655239,0.2,0.6543613374233246,0.009497585,0.0003
39.952369170000004,712.03,149504,197,73,755,-0.8504464669153095,101.43878173828125,0.025439453125,-0.001140087398380274,720,217.94105006754398,0.2,0.4516589045524597,0.008997206,0.0003
45.54632804,696.92,151552,200,74,756,-0.7459224879741668,120.64165496826172,0.005859375,-0.0012144757081841817,730,221.55128931701182,0.2,0.4332635998725891,0.0015777074,0.0003
50.6659891,679.44,153600,202,75,758,-0.8436653058975935,4.975872039794922,0.06318359375,-0.001995439968231949,740,107.56689128875732,0.2,0.46607840061187744,0.009745219,0.0003
51.959067299999994,658.78,155648,205,76,759,-0.7963114399462938,16.134714126586914,0.065087890625,-0.0027828309510368856,750,113.36388621479273,0.2,0.5806273221969604,0.0064273747,0.0003
57.35229231999999,649.74,157696,207,77,759,-0.8509814716875553,9.363483428955078,0.0646484375,-0.004889091557561187,760,121.79033742249013,0.2,0.619192361831665,0.0037300661,0.0003
59.31362908999999,639.99,159744,209,78,761,-0.8098132010549307,9.8260498046875,0.0611328125,-0.0025228117941878737,770,91.88934413641691,0.2,0.6581970751285553,0.0046885284,0.0003
62.20838583,634.93,161792,212,79,763,-0.7487492207437754,21.1773738861084,0.041357421875,-0.0013262773529277184,780,92.8433548912406,0.2,0.5979461371898651,0.0056197606,0.0003
63.551754110000005,610.92,163840,214,80,764,-0.7268479332327843,5.206257343292236,0.07783203125,-0.0029049470773315988,790,88.01859456002713,0.2,0.6053124070167542,0.005001612,0.0003
59.98229796,600.81,165888,216,81,766,-0.7252032961696386,14.917174339294434,0.029736328125,-0.0023621838776307414,800,200.6999366119504,0.2,0.4321075677871704,0.0043915594,0.0003
56.45144666,582.58,167936,218,82,767,-0.7404400080442428,7.719653606414795,0.04365234375,-0.005937873037328245,810,266.83978824913504,0.2,0.45127302408218384,0.008194836,0.0003
56.55844688000001,568.05,169984,221,83,768,-0.8004182387143374,229.1609649658203,0.01962890625,-0.004427601746283471,820,186.19616409540177,0.2,0.6048435270786285,0.0036379131,0.0003
54.36507517,554.06,172032,223,84,770,-0.8190922291949392,29.48430061340332,0.095947265625,-0.004702558407007018,830,141.92756198793649,0.2,0.7124204933643341,0.009944088,0.0003
46.88225764,536.38,174080,225,85,772,-0.7569633224979043,54.47949981689453,0.06240234375,-0.002108653797040461,840,142.64965918660164,0.2,0.7078194916248322,0.0046889633,0.0003
43.246382950000005,535.93,176128,227,86,773,-0.773607082478702,11.863020896911621,0.04345703125,-0.0019183694628736702,850,172.69223057627678,0.2,0.7627477496862411,0.007896008,0.0003
42.03644389,528.28,178176,230,87,773,-0.7767919583246112,23.860462188720703,0.0880859375,-0.00242254783588578,860,160.53234145790339,0.2,0.8193830698728561,0.014543027,0.0003
42.89628334,513.84,180224,232,88,774,-0.6677884414792061,14.865821838378906,0.026513671875,-0.0023555204199510625,870,148.55260179042816,0.2,0.7963234633207321,0.0037445973,0.0003
45.790255110000004,502.74,182272,234,89,775,-0.7189744437113404,36.95489501953125,0.019189453125,-0.00083684632263612,880,181.33304336369036,0.2,0.6530283391475677,0.0028162077,0.0003
43.97731648,493.46,184320,237,90,777,-0.707550710812211,52.92476272583008,0.0365234375,-0.0034333047777181493,890,173.71719320416452,0.2,0.710456520318985,0.0048999223,0.0003
42.35836035000001,480.96,186368,239,91,779,-0.7767006941139698,28.438961029052734,0.04814453125,-0.000596257379220333,900,146.70386302769185,0.2,0.7911878824234009,0.006055832,0.0003
43.95893129,476.08,188416,241,92,780,-0.7308287983760238,21.799745559692383,0.04462890625,-0.0043033933292463186,910,166.45376625657082,0.2,0.7305121421813965,0.0065604076,0.0003
44.33771029,467.65,190464,243,93,781,-0.6942572461441159,121.73075866699219,0.055419921875,-0.0049184145515027925,920,184.92665966153146,0.2,0.6179607212543488,0.007051141,0.0003
44.71314481,461.3,192512,245,94,783,-0.7312135824933648,23.647113800048828,0.0517578125,-0.005117303688894026,930,148.57944225370883,0.2,0.709126889705658,0.0058111297,0.0003
46.45203585999999,453.85,194560,248,95,784,-0.7463814783841372,45.2838249206543,0.047802734375,-0.0012899814042611978,940,143.87454056441783,0.2,0.8062395304441452,0.004188299,0.0003
46.78268672,452.12,196608,250,96,784,-0.7079811504110693,453.1051330566406,0.07744140625,-0.004023451000102795,950,159.59372462630273,0.2,0.670835554599762,0.007904369,0.0003
45.34002837,458.29,198656,253,97,784,-0.749770879931748,10.522074699401855,0.076220703125,-0.0025632857490563766,960,130.86000445336103,0.2,0.6679125428199768,0.013626717,0.0003
45.615704969999996,459.22,200704,255,98,784,-0.7364958157762885,5.5662665367126465,0.042236328125,-0.0008461307821562514,970,109.40718002915382,0.2,0.7344341576099396,0.0061962754,0.0003
45.116613900000004,464.42,202752,258,99,785,-0.5791627923958004,13.209415435791016,0.037841796875,-0.002507527505440521,980,78.94571276158095,0.2,0.7789757251739502,0.002975043,0.0003
38.59564034,461.69,204800,260,100,787,-0.7553020911291242,294.4761047363281,0.045703125,-0.006458086398924934,990,93.39501683861018,0.2,0.7913595288991928,0.0033745957,0.0003
39.410679009999996,455.23,206848,262,101,787,-0.8524266554042697,317.04534912109375,0.060888671875,-0.0016336454296833835,1000,182.66781126856804,0.2,0.6688064336776733,0.011334766,0.0003
39.08656682000001,455.25,208896,264,102,788,-0.699174745194614,13.265215873718262,0.05205078125,-0.0018989322597917635,1010,125.42485771477223,0.2,0.6652312278747559,0.0027335365,0.0003
42.43066399,453.57,210944,267,103,789,-0.7288364792242646,86.8867416381836,0.058349609375,-0.005377158952614991,1020,211.73493475914,0.2,0.7104717195034027,0.0068105645,0.0003
41.159125459999984,452.03,212992,269,104,791,-0.7483464289456606,4.208163261413574,0.082373046875,-0.0032232772471616046,1030,74.69487715661526,0.2,0.7567399591207504,0.010095002,0.0003
43.78660655000001,452.92,215040,271,105,792,-0.7395081732422113,43.321475982666016,0.07685546875,-0.011344642330368516,1040,210.66358920037746,0.2,0.6554731726646423,0.008026934,0.0003
41.10838598,459.71,217088,274,106,792,-0.7366525175049901,252.13038635253906,0.056640625,-0.0021755899979325477,1050,108.83445366472006,0.2,0.7438703775405884,0.008400984,0.0003
41.70633429,460.72,219136,276,107,793,-0.7253028200939298,46.671485900878906,0.046044921875,-0.003851132658746792,1060,121.98549128770829,0.2,0.8424950838088989,0.0054025436,0.0003
45.20166494,455.23,221184,278,108,794,-0.7266778498888016,237.05865478515625,0.039501953125,-0.0021778606103907807,1070,269.8937402009964,0.2,0.6435747742652893,0.0049310094,0.0003
45.93293184,451.41,223232,280,109,795,-0.7294811947271228,29.819860458374023,0.0630859375,-0.002102882004692219,1080,155.7498044013977,0.2,0.7627634108066559,0.005479501,0.0003
