time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range
668,120,367,245760,13.269377360000004,816.75,0.044873046875,38.846683502197266,0.005203709,0.7428231537342072,0.0003,71.39013214409351,1190,-0.852359414100647,-0.002319651995640015,0.2
669,121,370,247808,10.68148515,804.42,0.027978515625,1.384009838104248,0.0051261997,0.7940020710229874,0.0003,77.8878404494375,1200,-0.8406173178926111,-0.001725372393411817,0.2
669,122,373,249856,11.57803574,802.79,0.016162109375,2.1122076511383057,0.0027527115,0.7066211700439453,0.0003,103.03944848403334,1210,-0.8716173416003585,-0.0011983178686932662,0.2
670,123,375,251904,9.75932654,801.16,0.022900390625,57.186031341552734,0.007042484,0.7953287363052368,0.0003,123.32658192440867,1220,-0.8524247292429209,-0.0009908751912007575,0.2
794,1,2,2048,-288.5296485,1000.0,0.133251953125,12.146055221557617,0.0128761325,0.801382839679718,0.0003,101.28044301662594,1230,-0.820627692900598,-0.0033394915219105313,0.2
700,2,5,4096,-353.86080250000003,1000.0,0.037841796875,1.1033886671066284,0.005943889,0.7508961856365204,0.0003,54.60320333056152,1240,-0.664973028190434,-0.0013145090801117477,0.2
665,3,9,6144,-367.6246281666667,1000.0,0.07841796875,1.0900652408599854,0.007361955,0.6802498996257782,0.0003,42.53892223238945,1250,-0.8370339753106236,0.0017727661230310331,0.2
675,4,12,8192,-365.0746027777778,873.8888888888889,0.028515625,2.6480650901794434,0.005364857,0.5576348602771759,0.0003,51.951871579512954,1260,-0.8881763521581888,-0.0008633432131318841,0.2
665,5,15,10240,-370.4285034545455,896.8181818181819,0.02958984375,76.7409439086914,0.006676448,0.33911794424057007,0.0003,143.5983299151063,1270,-0.9220070868730545,-0.00026849428832065314,0.2
657,6,18,12288,-369.2290425384615,912.6923076923077,0.088134765625,4.774940490722656,0.006661256,0.42013251781463623,0.0003,41.89348065815866,1280,-0.9334597481414676,-0.006155843657325022,0.2
660,7,21,14336,-366.1579558125,869.0,0.042626953125,1.2282187938690186,0.0032039061,0.5654823482036591,0.0003,43.2311502031982,1290,-0.9096239468082785,-0.0027221113006817175,0.2
658,8,24,16384,-356.14902736842106,861.6842105263158,0.03544921875,55.013694763183594,0.00883357,0.644328773021698,0.0003,111.91208338141442,1300,-0.8634742632508278,-0.0013940690878371242,0.2
653,9,28,18432,-356.7328375714286,874.8571428571429,0.084326171875,7.796617031097412,0.010876005,0.5553447008132935,0.0003,65.62901720227674,1310,-0.9468913119286299,-0.002714013859804254,0.2
653,10,31,20480,-361.4099703478262,885.7391304347826,0.1615234375,2.474444627761841,0.012704074,0.5592596232891083,0.0003,48.160845852270725,1320,-0.9981259239837528,-0.0056948019744595514,0.2
655,11,34,22528,-356.43876024,889.52,0.1564453125,4.095530033111572,0.011886167,0.7382174730300903,0.0003,42.58240748308599,1330,-1.0337300637736917,-0.0053327882611483805,0.2
654,12,37,24576,-351.3526165555556,897.7037037037037,0.014208984375,2.6006383895874023,0.0022347714,0.7579035013914108,0.0003,82.99913708940149,1340,-0.7765033850446343,-0.002109047533667763,0.2
651,13,40,26624,-346.8863181666667,887.2333333333333,0.31181640625,0.582151472568512,0.021241346,0.6921201646327972,0.0003,44.45177225759253,1350,-0.9663422530516982,-0.013194909018784529,0.2
659,14,43,28672,-345.60860228125,872.96875,0.078466796875,3.031017303466797,0.014925363,0.8117536008358002,0.0003,57.31705233808607,1360,-0.9139182580634951,-0.002505404735711636,0.2
669,15,45,30720,-343.6150672058823,880.4411764705883,0.20087890625,204.1507568359375,0.024266995,0.6508149802684784,0.0003,78.40040682051331,1370,-0.8668881349265576,-0.005361699793866137,0.2
679,16,48,32768,-338.5401084736842,857.2894736842105,0.102783203125,0.7854129076004028,0.0063044922,0.6530861854553223,0.0003,44.06677193734795,1380,-0.6911984672769904,-0.005671983562933747,0.2
680,17,51,34816,-328.2644993658537,839.8536585365854,0.1435546875,22.45477867126465,0.018158676,0.5848582684993744,0.0003,162.14022115021945,1390,-0.7595733076333999,-0.006929748429683968,0.2
691,18,53,36864,-314.37320080434785,794.0434782608696,0.14677734375,7.257365703582764,0.01288287,0.5963104069232941,0.0003,125.99578562378883,1400,-0.7169621646404266,-0.005743274751876015,0.2
698,19,55,38912,-311.397920244898,793.469387755102,0.0642578125,174.61033630371094,0.008009413,0.615171492099762,0.0003,268.58154501914976,1410,-0.7114190861582756,-0.0039043732082063797,0.2
712,20,57,40960,-295.1985079454546,741.3454545454546,0.128564453125,6.963770389556885,0.020090654,0.768491268157959,0.0003,73.66866860240698,1420,-0.6891707196831703,-0.0035014541652344635,0.2
722,21,59,43008,-280.26546247540995,702.016393442623,0.07724609375,173.91346740722656,0.008105705,0.6306414306163788,0.0003,232.2422513127327,1430,-0.8385460777208209,-0.0034506610347307285,0.2
732,22,61,45056,-269.8658909393939,679.3333333333334,0.041796875,31.13631820678711,0.0038492,0.8365996927022934,0.0003,175.015487074852,1440,-0.7371052533388138,-0.003075571858062176,0.2
