time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range
721,286,101,553.61,38.497095460000004,206848,0.010405325,215.4036865234375,70.44494858831168,0.400637686252594,0.0003,1000,-0.676012703217566,0.072412109375,-0.003475537859412725,0.2
721,289,102,540.25,37.95376359,208896,0.004507547,308.21136474609375,225.09991948604585,0.6453890204429626,0.0003,1010,-0.7904587825760245,0.04599609375,-0.001910219965793658,0.2
721,292,103,541.84,37.03799061,210944,0.00566317,39.92189025878906,115.16612809300423,0.7477602362632751,0.0003,1020,-0.7356489397585392,0.062841796875,-0.002973310869128909,0.2
722,294,104,535.61,35.45972461,212992,0.0077400287,6.627345085144043,133.88251368552446,0.5933623909950256,0.0003,1030,-0.8715633608400821,0.0716796875,-0.003981305526394863,0.2
721,297,105,534.97,34.01243357,215040,0.004645587,108.5468978881836,163.89306305646897,0.7404166758060455,0.0003,1040,-0.7498346664011478,0.0451171875,-0.0014355193619849161,0.2
721,300,106,536.89,36.647957289999994,217088,0.005427538,85.5984115600586,223.02236825227737,0.31762558221817017,0.0003,1050,-0.7941210063174367,0.030517578125,-0.002944703446337371,0.2
721,303,107,537.76,36.71728086999999,219136,0.009621175,13.887313842773438,77.47799507677556,0.7860792130231857,0.0003,1060,-0.7879784882068634,0.069873046875,-0.0034852832926844713,0.2
723,305,108,536.08,33.3965671,221184,0.00552925,8.655942916870117,137.77274542450905,0.5607719123363495,0.0003,1070,-0.6697481771931052,0.0642578125,-0.0027703174615453462,0.2
723,308,109,531.14,30.807063799999995,223232,0.006410331,427.6707458496094,212.50554245710373,0.5307046473026276,0.0003,1080,-0.71797094643116,0.052587890625,-0.002769838993481244,0.2
724,310,110,531.91,29.375363670000002,225280,0.007141515,5.465782642364502,164.81386407166718,0.6274877488613129,0.0003,1090,-0.8135411603376269,0.077392578125,-0.0031840927462326364,0.2
725,313,111,535.02,28.131933379999996,227328,0.006482872,67.26424407958984,126.56656854897737,0.7125467360019684,0.0003,1100,-0.8280726255849004,0.094677734375,-0.004674311563576339,0.2
726,315,112,534.24,28.64325351,229376,0.006357304,246.463623046875,190.58628274798394,0.6611732840538025,0.0003,1110,-0.8023804415017366,0.046240234375,-0.0014413912285817787,0.2
726,318,113,536.29,30.43408823999999,231424,0.009827615,29.865846633911133,231.55860315859317,0.6240735948085785,0.0003,1120,-0.696778479963541,0.060546875,-0.0024617505732749123,0.2
727,320,114,538.69,31.72009721,233472,0.0032385585,6.9413228034973145,98.808361774683,0.70025235414505,0.0003,1130,-0.7889058616012334,0.047900390625,-0.0029585085736471227,0.2
729,323,115,538.0,27.380184039999996,235520,0.0030295183,7.431277275085449,141.48061672747136,0.7218908369541168,0.0003,1140,-0.7941357582807541,0.049609375,-0.0019283922571048605,0.2
729,325,116,540.93,26.802433669999992,237568,0.004545513,22.435476303100586,124.10239744186401,0.8938317149877548,0.0003,1150,-0.6924508647993207,0.055517578125,-0.0018761373510642442,0.2
728,328,117,542.95,24.480189639999995,239616,0.0053808982,12.316526412963867,129.8002318620682,0.628251701593399,0.0003,1160,-0.7128224635496736,0.050830078125,-0.0021738519571954384,0.2
729,331,118,552.18,24.33006606,241664,0.010614984,60.376380920410156,134.42301585376262,0.20683544874191284,0.0003,1170,-0.71821204200387,0.09619140625,-0.001064525148831308,0.2
730,333,119,556.43,28.784727359999998,243712,0.005438599,47.74542999267578,201.99028722941875,0.4985526204109192,0.0003,1180,-0.6662476263940335,0.06640625,-0.0011855011121951974,0.2
731,336,120,553.13,28.05955281,245760,0.011327678,110.04165649414062,109.89451227486134,0.7795588374137878,0.0003,1190,-0.717700975574553,0.065087890625,-0.0019436056922131685,0.2
731,338,121,553.88,26.03833204,247808,0.008103895,100.0265884399414,151.43127663731576,0.7432408034801483,0.0003,1200,-0.7766754724085331,0.08388671875,-0.0023513224310590885,0.2
732,340,122,556.58,30.878899320000006,249856,0.0037372303,5.138022422790527,175.27464659661055,0.5572485327720642,0.0003,1210,-0.7521047711372375,0.0345703125,-0.004629306919377995,0.2
733,343,123,557.61,36.34463664999999,251904,0.005165576,8.469868659973145,118.92608476877213,0.7719596177339554,0.0003,1220,-0.7287749286741019,0.0435546875,-0.0012216042472573464,0.2
1132,1,1,511.5,-270.90111075,2048,0.0075205555,33.537750244140625,115.64584214389325,0.5967662632465363,0.0003,1230,-0.6872347930446268,0.062353515625,-0.0033707952414260946,0.2
1058,3,2,481.375,-358.82464812499995,4096,0.0061167045,33.14303207397461,116.67858762443066,0.7138338387012482,0.0003,1240,-0.7198901325464249,0.041845703125,-0.002785796870739432,0.2
974,6,3,473.1666666666667,-364.4490104166666,6144,0.0037511215,20.388410568237305,228.58196212649347,0.562424510717392,0.0003,1250,-0.8416297435760498,0.032470703125,-0.0013059101009275764,0.2
921,8,4,490.875,-370.39547143749996,8192,0.0055882176,26.750873565673828,169.07745934724807,0.7604232579469681,0.0003,1260,-0.7891631564125419,0.046826171875,-0.0038975761079200312,0.2
918,11,5,473.5238095238095,-372.5396976190476,10240,0.006827578,29.595874786376953,142.78227857649327,0.7972012758255005,0.0003,1270,-0.6834011526778341,0.068701171875,-0.00301760021247901,0.2
913,13,6,479.84,-379.89595172,12288,0.0070062852,57.31357192993164,163.53192989230155,0.8485410660505295,0.0003,1280,-0.7628394467756152,0.067626953125,-0.005068407309227041,0.2
886,16,7,477.43333333333334,-381.0996732333333,14336,0.005136933,37.02122116088867,222.60261557400227,0.4131994843482971,0.0003,1290,-0.8049724481999874,0.030615234375,-0.0029914007920524453,0.2
875,18,8,477.44117647058823,-382.2192164705882,16384,0.0045189764,90.5810775756836,180.53138282597064,0.759644016623497,0.0003,1300,-0.7878225577995182,0.03984375,-0.004439949958759825,0.2
870,21,9,482.5135135135135,-392.7930811621622,18432,0.009493485,21.297611236572266,118.11078480184078,0.8211318403482437,0.0003,1310,-0.8145384792238474,0.069189453125,-0.00269703289050085,0.2
871,23,10,482.1190476190476,-389.4206663333333,20480,0.009166749,59.46343231201172,135.80179378986358,0.8275053799152374,0.0003,1320,-0.7780385714024305,0.104833984375,-0.002750977998948656,0.2
860,26,11,485.69565217391306,-387.6793189565218,22528,0.0052876673,85.59447479248047,207.38856936991215,0.7192854881286621,0.0003,1330,-0.7271129360422492,0.049951171875,-0.0012428876754711383,0.2
