time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/approx_kl
120,245760,447.57,772,63.93024921999999,318,0.46049535274505615,1190,193.55640072524548,-0.00397120899433503,0.036328125,0.0003,42.390716552734375,-0.6678198710083961,0.2,0.0055207172
121,247808,438.15,772,66.36233888000001,320,0.7789182811975479,1200,157.4291019588709,-0.001817921104520792,0.049267578125,0.0003,51.66252517700195,-0.7280246760696173,0.2,0.0043308935
122,249856,431.75,774,64.03122382000001,322,0.8244578391313553,1210,181.59102241396903,-0.004368646812508814,0.034619140625,0.0003,16.17469024658203,-0.6453087436035275,0.2,0.0051392424
123,251904,426.08,776,65.60360093999999,324,0.629669725894928,1220,173.88557898402215,-0.0020848063268203987,0.025634765625,0.0003,17.175514221191406,-0.6393608255311847,0.2,0.0038991862
1,2048,281.25,1048,-240.8865075,1,0.7507577836513519,1230,188.0005079984665,-0.0021879738691495732,0.03798828125,0.0003,49.63845443725586,-0.6121016550809145,0.2,0.004657182
2,4096,452.55555555555554,934,-228.80524022222224,4,0.6552088856697083,1240,217.10589641332626,-0.006413787823839811,0.065673828125,0.0003,146.44239807128906,-0.6508276434615254,0.2,0.009647925
3,6144,484.8333333333333,872,-233.70945608333332,7,0.708836019039154,1250,127.09208347797394,-0.0027332637444487775,0.078515625,0.0003,36.52448654174805,-0.6816051736474037,0.2,0.00537872
4,8192,479.88235294117646,867,-212.25186247058826,9,0.8490764647722244,1260,110.71795567572117,-0.003167341167863924,0.07880859375,0.0003,31.668960571289062,-0.5984960554167629,0.2,0.0098375855
5,10240,435.17391304347825,901,-199.41725434782603,11,0.7521645873785019,1270,110.74582916498184,-0.004526687796897022,0.0791015625,0.0003,304.7116394042969,-0.6198268189094961,0.2,0.007894544
6,12288,434.4642857142857,922,-209.63037567857145,13,0.8532707393169403,1280,146.74696693122388,-0.006477785890092491,0.07607421875,0.0003,12.33792495727539,-0.687284542247653,0.2,0.009178573
7,14336,406.6857142857143,939,-199.42725297142854,15,0.8145960420370102,1290,158.75984084904195,-0.004224635037098778,0.04296875,0.0003,282.0148620605469,-0.675292013399303,0.2,0.0044920095
8,16384,394.0243902439024,950,-195.1423911707317,17,0.7468140721321106,1300,279.15574202239515,-0.007470128219210892,0.10986328125,0.0003,380.625,-0.688165507465601,0.2,0.008509956
9,18432,379.7708333333333,959,-193.13556147916665,19,0.8749579638242722,1310,170.20515525341034,-0.004478932341589826,0.055322265625,0.0003,148.4662322998047,-0.7046113492920995,0.2,0.0038699224
10,20480,383.58490566037733,957,-195.13826467924528,21,0.840951457619667,1320,185.1931317538023,-0.0017406604085408617,0.044189453125,0.0003,54.763553619384766,-0.6781381946057081,0.2,0.0036189463
11,22528,378.45762711864404,964,-193.976711559322,23,0.81451815366745,1330,209.49705043435097,-0.002598266639688518,0.0994140625,0.0003,97.78950500488281,-0.7102230312302709,0.2,0.009236034
12,24576,377.0153846153846,964,-199.00201924615382,25,0.7589972019195557,1340,337.6874977529049,-0.0050664557289564986,0.037353515625,0.0003,88.12543487548828,-0.6726738383993507,0.2,0.004648894
13,26624,374.4507042253521,964,-190.97924674647882,27,0.8472357094287872,1350,255.84216365218163,-0.0026232250609609766,0.0318359375,0.0003,27.09738540649414,-0.7058300089091063,0.2,0.0041256584
14,28672,370.27272727272725,970,-187.24651044155843,29,0.8799860030412674,1360,175.90265607833862,-0.001905105083642411,0.040380859375,0.0003,67.03878784179688,-0.6152880044654012,0.2,0.0046819686
15,30720,376.0,964,-198.32644349382716,31,0.8317204266786575,1370,253.45102688372134,-0.0014711493982758838,0.058251953125,0.0003,25.927207946777344,-0.6137569848448038,0.2,0.008428132
16,32768,378.3720930232558,957,-200.43055590697674,34,0.7076351046562195,1380,237.3271721959114,-0.008170735136809526,0.1142578125,0.0003,165.77310180664062,-0.7601292755454778,0.2,0.0101387035
17,34816,379.34065934065933,955,-200.20528148351644,36,0.6663784384727478,1390,262.4467697322369,-0.004937265964690596,0.06630859375,0.0003,487.6664733886719,-0.6441330658271909,0.2,0.0066178855
