rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_fraction,train/explained_variance
-621.4144012352941,16384,8,28,571,950.8823529411765,1300,0.0003,-0.0015307824749470455,2.609872579574585,0.2,0.0058400705,-0.6829047298058868,59.688766963779926,0.0541015625,0.8369889408349991
-621.8491329000001,18432,9,31,587,906.1,1310,0.0003,-0.0016454112541396172,10.60921859741211,0.2,0.006982357,-0.7827413097023964,47.89724816903472,0.04267578125,0.8856581822037697
-627.8230086363636,20480,10,35,583,899.5909090909091,1320,0.0003,-0.002654693848307943,46.56193923950195,0.2,0.006244381,-0.7739445438608528,145.41928632259368,0.056201171875,0.5178555846214294
-621.52299336,22528,11,38,582,899.48,1330,0.0003,-0.002628018962423084,1.6913830041885376,0.2,0.0050370563,-0.7001324551180005,66.50807173624635,0.074951171875,0.6676511466503143
-622.7248092222222,24576,12,41,594,895.6666666666666,1340,0.0003,-0.003522806050386862,8.146838188171387,0.2,0.0043433513,-0.7578915843740106,120.91448199898005,0.06083984375,0.7155363857746124
-638.8576222758621,26624,13,45,582,899.2758620689655,1350,0.0003,-0.0024530549446353687,29.997955322265625,0.2,0.0047543184,-0.7902816442772747,136.27179386168717,0.027783203125,0.5937698185443878
-632.7768323225806,28672,14,49,578,892.6774193548387,1360,0.0003,-0.0003624671880970709,55.45686340332031,0.2,0.004205456,-0.7778057493269444,57.85832992866635,0.05009765625,0.6923650801181793
-641.6277726470589,30720,15,52,585,892.5294117647059,1370,0.0003,-0.0028745763578626794,7.990458965301514,0.2,0.0067224596,-0.8026721836999059,98.30383929163217,0.086083984375,0.8336996883153915
-657.5893515833334,32768,16,55,590,894.8611111111111,1380,0.0003,-0.002626567411061842,185.7557373046875,0.2,0.0064230505,-0.8173969255760312,93.37835955768824,0.042724609375,0.6285054087638855
-660.1269157894737,34816,17,60,577,900.3947368421053,1390,0.0003,-0.0025722608967043924,2.4315147399902344,0.2,0.0061428053,-0.8316320724785328,48.37181963175535,0.08154296875,0.13094788789749146
-672.028925325,36864,18,64,574,905.375,1400,0.0003,-0.004469870642060414,10.35075855255127,0.2,0.007354398,-0.8003947643563152,47.57756759151816,0.074365234375,0.9239557310938835
