time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range,train/entropy_loss
710,131072,64,-30.736223799999998,851.41,184,5.797487258911133,0.6290102303028107,0.002983003,0.0003,-0.0014648361873696558,630,0.019091796875,85.26952526941895,0.2,-0.8853286061435938
708,133120,65,-27.63039962,859.68,187,86.75621795654297,0.758720725774765,0.0041463617,0.0003,-0.0019332062991452403,640,0.038232421875,90.49525196999312,0.2,-0.891201563924551
703,135168,66,-25.241364780000005,865.87,192,13.569489479064941,0.5116181969642639,0.01581892,0.0003,-0.00384217759637977,650,0.0580078125,77.29490677788854,0.2,-0.8518600471317768
702,137216,67,-27.90518476,863.92,195,19.66468048095703,0.5784486830234528,0.0037646475,0.0003,-0.0010306772135663777,660,0.0466796875,74.7940394397825,0.2,-0.8626289810985327
701,139264,68,-24.04767579,870.0,198,3.0063230991363525,0.64454585313797,0.007176704,0.0003,-0.002305346762295812,670,0.059716796875,46.66500909179449,0.2,-0.8884023549035192
700,141312,69,-27.951901719999995,867.8,201,38.6756591796875,0.4984637498855591,0.003902459,0.0003,-0.0019779359543463217,680,0.018310546875,74.75559169501066,0.2,-0.84106070343405
696,143360,70,-23.43222117,873.07,205,49.77510452270508,0.6584328711032867,0.006001328,0.0003,-0.0018333586034714245,690,0.04228515625,105.82633969783782,0.2,-0.8188087897375226
696,145408,71,-23.90778855,881.77,208,6.871500015258789,0.6094105541706085,0.007805492,0.0003,-0.004127362347207964,700,0.117236328125,39.30213031098246,0.2,-0.9001119265332818
694,147456,72,-21.041797079999995,882.8,212,32.176822662353516,0.8531136810779572,0.0032363967,0.0003,-0.003685351466265274,710,0.058251953125,42.88854592740536,0.2,-0.8458120519295335
693,149504,73,-19.092927510000006,885.19,215,321.622802734375,0.4042198657989502,0.0247539,0.0003,-0.008984231136128073,720,0.15576171875,106.34311128556729,0.2,-0.8203028105199337
694,151552,74,-22.359439460000004,878.73,218,35.02399826049805,0.5049941837787628,0.00518981,0.0003,-0.0002831877409334993,730,0.06767578125,113.59474352300167,0.2,-0.8936492858454586
694,153600,75,-23.598152970000005,863.79,221,6.164438724517822,0.6902548372745514,0.0046427767,0.0003,-0.0030609339468355757,740,0.028662109375,88.0041175365448,0.2,-0.9038679929450154
688,155648,76,-22.411879049999996,863.33,225,141.34388732910156,0.5848137140274048,0.0040920787,0.0003,-0.003502495140492101,750,0.04716796875,158.4791771873832,0.2,-0.8377253543585539
688,157696,77,-24.99195096,863.5,228,21.190893173217773,0.7930671274662018,0.011409139,0.0003,-0.0020571138928062284,760,0.107861328125,68.88578331321477,0.2,-0.8921747960150241
685,159744,78,-25.00518346,861.35,232,13.84456729888916,0.8170513659715652,0.008499052,0.0003,-0.0017322719388175756,770,0.066357421875,83.72710940539837,0.2,-0.92758714184165
687,161792,79,-25.46276329,859.1,235,58.97175216674805,0.8262810856103897,0.0076793637,0.0003,-0.002356063952902332,780,0.105517578125,67.60312890484929,0.2,-0.8834424760192633
687,163840,80,-25.24172915,861.31,238,92.37842559814453,0.737928181886673,0.0060126022,0.0003,-0.0032861954085092295,790,0.0875,124.75330590158701,0.2,-0.8355486113578081
683,165888,81,-22.407065469999992,864.07,242,30.54691505432129,0.7957065999507904,0.00815844,0.0003,-0.0013705011682759506,800,0.060205078125,68.4265362739563,0.2,-0.8649767575785517
681,167936,82,-19.195216470000002,858.76,246,49.61406326293945,0.7003893256187439,0.032078385,0.0003,-0.008027771205524914,810,0.11025390625,80.30417369678617,0.2,-0.7894329769536853
680,169984,83,-22.523630920000002,844.75,249,131.8080291748047,0.5439794659614563,0.016512487,0.0003,-0.005481245182454586,820,0.05546875,151.16352387368678,0.2,-0.7541161647066474
680,172032,84,-26.88425765,823.4,252,25.813730239868164,0.67586749792099,0.0076955184,0.0003,-0.0035698390209290666,830,0.0712890625,139.576754873991,0.2,-0.8520373130217195
678,174080,85,-27.17816203,821.2,256,4.019913673400879,0.6835839450359344,0.006097338,0.0003,-0.0027907135379791727,840,0.05478515625,138.91161697506905,0.2,-0.8769349109381437
675,176128,86,-26.029871139999997,816.53,260,8.132613182067871,0.6507953703403473,0.006359256,0.0003,-0.0010032117505033966,850,0.068115234375,76.77580894008278,0.2,-0.8878603927791119
675,178176,87,-27.973562620000003,811.73,263,4.219278335571289,0.7047376036643982,0.010389667,0.0003,-0.002124857699527638,860,0.111474609375,79.22104730680584,0.2,-0.8100986480712891
671,180224,88,-29.62819457,804.14,268,36.681976318359375,0.7383739948272705,0.0040219324,0.0003,-0.0008435670100880088,870,0.047900390625,42.145675749331716,0.2,-0.8148347118869423
670,182272,89,-28.793220980000005,803.48,272,52.45016098022461,0.7877328544855118,0.006743303,0.0003,-0.001762763377337251,880,0.063671875,63.38928470909595,0.2,-0.8801721477881074
670,184320,90,-30.485674110000005,801.51,275,45.536624908447266,0.6618319749832153,0.005759214,0.0003,-0.00010796495334943756,890,0.063134765625,61.68802750632167,0.2,-0.9025433039292693
668,186368,91,-28.618369559999998,794.71,278,50.932682037353516,0.7775437831878662,0.0043067075,0.0003,-0.001054522596677998,900,0.040673828125,78.07155294492841,0.2,-0.8715077172964811
667,188416,92,-26.922776380000002,795.12,282,6.87770938873291,0.5232033729553223,0.004277248,0.0003,-0.002565406203211751,910,0.06083984375,109.26432941257954,0.2,-0.8600184813141822
668,190464,93,-28.0047957,793.66,284,3.6435346603393555,0.631584882736206,0.008072232,0.0003,-0.0015911717870039865,920,0.103857421875,87.14960679039359,0.2,-0.8786813739687205
668,192512,94,-24.404637620000003,800.58,287,3.0217125415802,0.7654585242271423,0.009920085,0.0003,-0.0030635505012469367,930,0.082666015625,93.10844772011042,0.2,-0.8429035194218158
669,194560,95,-25.491760790000008,792.56,290,7.862374305725098,0.6047313511371613,0.005353326,0.0003,-0.0022407497657695786,940,0.0560546875,75.2544144719839,0.2,-0.8025204518809914
671,196608,96,-23.706132850000003,783.92,292,86.36580657958984,0.5082703828811646,0.0119838845,0.0003,-0.004475114620436216,950,0.055810546875,177.89377171695233,0.2,-0.7867582945153118
670,198656,97,-22.877407280000003,782.73,296,5.1371636390686035,0.5742848813533783,0.005925321,0.0003,-0.0035723275235795882,960,0.07099609375,167.52928409576415,0.2,-0.7944666761904955
666,200704,98,-20.996573550000004,778.47,300,68.83075714111328,0.5062778890132904,0.00537919,0.0003,-0.0019440940475760726,970,0.0453125,103.9609352350235,0.2,-0.777420555613935
665,202752,99,-18.60638767,770.52,304,21.830934524536133,0.5525012016296387,0.008438352,0.0003,-0.00514014771215443,980,0.104541015625,89.11956648752093,0.2,-0.8905501250177622
666,204800,100,-15.145328249999999,768.1,307,9.905731201171875,0.4674370288848877,0.0049725054,0.0003,-0.0025610146527469623,990,0.0548828125,116.58018999695778,0.2,-0.7800311023369432
665,206848,101,-13.226454290000001,760.3,311,120.32945251464844,0.603898674249649,0.0049750074,0.0003,-0.003221206408852595,1000,0.05888671875,168.4940948307514,0.2,-0.7534635299816728
665,208896,102,-12.15264303,759.33,313,49.756534576416016,0.5947368144989014,0.007961254,0.0003,-0.0018021053987467895,1010,0.05458984375,128.20519929230213,0.2,-0.8037468053400516
666,210944,103,-12.497161219999995,757.28,316,124.59567260742188,0.6009237170219421,0.006226184,0.0003,-0.0010516877613554244,1020,0.048486328125,158.68047194629906,0.2,-0.7833657993003726
666,212992,104,-9.088033659999999,754.76,319,7.500457763671875,0.6981776654720306,0.016351402,0.0003,-0.004895254467555787,1030,0.1650390625,68.3443996027112,0.2,-0.823744329251349
666,215040,105,-10.965044769999997,740.82,322,17.798473358154297,0.6005883812904358,0.0026073037,0.0003,-0.002791309436724987,1040,0.052734375,65.95663794055581,0.2,-0.7578328689560294
667,217088,106,-10.912261849999998,726.78,325,43.791168212890625,0.589623749256134,0.0058023348,0.0003,-0.0020246753498213365,1050,0.0466796875,130.95058368742465,0.2,-0.8564916368573904
