rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss
783.96,297,681,99,47.49863363,202752,0.0068728086,-0.6375352799892425,0.6742218136787415,44.65299690812826,980,0.0003,14.17019271850586,0.2,0.089013671875,-0.004147151100914926
775.82,300,680,100,50.080732330000004,204800,0.005888328,-0.7473907314240933,0.6245246231555939,64.12178329639137,990,0.0003,2.477843761444092,0.2,0.066015625,-0.0008424629435467068
765.98,303,681,101,53.10767458,206848,0.0046316795,-0.7274133238941431,0.5503682196140289,81.8942573338747,1000,0.0003,4.413824558258057,0.2,0.0384765625,-0.003507677155721467
755.49,306,681,102,51.60844057,208896,0.003872552,-0.740097039937973,0.6771798431873322,125.454427408427,1010,0.0003,38.78989028930664,0.2,0.07021484375,-0.0006598984629818006
750.17,309,681,103,53.34699403,210944,0.0065245917,-0.7602576224133373,0.6395106315612793,128.60147363394498,1020,0.0003,5.025196075439453,0.2,0.0560546875,-0.0017178127338411287
745.79,312,681,104,53.01035491999999,212992,0.007771668,-0.7011561186984181,0.6181651055812836,77.85798413828016,1030,0.0003,3.7976186275482178,0.2,0.07548828125,-0.001627971010748297
743.37,315,681,105,54.06540407000001,215040,0.007066336,-0.6720125799998641,0.7639541774988174,76.82431126981973,1040,0.0003,13.280078887939453,0.2,0.070068359375,-0.0033787212680181254
738.11,318,682,106,53.975418919999996,217088,0.0041416567,-0.7102483989670872,0.584148645401001,163.42000479400158,1050,0.0003,405.5780334472656,0.2,0.03720703125,-0.0015618133340467466
733.51,321,681,107,50.993858579999994,219136,0.005889901,-0.6835651380941272,0.6211602687835693,99.0262536406517,1060,0.0003,10.722384452819824,0.2,0.033251953125,-0.002769732286105864
724.56,324,682,108,52.810189050000005,221184,0.005828459,-0.7294128153473138,0.15095096826553345,107.19190105870366,1070,0.0003,58.10638427734375,0.2,0.06484375,-0.0033803684200393036
720.76,327,682,109,55.3281105,223232,0.0035652139,-0.6719380911439657,0.6643891036510468,75.93111822530628,1080,0.0003,35.50343704223633,0.2,0.051611328125,-0.0013539331919673713
717.75,330,682,110,55.048533649999996,225280,0.0058160136,-0.7533634545281529,0.664101779460907,78.90295073986053,1090,0.0003,8.488574981689453,0.2,0.05849609375,-0.0008048793999478221
713.43,333,682,111,56.7427083,227328,0.0044085095,-0.6812266098335386,0.7478995025157928,69.45378517881036,1100,0.0003,1.9188627004623413,0.2,0.07138671875,-0.0014200586585502606
706.45,336,682,112,61.634140240000015,229376,0.007751475,-0.7317183203995228,0.67049840092659,93.12955354750156,1110,0.0003,5.277296543121338,0.2,0.085107421875,-0.0025219109214958736
700.03,339,682,113,63.95910751,231424,0.008296551,-0.7539435544982552,0.7443074285984039,59.13756856098771,1120,0.0003,5.756764888763428,0.2,0.06328125,-0.0031178548069874523
695.69,341,682,114,63.99320710999999,233472,0.0062700817,-0.747866258956492,0.7753517627716064,87.09699950814247,1130,0.0003,28.703123092651367,0.2,0.076708984375,-0.0023349152579612564
688.39,344,683,115,64.29712933,235520,0.004353125,-0.7110146835446358,0.4207512140274048,73.99729906767607,1140,0.0003,21.96778106689453,0.2,0.056689453125,-0.0023644554625207093
680.41,347,684,116,65.34179112999999,237568,0.004077021,-0.6516586046665906,0.6893933713436127,99.89023053869604,1150,0.0003,4.705380439758301,0.2,0.02705078125,-0.0009808615603105863
677.3,350,684,117,68.25171843999999,239616,0.00610322,-0.6686630474403501,0.7711667716503143,91.39844027608633,1160,0.0003,285.7986755371094,0.2,0.051416015625,-0.0013196299729315796
675.98,353,683,118,66.40276193,241664,0.008891116,-0.7595320992171765,0.7649852931499481,63.73006649687886,1170,0.0003,3.201399803161621,0.2,0.030126953125,-0.0009145542804617435
676.83,356,683,119,64.02015968999999,243712,0.0063792197,-0.6914398711174726,0.36390256881713867,143.6083573654294,1180,0.0003,21.877962112426758,0.2,0.052490234375,-0.0014404641617147718
676.76,359,683,120,65.48505978,245760,0.0033003497,-0.7420636029914022,0.6223829388618469,126.90472592487932,1190,0.0003,6.6287102699279785,0.2,0.044970703125,-0.0006390765469404869
