time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/value_loss,train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/loss
2962,123,768.61,251904,4.085660339999998,85,139.1044192135334,1220,0.0003,0.5768044292926788,-0.7529655354097485,-0.002926039481826592,0.0576171875,0.2,0.005328235,281.2593994140625
2,1,1000.0,2048,-75.81,929,55.49132212474942,1230,0.0003,0.6883702874183655,-0.7390187196433544,-0.004766968461626675,0.11611328125,0.2,0.01854709,2.8403985500335693
5,2,788.2,4096,-80.676,793,10.202627642825245,1240,0.0003,0.6850113868713379,-0.6829816371202468,0.0024707525430130773,0.085693359375,0.2,0.0052200155,0.7240068316459656
7,3,751.375,6144,-95.54625000000001,787,76.38547629863024,1250,0.0003,0.3783118724822998,-0.7451984066516161,-0.0007169659074861556,0.043798828125,0.2,0.0060043656,16.16105079650879
10,4,800.2,8192,-90.74000000000001,808,48.89751693457365,1260,0.0003,0.5577214360237122,-0.8250770350918174,-0.002669705952575896,0.08837890625,0.2,0.008311501,1.2740674018859863
13,5,827.8333333333334,10240,-113.2425,775,25.762959286756814,1270,0.0003,0.4981790781021118,-0.775990797765553,-0.0001249703000212321,0.05908203125,0.2,0.008344876,6.494918346405029
15,6,786.6,12288,-119.01666666666668,781,46.337712893355636,1280,0.0003,-0.16503310203552246,-0.8804407440125942,-0.0033958989850361833,0.09541015625,0.2,0.0063618757,17.49397850036621
19,7,756.8888888888889,14336,-107.31833333333333,752,98.94444264136254,1290,0.0003,0.29361552000045776,-0.8415197772905231,-0.0037977087617036887,0.06748046875,0.2,0.004627044,59.986083984375
23,8,781.2,16384,-105.0015,710,105.91197162345051,1300,0.0003,0.44098883867263794,-0.6805346317589283,-0.013965887718222802,0.117578125,0.2,0.029962314,127.80348205566406
25,9,795.8260869565217,18432,-103.70565217391304,709,2.128746636584401,1310,0.0003,0.9493308998644352,-0.6704208457842469,-0.0029148284571419935,0.102734375,0.2,0.009449361,1.508320927619934
29,10,788.8,20480,-105.4908,700,41.416799849644306,1320,0.0003,0.5843697190284729,-0.8170866714790463,-0.0019089598747086712,0.09111328125,0.2,0.008510748,1.3593714237213135
31,11,786.7142857142857,22528,-95.37785714285712,704,13.482031187787651,1330,0.0003,0.8066481500864029,-0.7535125579684973,-0.0034046973596559837,0.065234375,0.2,0.0075747203,2.8690648078918457
34,12,779.7741935483871,24576,-89.83225806451613,715,67.50652092918753,1340,0.0003,0.4823088049888611,-0.681680791825056,-0.006150527509453241,0.125341796875,0.2,0.017453536,77.01669311523438
37,13,767.0294117647059,26624,-84.53117647058824,709,60.61707942523062,1350,0.0003,0.6211682558059692,-0.7895424051210285,-0.008518998463841854,0.070068359375,0.2,0.025473386,2.5243167877197266
