time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss
174080,683,254,843.35,85,3.42506218,0.2,840,0.0884765625,39.87828834485263,0.0084412955,-0.001187393670261372,0.8873672857880592,0.0003,2.0757241249084473,-1.0141039403155445
176128,680,258,843.35,86,1.918635769999999,0.2,850,0.0658203125,44.195161745976655,0.0056103896,-0.00012760391691699625,0.8824475109577179,0.0003,0.8950413465499878,-0.8929936271160841
178176,678,262,843.09,87,1.4318466199999995,0.2,860,0.13681640625,30.14177845008671,0.010181948,-0.005502450276253512,0.898001030087471,0.0003,0.7177087068557739,-1.007300340756774
180224,676,266,845.77,88,1.4778481799999992,0.2,870,0.033056640625,60.52137481048703,0.005416481,-0.0008864408046065364,0.7960137575864792,0.0003,11.955802917480469,-0.9246637292206288
182272,675,269,842.6,89,-1.2080716300000007,0.2,880,0.077734375,43.517638163920495,0.0082148,-0.0009693271909782198,0.8815903589129448,0.0003,0.8933473229408264,-0.8981059206649661
184320,675,272,842.6,90,-1.2298261000000006,0.2,890,0.031640625,106.3647360732779,0.0041170167,-0.0025499317638605135,0.7550082057714462,0.0003,1.9898254871368408,-0.9207851536571979
186368,675,275,836.14,91,-3.2018130900000004,0.2,900,0.0330078125,48.61046914681792,0.0051822416,-0.006374975760991219,0.8806808888912201,0.0003,0.4903409481048584,-0.7964468013495207
188416,674,279,834.4,92,-5.28559069,0.2,910,0.0310546875,132.2908627822995,0.005387106,-0.0026723500224761663,0.7467138767242432,0.0003,5.600350379943848,-0.862018364854157
190464,673,282,834.4,93,-4.6923322899999995,0.2,920,0.042822265625,98.33966200426221,0.005768912,-0.003906959237792762,0.7816306203603745,0.0003,2.049091100692749,-0.8843735877424479
192512,672,286,841.13,94,-3.1418995000000005,0.2,930,0.064404296875,43.85329221850261,0.0038910485,-0.0016272972643491812,0.8818932622671127,0.0003,0.7058744430541992,-0.7737375751137734
194560,671,289,841.13,95,-3.6877984700000006,0.2,940,0.07978515625,38.1493194879964,0.004897164,-0.005397564996383153,0.8975073918700218,0.0003,1.9678304195404053,-0.822497813589871
