rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate
812.02,194,153600,4.50814885,75,788,-0.8825419049710035,0.008950192,19.3834228515625,0.2,132.90855793356894,0.078466796875,-0.003446131713099021,740,0.6454682648181915,0.0003
805.07,197,155648,6.316608380000002,76,789,-0.827456983551383,0.004772525,52.333641052246094,0.2,176.1262056708336,0.0349609375,-0.00156190813795547,750,0.4266141653060913,0.0003
809.67,199,157696,9.84848394,77,790,-0.8522892855107784,0.0050663,54.53065872192383,0.2,212.62295711636543,0.02119140625,-0.0021141472869203428,760,0.6540902853012085,0.0003
800.02,202,159744,12.598560209999999,78,790,-0.7642288902774453,0.0069325473,70.58328247070312,0.2,143.60996462702752,0.04619140625,-0.005545170699770096,770,0.5479716062545776,0.0003
797.51,204,161792,17.30339339,79,789,-0.7454329706728459,0.0056486884,19.128341674804688,0.2,119.88818784952164,0.038623046875,-0.0018439942048644297,780,0.6222192347049713,0.0003
790.26,208,163840,19.52457023,80,784,-0.7611723596230149,0.008261487,7.710421085357666,0.2,75.97696131169796,0.05498046875,-0.0007599635482620215,790,0.6571371555328369,0.0003
786.46,212,165888,20.2214726,81,780,-0.8076527383178472,0.013745472,34.12808609008789,0.2,93.24747968316078,0.0802734375,-0.003810154880193295,800,0.7189475297927856,0.0003
782.6,215,167936,22.534253879999998,82,778,-0.8305497972294689,0.00720516,4.295197486877441,0.2,43.528235133737326,0.06279296875,-0.0019717439103260404,810,0.845887765288353,0.0003
783.53,218,169984,23.632431549999996,83,776,-0.8703144025057554,0.005816397,14.721541404724121,0.2,115.63907616436481,0.051220703125,-0.0036288459657953355,820,0.700242817401886,0.0003
773.87,221,172032,26.143718509999996,84,776,-0.9046435074880719,0.005276355,9.41154670715332,0.2,69.81218523606658,0.0708984375,-0.005430371438524162,830,0.7675901651382446,0.0003
768.3,224,174080,28.22235378,85,775,-0.8282656649127602,0.0038712646,16.174644470214844,0.2,151.17655408531428,0.0361328125,-0.0006165487789985491,840,0.6712770462036133,0.0003
760.82,227,176128,31.94181584,86,773,-0.851446458697319,0.0046885083,37.079872131347656,0.2,119.19341608285904,0.0359375,-0.0030256671365350486,850,0.7006759643554688,0.0003
754.27,230,178176,33.467797850000004,87,772,-0.8164642062038183,0.00981231,27.420042037963867,0.2,90.84209970682859,0.060400390625,-0.0017830394732300191,860,0.7880530059337616,0.0003
744.73,233,180224,37.24842304,88,772,-0.8549077346920967,0.004006051,45.283775329589844,0.2,140.84341498166322,0.02724609375,-0.0011228405579458921,870,0.5172863602638245,0.0003
746.53,236,182272,39.21369424,89,770,-0.8481937436386943,0.0053519844,23.40053939819336,0.2,100.53633977174759,0.068896484375,-0.0023303882291656917,880,0.7459312379360199,0.0003
744.26,239,184320,42.52670862000001,90,769,-0.862533725425601,0.008696705,3.4797568321228027,0.2,55.9995945200324,0.090185546875,-0.004540989996894495,890,0.7774691879749298,0.0003
727.89,242,186368,47.779132249999996,91,768,-0.7382730266079307,0.003991943,8.549744606018066,0.2,79.39712846577167,0.049853515625,-0.0028276838464080358,900,0.5503017008304596,0.0003
