time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction
178176,861,206,28.952961100000003,87,452.89,860,156.3918029129505,0.0003,0.6368743479251862,0.2,0.0025526918,71.89451599121094,-0.002906449452711968,-0.7612252864986658,0.01689453125
180224,862,208,31.645030460000008,88,452.66,870,179.14024758338928,0.0003,0.5752255320549011,0.2,0.0042925,43.63306427001953,-0.003026126110489713,-0.7969486247748137,0.055419921875
182272,863,211,24.191575259999993,89,450.54,880,191.23545921593904,0.0003,0.6128125488758087,0.2,0.0070384233,75.81609344482422,-0.003685093316016719,-0.8710039081051946,0.0923828125
184320,863,213,23.365314139999995,90,448.95,890,260.54564190804956,0.0003,0.6209727227687836,0.2,0.0068369005,82.15409851074219,-0.0027397422709327657,-0.8765186626464129,0.05712890625
186368,864,215,20.41648245,91,447.79,900,194.80442813634872,0.0003,0.5231022238731384,0.2,0.0037080157,20.135217666625977,-0.0023352832959062653,-0.7950316105037928,0.03583984375
188416,864,217,23.271837429999994,92,450.2,910,199.06371977329255,0.0003,0.6879384815692902,0.2,0.007109571,39.302799224853516,-0.0012485027909860946,-0.8363129809498787,0.045166015625
190464,865,220,25.397634979999992,93,455.22,920,175.9472861915827,0.0003,0.7475500106811523,0.2,0.0072062975,88.68062591552734,-1.0400001701782458e-05,-0.8248411633074284,0.025244140625
192512,865,222,25.30234661,94,453.21,930,195.55664280653,0.0003,0.6370993256568909,0.2,0.0037535615,108.6832275390625,-0.0033813245139754145,-0.8452257158234715,0.037060546875
194560,866,224,27.74796296,95,455.85,940,186.29398131370544,0.0003,0.7230785489082336,0.2,0.007292912,70.69483184814453,-0.004001621132192668,-0.8282802663743496,0.05732421875
196608,866,226,27.511414079999998,96,456.57,950,153.19959676861762,0.0003,0.741602897644043,0.2,0.0051172464,40.64862060546875,-0.0034644911582290662,-0.7970109784975647,0.050732421875
198656,866,229,28.420650520000002,97,456.93,960,216.86795749664307,0.0003,0.7927206158638,0.2,0.0057851393,64.78167724609375,-0.003874439498758875,-0.7851872017607093,0.050537109375
200704,867,231,24.756128439999998,98,456.56,970,158.05587374269962,0.0003,0.8026002496480942,0.2,0.00465273,33.89606475830078,-0.002844759646541206,-0.8205973854288459,0.056103515625
202752,867,233,27.427470779999993,99,458.43,980,124.59839252829552,0.0003,0.8144206255674362,0.2,0.004543619,42.35333251953125,-0.0008360650594113394,-0.8591356026008725,0.03603515625
204800,867,236,27.603545189999995,100,459.02,990,118.05369540452958,0.0003,0.7550108581781387,0.2,0.0038239553,11.599072456359863,-0.0009678995964350178,-0.8688914611935615,0.02587890625
206848,866,238,25.191967919999996,101,459.32,1000,118.62898316979408,0.0003,0.8205799460411072,0.2,0.007074424,9.593400001525879,-0.003920318616656005,-0.8385593140497803,0.078564453125
