time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction
113,371,52.65548968000001,231424,776.03,623,-0.5974207698367536,247.3121795654297,1120,0.26521241664886475,0.2,-0.0024793648961349392,0.0069249747,0.0003,152.22759130969644,0.05634765625
114,374,52.71220943,233472,774.11,622,-0.7202815491706133,3.3438453674316406,1130,0.5862837731838226,0.2,-0.0012766701678629034,0.007900598,0.0003,82.15681730061769,0.05078125
115,377,54.38945745,235520,776.35,623,-0.7143016271293163,166.1654815673828,1140,0.4843795895576477,0.2,-0.003578245433891425,0.0049579744,0.0003,76.25221000015736,0.050927734375
116,380,55.76488428,237568,769.61,624,-0.7530074367299676,4.235249996185303,1150,0.5599646270275116,0.2,-0.0013165338619728572,0.0033894116,0.0003,71.71031182780862,0.075146484375
117,383,58.33165621000001,239616,759.52,625,-0.6468078614212572,11.434292793273926,1160,0.6583397686481476,0.2,-0.0023948720532644074,0.0041543124,0.0003,117.61302462816238,0.055078125
118,385,59.462632240000005,241664,745.55,626,-0.6633294984698296,244.09523010253906,1170,0.6617116034030914,0.2,-0.005072935189309647,0.0080487775,0.0003,129.4763930976391,0.10908203125
119,389,58.58298162,243712,740.55,625,-0.6866931617259979,16.771169662475586,1180,0.6707857847213745,0.2,-0.002281315611071477,0.0072657797,0.0003,99.64047411605716,0.097802734375
120,392,63.817900879999996,245760,728.95,626,-0.6309117036871612,38.311126708984375,1190,0.34064823389053345,0.2,-0.0027567657656618395,0.002595222,0.0003,137.85140995383261,0.046728515625
121,395,63.012763729999996,247808,728.95,626,-0.5845262239687145,22.89118194580078,1200,0.6437495350837708,0.2,-0.002219276154937688,0.0029638158,0.0003,111.87714870125055,0.0279296875
122,398,61.19329599,249856,710.07,627,-0.6808612421154976,1.252064824104309,1210,0.5644536912441254,0.2,-0.0007730999233899638,0.0126524065,0.0003,28.047866357304155,0.094482421875
123,401,62.61225806,251904,694.05,627,-0.7091644493862986,70.08057403564453,1220,0.23406636714935303,0.2,-0.002224804213619791,0.003319757,0.0003,258.4598942503333,0.01083984375
1,2,-239.82748666666666,2048,568.3333333333334,890,-0.6455005869269371,7.45147705078125,1230,0.5822252631187439,0.2,-0.0024567889573518186,0.005571204,0.0003,106.0337145343423,0.035986328125
2,5,-268.1960734285714,4096,580.4285714285714,709,-0.5909936170093715,9.698100090026855,1240,0.6568811535835266,0.2,-0.0014355460800288711,0.005311,0.0003,118.87654809057713,0.01552734375
3,8,-270.9656855454545,6144,548.1818181818181,737,-0.5519579087384046,14.647034645080566,1250,0.6819601953029633,0.2,-0.0024932999342127003,0.003180582,0.0003,128.53497105240822,0.0361328125
4,10,-290.5217188,8192,539.1333333333333,747,-0.6628436593338847,16.664501190185547,1260,0.772579550743103,0.2,-0.0024442825029836967,0.0042351745,0.0003,114.75242208242416,0.022998046875
5,13,-332.9145234444444,10240,548.8888888888889,760,-0.6425795087590813,47.877315521240234,1270,0.755877822637558,0.2,-0.0032884412830753718,0.0036272663,0.0003,157.68212820291518,0.0333984375
6,16,-354.3733703809524,12288,564.6190476190476,737,-0.6917546695098281,37.195892333984375,1280,0.5771409273147583,0.2,-0.006001522675796877,0.005311879,0.0003,170.996374720335,0.06201171875
7,19,-353.29962528,14336,563.36,738,-0.7763941192999482,5.72643518447876,1290,0.7471845746040344,0.2,-0.0007283810511580669,0.0030604952,0.0003,82.43502761721611,0.033251953125
