time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss
766,243712,645.16,44.18414846999999,119,317,-0.7459980605170131,0.0064908992,0.0955078125,1180,256.2883977383375,0.0003,0.5475248694419861,0.2,-0.00427529121589032,198.2852325439453
767,245760,641.88,44.09772214,120,320,-0.6209145965985954,0.005909783,0.032958984375,1190,228.92811691761017,0.0003,0.5195993781089783,0.2,-0.002058592451066943,80.41413879394531
767,247808,633.69,40.973481119999995,121,322,-0.7817733369767665,0.023575764,0.19736328125,1200,76.31844556480647,0.0003,0.6304856240749359,0.2,-0.021370859335002025,5.601011753082275
768,249856,617.53,33.92412543,122,325,-0.6907612588256598,0.0052738436,0.081591796875,1210,220.53598061800002,0.0003,0.43039846420288086,0.2,-0.0010132929084647913,192.50479125976562
768,251904,614.32,31.90661837,123,327,-0.7750938881188632,0.006839939,0.0478515625,1220,325.9086313545704,0.0003,0.3782644271850586,0.2,-0.005038505741686095,212.57437133789062
845,2048,728.5,-587.2971515,1,2,-0.7509405264630914,0.0070751878,0.087646484375,1230,123.77707869261504,0.0003,0.7106678485870361,0.2,-0.002953268754208693,6.154861927032471
871,4096,571.1428571428571,-392.4633368571429,2,4,-0.802204854041338,0.008935461,0.08515625,1240,196.04216247797012,0.0003,0.5060921013355255,0.2,-0.0023269805664313027,52.41654968261719
825,6144,605.9,-386.10751200000004,3,7,-0.7166734015569091,0.00920872,0.072607421875,1250,213.69114837646484,0.0003,0.5965370535850525,0.2,-0.0017861640350020024,30.168550491333008
817,8192,571.7857142857143,-386.12892428571433,4,10,-0.7606533734127879,0.006724695,0.0765625,1260,219.2418907225132,0.0003,0.6087155640125275,0.2,-0.004553834985563299,50.95164489746094
827,10240,538.7368421052631,-367.81068952631574,5,12,-0.7574636721983552,0.0043639913,0.0482421875,1270,242.6329838335514,0.0003,0.6100988984107971,0.2,-0.0026702141909481724,192.12451171875
810,12288,576.8095238095239,-372.42381228571423,6,15,-0.7076319251209497,0.0053909486,0.054345703125,1280,255.21600967645645,0.0003,0.640100508928299,0.2,-0.002824568855430698,33.71788024902344
812,14336,555.92,-361.97321356,7,17,-0.6888640485703945,0.011484955,0.08896484375,1290,105.58454677760601,0.0003,0.4725382328033447,0.2,-0.0008088579372270033,36.428672790527344
824,16384,539.8,-342.57571286666666,8,19,-0.7072946652770042,0.0060622236,0.028369140625,1300,201.1452174603939,0.0003,0.7032806873321533,0.2,-0.0009777636336366414,105.06316375732422
803,18432,546.2727272727273,-337.4075838181818,9,22,-0.6998638922348619,0.007309488,0.070458984375,1310,184.96338514089584,0.0003,0.7946942746639252,0.2,-0.0035198582627344877,43.02241516113281
812,20480,532.0526315789474,-332.10297457894734,10,25,-0.7308899050578475,0.017478373,0.114404296875,1320,101.93012091517448,0.0003,0.8972512930631638,0.2,-0.007019765597942751,8.914908409118652
810,22528,541.170731707317,-336.15317519512195,11,27,-0.804597045481205,0.007120711,0.089794921875,1330,192.2469069093466,0.0003,0.798824280500412,0.2,-0.0021233505784039155,22.42841148376465
808,24576,542.8888888888889,-328.3943557333333,12,30,-0.5803189563564957,0.004797704,0.039111328125,1340,155.42132677137852,0.0003,0.8214711993932724,0.2,-0.004210460828471696,45.57510757446289
809,26624,538.1224489795918,-326.08867036734694,13,32,-0.7133242519572377,0.005491254,0.02587890625,1350,182.82654356956482,0.0003,0.7908237129449844,0.2,-0.0022473213117336853,44.31032180786133
