time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss
115,332,641.29,707,235520,-55.07839769,0.0003,-0.8712952179834247,1140,0.050244140625,0.003809474,38.60399402827024,0.2,0.8320985436439514,-0.0007595706294523552,20.245603561401367
116,337,650.95,703,237568,-54.237699709999994,0.0003,-0.9340334570035338,1150,0.083642578125,0.005895384,17.659156870096922,0.2,0.6136496961116791,-0.0015376756600744557,1.9915927648544312
117,342,655.39,700,239616,-52.78802609,0.0003,-0.9154698712751269,1160,0.053955078125,0.0059712236,30.588008704781533,0.2,0.42196035385131836,-0.0018760612787446008,2.3574750423431396
118,345,671.3,700,241664,-49.86577768,0.0003,-0.8700953662395478,1170,0.074072265625,0.006564682,19.526775597035886,0.2,0.510413646697998,-0.000506534734449815,2.3233237266540527
119,348,673.73,699,243712,-50.18918269000001,0.0003,-0.9113162312656641,1180,0.0568359375,0.0028561135,22.954773388803005,0.2,0.49437373876571655,-0.002393102530913893,2.39062237739563
120,352,673.73,697,245760,-50.49296797,0.0003,-0.8799196602776647,1190,0.023388671875,0.003645493,24.23117141649127,0.2,0.7915875762701035,-0.0013849209095496916,3.146699905395508
121,355,689.75,698,247808,-47.37223779,0.0003,-0.9059377366676926,1200,0.0447265625,0.005192359,21.181471076607703,0.2,0.6480684876441956,-0.001339279565581819,2.1968297958374023
122,357,688.3,698,249856,-49.38518497,0.0003,-0.9491024129092693,1210,0.04921875,0.005700142,29.454447500407696,0.2,0.6662316918373108,-0.002235850999568356,2.7795023918151855
123,361,699.73,696,251904,-46.22050892,0.0003,-0.8871512431651354,1220,0.044580078125,0.0045637097,59.22155121713877,0.2,0.45107054710388184,-0.002089030863135122,4.7537384033203125
1,2,976.5,814,2048,-730.336318,0.0003,-0.8999465014785528,1230,0.062060546875,0.007646892,16.54928512945771,0.2,0.5693217813968658,-0.002488401055597933,2.0797359943389893
2,4,766.6,841,4096,-686.6218076,0.0003,-0.8619564702734351,1240,0.04375,0.0072840014,121.82478164732456,0.2,0.10020714998245239,-0.0012823890428990126,5.382561683654785
3,8,833.2857142857143,731,6144,-695.6693714285714,0.0003,-0.8782751860097051,1250,0.051806640625,0.005267214,52.12727939784527,0.2,0.7749101668596268,-0.004011731063656043,19.716577529907227
4,11,870.3333333333334,743,8192,-746.6010401111112,0.0003,-0.8947577392682433,1260,0.05810546875,0.0063182423,35.152314795553686,0.2,0.20619356632232666,0.0013359526841668413,2.9534990787506104
5,14,889.8181818181819,706,10240,-754.7220718181817,0.0003,-0.8846480926498771,1270,0.040283203125,0.0035038958,24.850691665709018,0.2,0.8438194096088409,-0.0006664980493951589,2.926039218902588
6,17,906.7692307692307,703,12288,-776.7370641538461,0.0003,-0.8284505814313888,1280,0.0451171875,0.0050045275,70.69653989225625,0.2,0.28417718410491943,-0.0010058675310574473,8.596631050109863
7,20,919.2,692,14336,-784.8737839333332,0.0003,-0.9128462029621005,1290,0.0767578125,0.006574253,21.482648734748363,0.2,0.6982651054859161,-0.0030539357772795483,2.015061616897583
8,24,892.4444444444445,680,16384,-774.828908888889,0.0003,-0.8432774651795626,1300,0.043798828125,0.005305716,57.70921538025141,0.2,0.4878517985343933,-0.0024866906336683315,7.49735164642334
9,28,870.7142857142857,654,18432,-759.8646199523811,0.0003,-0.8236416824162006,1310,0.037255859375,0.0034692893,38.23855194151402,0.2,0.835228905081749,-0.002827091135259252,8.485596656799316
10,30,830.3333333333334,668,20480,-732.4624698333333,0.0003,-0.8592965885996818,1320,0.057177734375,0.0057019666,36.13000254034996,0.2,0.8625895977020264,-0.0017176206180010921,2.828192949295044
11,33,788.0357142857143,669,22528,-692.2218944285714,0.0003,-0.8781433496624231,1330,0.096435546875,0.00773982,32.01422463953495,0.2,0.6296803653240204,-0.0037955926221911796,3.199643135070801
12,37,764.46875,663,24576,-676.5074258125001,0.0003,-0.7510091755539179,1340,0.0259765625,0.0029861862,115.01596426665783,0.2,0.8212845176458359,-0.0030194593891792465,13.665618896484375
