time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/loss,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance
670,323,106,217088,749.91,12.389035370000002,0.2,-0.001065235795249464,215.58543081283568,0.0003,21.423709869384766,1050,0.0052193375,-0.727452339604497,0.048779296875,0.3758663535118103
669,327,107,219136,745.29,10.59027733,0.2,-0.002063658046608907,93.46683985218405,0.0003,58.743873596191406,1060,0.007957969,-0.8551831664517522,0.083056640625,0.7358512580394745
670,329,108,221184,732.71,13.193737770000002,0.2,-0.001166032749824808,73.19109730124474,0.0003,40.24259948730469,1070,0.00628654,-0.8153040986508131,0.044287109375,0.7212319076061249
670,332,109,223232,708.81,8.35105252,0.2,-0.0021979742003168214,151.87791783213615,0.0003,49.22185516357422,1080,0.008809447,-0.7594056703150273,0.057666015625,0.5539826452732086
670,336,110,225280,697.13,10.616081829999999,0.2,-0.005373184661584674,150.5030048340559,0.0003,14.211892127990723,1090,0.021855708,-0.8028151746839285,0.1341796875,0.5508146584033966
671,338,111,227328,691.42,9.18850346,0.2,-0.0025741405283042696,143.13881810307504,0.0003,46.39581298828125,1100,0.004596293,-0.7084839763119817,0.0591796875,0.6422684788703918
671,341,112,229376,689.74,10.955797780000001,0.2,-0.00026204884707112794,82.38822437524796,0.0003,6.083021640777588,1110,0.009064408,-0.7834512354806066,0.08310546875,0.7552718669176102
672,344,113,231424,687.93,11.622242260000002,0.2,-0.0028674971388682026,118.32154913842678,0.0003,7.882431507110596,1120,0.0071030576,-0.7371737118810415,0.05703125,0.6060624420642853
673,346,114,233472,683.46,11.993819700000001,0.2,-0.0011529932628036477,47.968111322820185,0.0003,19.711185455322266,1130,0.006938331,-0.760907107591629,0.066455078125,0.7427539825439453
673,349,115,235520,676.5,9.863133469999998,0.2,-0.0024959335976745935,95.79645380079747,0.0003,48.04242706298828,1140,0.008070987,-0.739568349160254,0.0705078125,0.6921790838241577
672,353,116,237568,667.32,6.256639700000001,0.2,0.00011167637712787837,136.14557995200158,0.0003,57.713233947753906,1150,0.006812183,-0.8048880508169531,0.02294921875,0.6210066974163055
671,356,117,239616,674.21,9.794099779999998,0.2,9.295765339629724e-05,212.36186631023884,0.0003,20.93211555480957,1160,0.004661045,-0.7826778693124652,0.076708984375,0.6195611953735352
672,359,118,241664,672.69,9.16759039,0.2,-0.004318236970721046,37.72013938948512,0.0003,8.087091445922852,1170,0.015012079,-0.8281629610806703,0.158349609375,0.7290011048316956
