time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction
120,505.38,245760,793,73.42751290999999,309,0.010068055,-0.6613736404106021,0.6239303052425385,0.2,1190,26.914915084838867,0.0003,-0.0007990560348844156,104.59530944526196,0.070361328125
121,504.82,247808,793,71.19056976,312,0.008921923,-0.6222130130976439,0.6642577350139618,0.2,1200,11.925822257995605,0.0003,-0.005227737614040962,103.45120251700283,0.0736328125
122,497.76,249856,793,72.62554628000001,314,0.011104705,-0.7714723479002714,0.8538068979978561,0.2,1210,19.945905685424805,0.0003,-0.005559899305080762,91.47862136326731,0.20126953125
123,503.75,251904,794,73.19286165,317,0.009872669,-0.7451301608234644,0.6877806186676025,0.2,1220,15.441816329956055,0.0003,-0.006287792521470692,92.00847812145949,0.1212890625
1,468.5,2048,1145,-179.07262025,1,0.009093325,-0.7184331249445677,0.8890960589051247,0.2,1230,9.365626335144043,0.0003,-0.0023304333437408785,69.78810393214226,0.05888671875
2,469.0,4096,992,-194.77447562499998,4,0.0076138834,-0.7051311045885086,0.635159969329834,0.2,1240,42.59528350830078,0.0003,-0.0031805820981389843,124.94019599556923,0.07685546875
3,444.9166666666667,6144,925,-196.87925391666667,6,0.008634558,-0.7128754336386919,0.7942840754985809,0.2,1250,6.821941375732422,0.0003,-0.0030426513483689634,118.44919492006302,0.086376953125
4,462.7647058823529,8192,929,-207.6439422352941,8,0.009013449,-0.7128271717578173,0.7861121743917465,0.2,1260,5.920969486236572,0.0003,-0.0032510942939552477,111.07365428954363,0.07314453125
5,437.2608695652174,10240,937,-203.86025121739124,10,0.0069147972,-0.7493796501308679,0.8331036567687988,0.2,1270,3.836972951889038,0.0003,-0.0032650330031174235,101.61131549030543,0.09775390625
6,421.0344827586207,12288,948,-198.78022634482758,12,0.00763887,-0.7710837047547102,0.8572087287902832,0.2,1280,6.366548538208008,0.0003,-0.006110574243939482,134.40919851213692,0.08291015625
