time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/approx_kl,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/loss
178176,227,25.721683220000003,566.29,87,782,0.00573841,215.9901056468487,860,0.6292583644390106,-0.0027879565044713673,-0.837188309058547,0.2,0.03828125,0.0003,78.59336853027344
180224,230,26.253123839999997,556.64,88,782,0.011240282,159.00463051795958,870,0.6359455585479736,-0.00706476977939019,-0.8108751017600297,0.2,0.08193359375,0.0003,173.1602325439453
182272,232,19.88215761,546.8,89,782,0.0038121291,122.52081819176674,880,0.66045743227005,-0.0021722728713939434,-0.7966617926955223,0.2,0.02421875,0.0003,13.086682319641113
184320,235,15.225639700000002,541.74,90,784,0.0030774798,171.83939928412437,890,0.7368962168693542,-0.0037643977797415574,-0.8750527502968908,0.2,0.043115234375,0.0003,20.371135711669922
186368,237,21.12148135,546.25,91,785,0.0060950816,134.40303935408593,900,0.7999090552330017,-0.002472176852461416,-0.8747978685423732,0.2,0.04970703125,0.0003,35.55574417114258
188416,240,20.3420834,550.5,92,784,0.00784773,116.8315537840128,910,0.7828596085309982,-0.0026434820490976564,-0.7499449534341693,0.2,0.092919921875,0.0003,95.23175048828125
190464,242,16.394628429999997,556.65,93,785,0.0032830406,136.58006718754768,920,0.6993007361888885,-0.0018120818611350841,-0.849377935193479,0.2,0.034326171875,0.0003,10.781883239746094
192512,245,17.842307029999997,558.82,94,784,0.0068723746,155.95372126698493,930,0.4428863525390625,-0.00023165849634096958,-0.7777392599731684,0.2,0.087353515625,0.0003,71.44306945800781
194560,248,16.733376250000003,544.92,95,783,0.006129685,78.69935390427709,940,0.7503863871097565,0.00029413070442387836,-0.790388448536396,0.2,0.069921875,0.0003,6.550107955932617
196608,250,19.680869729999994,548.86,96,783,0.0043337015,115.12710767686367,950,0.7709116786718369,-0.0029130487826478204,-0.7974256360903382,0.2,0.05263671875,0.0003,208.86964416503906
198656,253,16.208962509999996,552.16,97,784,0.00497711,119.85017651319504,960,0.831691712141037,-0.0028252929987502284,-0.7632013518363238,0.2,0.0421875,0.0003,52.956424713134766
200704,255,14.788235879999997,548.35,98,784,0.0036317022,88.15535165071488,970,0.8899105116724968,-0.004070467298151925,-0.8193536406382919,0.2,0.08232421875,0.0003,27.822818756103516
202752,258,15.065992749999998,550.48,99,784,0.0039571924,157.12619049847126,980,0.7267919182777405,-0.0011020675890904385,-0.7994226720184088,0.2,0.0267578125,0.0003,116.64016723632812
204800,261,16.53187031,553.35,100,783,0.005165763,148.68936366438865,990,0.37767690420150757,-0.0035919571786507732,-0.7848374422639608,0.2,0.053515625,0.0003,41.36309051513672
206848,264,17.256109739999996,557.98,101,781,0.0044091633,119.57587032318115,1000,0.6023060381412506,-0.0019496474276820663,-0.7895405719056725,0.2,0.0560546875,0.0003,4.8925042152404785
208896,266,15.144119379999996,556.57,102,783,0.0043676393,151.01066413521767,1010,0.8077807873487473,-0.0007845750558772124,-0.820941935479641,0.2,0.043896484375,0.0003,68.2424545288086
210944,269,16.447976189999995,558.86,103,781,0.0051546786,137.3256182551384,1020,0.7243495881557465,-0.001734581030177651,-0.8278746318072081,0.2,0.059814453125,0.0003,122.69629669189453
212992,272,18.17382031,556.96,104,782,0.0057813474,153.8818233639002,1030,0.7577082961797714,-0.002674535842379555,-0.804657905548811,0.2,0.04423828125,0.0003,23.071218490600586
215040,274,16.57790113,562.07,105,782,0.004468051,192.08799403309823,1040,0.5766116976737976,-0.0026461017929250374,-0.8145677957683801,0.2,0.03486328125,0.0003,39.868717193603516
217088,277,19.859865220000003,570.43,106,781,0.010134966,88.05273955464364,1050,0.7623038440942764,-0.007512517519353423,-0.828131415322423,0.2,0.089697265625,0.0003,19.62645721435547
219136,280,19.6512993,573.01,107,781,0.0065317526,58.60485838279128,1060,0.7516905516386032,-0.004940610547782854,-0.8026390381157398,0.2,0.076611328125,0.0003,105.03292846679688
221184,283,20.666763139999997,569.61,108,779,0.0047395206,91.49456071853638,1070,0.7427460849285126,-0.0022761958185583352,-0.8649531273171306,0.2,0.062060546875,0.0003,46.9138298034668
223232,286,19.496149260000003,572.92,109,780,0.008498687,109.84583359062671,1080,0.6433261334896088,-0.0016698739040293732,-0.8223700808361173,0.2,0.096484375,0.0003,13.27569580078125
225280,288,19.529171479999995,576.85,110,779,0.004771212,83.7188597664237,1090,0.8381255716085434,-0.0039000490265607367,-0.7723798107355833,0.2,0.062060546875,0.0003,22.76149559020996
227328,292,19.281702669999994,581.67,111,777,0.0073639597,105.04173459410667,1100,0.5984168946743011,-0.000938674224926217,-0.8850784318521618,0.2,0.064599609375,0.0003,23.477249145507812
229376,295,15.249741509999996,587.43,112,776,0.010424307,59.63466935753822,1110,0.6880828738212585,-0.00801475409680279,-0.9135871762409806,0.2,0.0763671875,0.0003,10.24334716796875
231424,299,17.073692800000003,595.96,113,773,0.006330173,81.44605052918196,1120,0.6847128570079803,-0.0008369812680030009,-0.9049528446048498,0.2,0.112255859375,0.0003,44.8475341796875
233472,302,13.045994919999998,603.23,114,773,0.0070120865,45.413857287168504,1130,0.850505530834198,-0.003947362210601569,-0.851842250674963,0.2,0.072119140625,0.0003,5.503549098968506
235520,304,16.409370299999996,612.05,115,773,0.0041324752,101.75351422652602,1140,0.18879324197769165,-0.0026981619572325143,-0.7318201635032893,0.2,0.056884765625,0.0003,3.3357112407684326
237568,307,13.87786763,621.32,116,772,0.009120265,51.550870557129386,1150,0.6739553511142731,-0.0033552124339621516,-0.9157831307500601,0.2,0.072998046875,0.0003,5.604977130889893
239616,310,12.1476518,622.29,117,772,0.0065069813,72.36213611513377,1160,0.7305991649627686,-0.004820670242042979,-0.7981408758088946,0.2,0.068603515625,0.0003,6.212236404418945
241664,313,12.706458210000001,630.68,118,771,0.006131877,229.3572905421257,1170,0.44178229570388794,-0.0015255652979249135,-0.8189072111621499,0.2,0.01875,0.0003,112.99858093261719
243712,315,11.33062572,622.66,119,772,0.0025145998,107.89144985079766,1180,0.7375200390815735,-0.003426057885371847,-0.7208569055423141,0.2,0.018359375,0.0003,5.269183158874512
245760,317,12.849751830000002,626.1,120,772,0.0068030786,241.94448281526564,1190,0.42358696460723877,-0.003996567579451949,-0.8297254979610443,0.2,0.10654296875,0.0003,38.177791595458984
247808,320,13.685933020000002,620.61,121,773,0.0077208765,152.7473362699151,1200,0.48023539781570435,-0.0016114881895191503,-0.8283910863101482,0.2,0.07333984375,0.0003,104.31730651855469
249856,322,10.48747346,620.17,122,774,0.008004465,146.66333211660384,1210,0.6106934547424316,-0.0027424507785326568,-0.8056536026298999,0.2,0.06025390625,0.0003,56.7630615234375
251904,325,10.291852650000001,617.75,123,774,0.0066352626,136.7793279439211,1220,0.6862078905105591,-0.0020359900772746187,-0.7879900963976979,0.2,0.039013671875,0.0003,9.818404197692871
2048,2,-707.75,936.5,1,826,0.007076717,79.49635357856751,1230,0.7020474076271057,-0.003915743202378507,-0.868400108627975,0.2,0.110302734375,0.0003,7.65755033493042
4096,4,-577.9799999999999,770.4,2,825,0.010491306,78.31314567923546,1240,0.35306811332702637,-0.003137483038881328,-0.942008924856782,0.2,0.12353515625,0.0003,5.370769500732422
