time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss
167936,82,462.45,799,51.143819060000006,210,0.005863188,-0.003212754380365368,9.301529884338379,0.030078125,810,144.3360175073147,0.4841458201408386,0.0003,0.2,-0.7231363736093044
169984,83,439.96,800,50.498712909999995,212,0.002487836,-0.0026124912772502286,11.963563919067383,0.02900390625,820,143.18774787783622,0.7184163928031921,0.0003,0.2,-0.6884433943778276
172032,84,426.52,802,55.30747957,214,0.004801615,-0.002802413008612348,66.70482635498047,0.020263671875,830,267.30318123698237,0.620350569486618,0.0003,0.2,-0.6983802415430546
174080,85,421.65,802,54.94073352,216,0.0056300154,-0.0018116306331648958,171.50726318359375,0.047509765625,840,158.88466347754002,0.7236070036888123,0.0003,0.2,-0.7327379025518894
176128,86,424.37,804,58.9050708,218,0.005734209,-0.0028270564842387104,8.116735458374023,0.06357421875,850,95.75558205470443,0.7863924652338028,0.0003,0.2,-0.7132175549864769
178176,87,433.27,805,60.893397889999996,221,0.0048917425,-0.0018190617985965219,25.61996078491211,0.0275390625,860,193.3453914821148,0.7051309943199158,0.0003,0.2,-0.6219129864126444
180224,88,433.72,807,59.388582850000006,223,0.008312878,-0.0017720124866173136,113.5062255859375,0.0490234375,870,142.21153783798218,0.6593761444091797,0.0003,0.2,-0.6491662435233593
182272,89,435.49,808,58.89876185,225,0.008099055,-0.002203207958882558,118.83617401123047,0.056396484375,880,310.63292948007586,0.6688673198223114,0.0003,0.2,-0.7256003396585584
184320,90,442.46,808,59.347526560000006,227,0.0060136914,-0.0026270602931617757,6.8213043212890625,0.05751953125,890,101.18557881712914,0.8081176728010178,0.0003,0.2,-0.7663358451798559
186368,91,449.48,809,60.13884982999999,230,0.009791471,-0.0022923173222807237,8.011432647705078,0.08603515625,900,92.4432448476553,0.8433659970760345,0.0003,0.2,-0.7534942736849188
