time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/std,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance
69,2.9536429500000008,909.06,502,141312,281,-2.0001053009182215,0.0003,680,0.6523085236549377,0.2,1.8072268962860107,46.70053591020405,0.113671875,-0.002704039617674425,0.007436053,0.6705975532531738
70,1.316919190000002,906.4,500,143360,286,-1.984838943555951,0.0003,690,0.6544472575187683,0.2,1.5669481754302979,32.01689540818334,0.111572265625,-0.0033110640899394637,0.010476366,0.8824159726500511
71,2.00589994,898.86,499,145408,291,-1.976716910302639,0.0003,700,0.6491326093673706,0.2,383.0510559082031,70.21302862614394,0.02666015625,0.000490895998882479,0.0034029048,0.6032073199748993
72,2.8596479000000006,888.11,498,147456,296,-1.9681191839277745,0.0003,710,0.6490877270698547,0.2,3.861285448074341,81.4564711600542,0.0400390625,-0.0010010911290009971,0.004232387,0.6984935700893402
73,1.8535368600000006,884.59,499,149504,299,-1.9634164556860925,0.0003,720,0.6470934152603149,0.2,34.35017776489258,102.16607817113399,0.0673828125,-0.0005265284697088645,0.010060806,0.69383504986763
74,1.2010118300000001,884.59,497,151552,304,-1.952774615213275,0.0003,730,0.6422921419143677,0.2,58.05398178100586,59.38953372389078,0.06318359375,-0.0024457318606437182,0.0060019195,0.8421058803796768
75,0.19449912000000125,871.05,498,153600,307,-1.9587722536176444,0.0003,740,0.6499863862991333,0.2,0.8280348777770996,25.47397950012237,0.07822265625,-0.0018690208162297495,0.008105976,0.7811824381351471
76,1.5693381100000012,864.46,501,155648,310,-1.9708152562379837,0.0003,750,0.6503989100456238,0.2,35.84620666503906,112.9622455328703,0.0853515625,-0.003952158780884929,0.007203038,0.7917931377887726
77,2.65361511,859.65,503,157696,313,-1.9666031260043382,0.0003,760,0.6476776599884033,0.2,3.0943150520324707,36.95241188332439,0.148828125,-0.0011754234656109475,0.013270691,0.8859657496213913
78,-1.1496066600000017,850.2,503,159744,317,-1.9542805552482605,0.0003,770,0.6429293751716614,0.2,11.016327857971191,85.26616523563862,0.10556640625,-0.003356598804020905,0.011662349,0.7188331484794617
