time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/loss
137216,778.02,-20.204404460000003,67,173,789,0.0036264057,0.6636369824409485,0.0003,660,-0.8205534553155303,-0.001152385425848479,0.2,0.01591796875,190.49082491397857,68.4739990234375
139264,779.47,-17.476707920000003,68,177,785,0.009768002,0.7092147469520569,0.0003,670,-0.9250862710177898,-0.006587004534230801,0.2,0.10986328125,106.87285330444574,19.725557327270508
141312,792.46,-14.41570596,69,181,780,0.007312711,0.8074561804533005,0.0003,680,-0.8912356588989496,-0.0015330891819758108,0.2,0.034521484375,76.10616916567088,8.476037979125977
143360,804.96,-11.194475860000002,70,185,774,0.016548743,0.6895295083522797,0.0003,690,-0.9324797155335546,-0.004825369917307398,0.2,0.1482421875,105.44287939071656,13.402310371398926
145408,813.7,-10.70557853,71,189,767,0.0120136235,0.8107835650444031,0.0003,700,-0.83791434597224,-0.0019136233764584175,0.2,0.100244140625,35.082724193949254,0.921515703201294
147456,815.18,-10.173291170000002,72,192,765,0.006436816,0.715740829706192,0.0003,710,-0.7474350718781352,-0.0013966130507469642,0.2,0.034375,75.11442341171205,25.271255493164062
149504,814.22,-7.174648640000002,73,195,764,0.008954824,0.8361564725637436,0.0003,720,-0.978609811142087,-0.0006991498979914468,0.2,0.06767578125,53.79680787473917,15.959575653076172
151552,813.15,-4.554811070000002,74,198,762,0.009124311,0.7659273743629456,0.0003,730,-0.7489603476598858,-0.0038643713072815445,0.2,0.08515625,133.2003951177001,108.50045776367188
153600,809.23,-3.8214367500000015,75,201,762,0.0059668017,0.7081051170825958,0.0003,740,-0.9577820394188166,-0.00089664078077476,0.2,0.05634765625,81.22291974723339,2.537620782852173
155648,810.6,-2.855508890000001,76,204,759,0.002040989,0.747064471244812,0.0003,750,-0.955441752448678,-0.0008746376941417111,0.2,0.025146484375,103.2513015281409,1.8015915155410767
157696,801.32,-1.0181645200000013,77,207,759,0.00997087,0.8506563454866409,0.0003,760,-0.9441747607663273,-0.004014735654345713,0.2,0.11005859375,46.85262113884092,3.7037646770477295
