time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss
13,905,421.6984126984127,29,-244.97777777777776,26624,-0.5928620071150362,-0.0025232151572708974,0.0003,27.027931213378906,0.0065023294,0.9578973688185215,1350,0.2,0.062548828125,83.81576887369155
14,915,409.07142857142856,31,-238.37928571428571,28672,-0.6799013378098607,-0.001443947187726735,0.0003,53.580867767333984,0.0031444817,0.9535396434366703,1360,0.2,0.042138671875,87.71584959626198
15,919,408.06666666666666,33,-234.15133333333333,30720,-0.68030219450593,-0.0031791388340934646,0.0003,35.70683288574219,0.004561111,0.9409013316035271,1370,0.2,0.091015625,108.98004901111126
16,925,400.7037037037037,35,-227.66296296296298,32768,-0.6514647658914328,-0.002875597173260758,0.0003,55.25315475463867,0.0064874254,0.9573163576424122,1380,0.2,0.0541015625,74.04709522724151
17,923,397.39080459770116,37,-224.62356321839084,34816,-0.591449180431664,-0.0028140787151642145,0.0003,23.14666748046875,0.0048099253,0.9398351050913334,1390,0.2,0.05078125,129.67321126163006
18,925,400.10869565217394,39,-222.17663043478265,36864,-0.6704955484718085,-0.0016167208465049042,0.0003,27.490062713623047,0.0055083223,0.9502203091979027,1400,0.2,0.07705078125,114.1716659039259
19,927,393.92857142857144,41,-219.6122448979592,38912,-0.6161318326368928,-0.003122216417978052,0.0003,44.31568145751953,0.0072887368,0.9439978674054146,1410,0.2,0.054736328125,77.7473277270794
20,924,389.19,44,-210.45800000000003,40960,-0.6527169093489646,-0.003488191287760856,0.0003,46.25413513183594,0.004006666,0.9497304856777191,1420,0.2,0.054638671875,88.79129032194615
21,918,385.26,46,-200.86900000000003,43008,-0.5606288540177047,-0.002211400680243969,0.0003,48.589534759521484,0.005734301,0.9413031749427319,1430,0.2,0.050146484375,121.5755801975727
22,921,375.92,48,-194.70699999999997,45056,-0.6424195564351975,0.0021876758866710587,0.0003,15.043274879455566,0.0037193683,0.9645135514438152,1440,0.2,0.0806640625,72.43392226323485
