rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction
872.31,212992,104,312,-11.45837744,681,-0.0009420377617061603,0.0042973403,27.658260345458984,-0.7713319821283221,0.0003,103.53956758230925,0.4727299213409424,1030,0.2,0.026318359375
872.31,215040,105,315,-11.27691142,680,0.0011207439019926824,0.008363784,7.08604097366333,-0.6172729671001435,0.0003,28.44571578092873,0.8228378593921661,1040,0.2,0.0935546875
871.0,217088,106,318,-9.870942350000002,680,0.0009771258861292153,0.0077630426,1.4837055206298828,-0.7592143461108207,0.0003,39.184733159095046,0.8072816729545593,1050,0.2,0.098974609375
872.5,219136,107,321,-7.1389034500000035,680,-0.0011274248478002845,0.004868382,25.812984466552734,-0.7251812202855945,0.0003,134.08614986240863,0.3725341558456421,1060,0.2,0.050048828125
881.71,221184,108,325,-3.2272946400000033,678,-0.0018728878094407264,0.008481542,28.73221778869629,-0.7180104099214077,0.0003,96.34893227890134,0.2862052917480469,1070,0.2,0.06669921875
884.52,223232,109,328,-2.957526670000003,679,-0.000490933735636645,0.002741605,9.461190223693848,-0.7404301762580872,0.0003,70.05159173831343,0.26788681745529175,1080,0.2,0.0615234375
878.28,225280,110,331,-3.412332350000002,680,-0.0004264443035935983,0.009623014,4.002551555633545,-0.7029150379821658,0.0003,38.2629333935678,0.6411376297473907,1090,0.2,0.09716796875
874.47,227328,111,334,-3.4278646000000013,678,-0.0024245392029115464,0.0062370542,28.88711929321289,-0.7524865113198758,0.0003,101.00881151556969,0.6286006569862366,1100,0.2,0.06591796875
871.63,229376,112,337,-2.970316510000002,679,-0.0050614668503840225,0.009098089,3.348419427871704,-0.7553614668548108,0.0003,99.23447058349848,0.5319388806819916,1110,0.2,0.111083984375
868.91,231424,113,340,-1.0469813100000014,680,-0.0012153996729466598,0.0049665077,2.086568832397461,-0.763658063672483,0.0003,52.903882371634246,0.7259251177310944,1120,0.2,0.09482421875
864.71,233472,114,343,-1.3288359100000016,680,-0.0044339947147818744,0.013678567,334.0236511230469,-0.6290279870852828,0.0003,180.69921414256095,0.32272589206695557,1130,0.2,0.0494140625
853.16,235520,115,346,-5.587003270000001,678,-0.0013492404723365325,0.004946788,49.69123077392578,-0.7059568651020527,0.0003,100.7970451951027,0.5661601722240448,1140,0.2,0.034033203125
852.77,237568,116,350,-4.961281480000001,677,-7.083976342983078e-05,0.005014104,91.64584350585938,-0.7357904529199004,0.0003,153.22675348967314,0.6058576107025146,1150,0.2,0.03359375
850.98,239616,117,354,-3.015421080000001,675,-0.0014628564211307093,0.0057915584,76.96165466308594,-0.7729811342433095,0.0003,127.15021990910172,0.5013124048709869,1160,0.2,0.046044921875
836.27,241664,118,357,-9.13105993,675,-0.0005697050641174428,0.008893166,65.12812805175781,-0.763467769883573,0.0003,73.1421311236918,0.7222688496112823,1170,0.2,0.0974609375
840.08,243712,119,361,-5.411273679999998,674,-0.004224220206378959,0.009576011,6.367416858673096,-0.7586185816675425,0.0003,137.54347401410342,0.4184790849685669,1180,0.2,0.098095703125
842.84,245760,120,364,-6.487359339999999,674,-0.0014880754752084613,0.006994108,3.854274272918701,-0.7667904440313578,0.0003,58.18163479119539,0.7196424901485443,1190,0.2,0.086279296875
841.15,247808,121,367,-8.40420551,675,-0.0014056674044695683,0.006484599,2.5374233722686768,-0.7943792574107646,0.0003,40.289135402068496,0.4172171950340271,1200,0.2,0.071044921875
841.15,249856,122,370,-9.450229860000002,674,-0.0029572506457043344,0.003252083,8.932324409484863,-0.7726641466841102,0.0003,133.52594681084156,0.34936821460723877,1210,0.2,0.043310546875
838.66,251904,123,373,-10.02814036,673,0.001485089048219379,0.0069463793,3.984363079071045,-0.820099176466465,0.0003,28.7510767955333,0.8444618135690689,1220,0.2,0.0830078125
409.6,2048,1,1,-151.676,1086,-0.0023556759122584483,0.00763835,2.733731985092163,-0.8046455992385745,0.0003,79.98074879869819,0.546323299407959,1230,0.2,0.066796875
529.8571428571429,4096,2,5,-127.73142857142855,805,-0.00026045531521958767,0.0030560435,6.96209192276001,-0.7196930114179849,0.0003,103.06274020969867,0.5108183026313782,1240,0.2,0.064453125
634.3333333333334,6144,3,8,-134.22666666666666,727,-0.00029339546090341174,0.014999495,4.444176197052002,-0.6741253651678563,0.0003,30.551538452133535,0.45951133966445923,1250,0.2,0.11279296875
