time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss
120,245760,679,43.52955724,676.41,361,-0.001578094634169247,0.8072433173656464,0.2,0.008293028,0.0003,1190,-0.7107369434088469,0.052685546875,75.8016569904983,10.8489990234375
121,247808,680,44.64944772,682.94,364,-0.004449614977056626,0.7729219049215317,0.2,0.0067620305,0.0003,1200,-0.8167867422103882,0.06240234375,116.08117755502462,36.30259704589844
122,249856,680,45.30516372000001,678.77,367,-0.0022552755639480893,0.6286691427230835,0.2,0.0053565498,0.0003,1210,-0.7495917892083526,0.033203125,103.0018932491541,29.245948791503906
123,251904,680,41.64275056,686.7,369,-0.001672360570228193,0.7584889829158783,0.2,0.0075678127,0.0003,1220,-0.7780632499605418,0.068212890625,53.238034358620645,5.073218822479248
1,2048,1026,-401.67499999999995,610.5,1,-0.001476112061936874,0.646776407957077,0.2,0.009591585,0.0003,1230,-0.7851473592221737,0.090869140625,119.3483073502779,27.958438873291016
2,4096,900,-474.5416666666666,669.3333333333334,4,-0.0052024740449269306,0.7222565114498138,0.2,0.011104978,0.0003,1240,-0.8641539640724659,0.114892578125,76.77451494336128,7.263007640838623
3,6144,801,-455.28749999999997,732.625,7,-0.0019395581766730174,0.6378093957901001,0.2,0.008470383,0.0003,1250,-0.8138965567573905,0.12158203125,99.4432153314352,29.478757858276367
4,8192,804,-403.2916666666666,658.8333333333334,10,-0.0014326705168059561,0.9357556104660034,0.2,0.011633535,0.0003,1260,-0.707243001461029,0.06962890625,49.29799505695701,5.758609294891357
5,10240,804,-414.6066666666666,651.0,12,-0.0010504155288799666,0.840435117483139,0.2,0.0062266276,0.0003,1270,-0.7589570237323642,0.0619140625,71.749213463068,31.867507934570312
6,12288,807,-410.36315789473684,627.8421052631579,15,-0.006260542482777964,0.8567572385072708,0.2,0.011523204,0.0003,1280,-0.8441862873733044,0.112109375,73.55628923475743,51.894466400146484
7,14336,797,-406.0304347826087,610.6521739130435,17,-0.0028409696300514043,0.8956010788679123,0.2,0.0056442525,0.0003,1290,-0.8356035571545363,0.074658203125,79.02617177218198,15.947916984558105
8,16384,805,-385.28571428571433,583.8928571428571,20,-0.001711226783663733,0.8479159027338028,0.2,0.0054815607,0.0003,1300,-0.7784128356724977,0.05419921875,135.16698532104493,31.744295120239258
9,18432,807,-377.11451612903227,575.516129032258,22,-0.003010173780785408,0.8902499005198479,0.2,0.0038651826,0.0003,1310,-0.6541517947800457,0.030810546875,126.17413893342018,15.445911407470703
10,20480,766,-380.21818181818185,601.2424242424242,26,-0.001931358119327342,0.9553224928677082,0.2,0.0040814723,0.0003,1320,-0.7744045630097389,0.03955078125,53.39641045928001,10.210508346557617
11,22528,773,-383.6611111111111,618.1666666666666,29,-0.0023998810182092713,0.9875266831368208,0.2,0.007909598,0.0003,1330,-0.6763519823551178,0.119091796875,12.748722621239722,0.8103915452957153
12,24576,760,-391.74487179487176,627.0512820512821,32,-0.0046656151731440335,0.9599917456507683,0.2,0.005694978,0.0003,1340,-0.6626218415796756,0.043017578125,66.50484815835952,0.9528588652610779
13,26624,762,-386.55119047619047,629.1666666666666,34,-0.0014460575490375049,0.9563253074884415,0.2,0.0042517353,0.0003,1350,-0.7475525718182325,0.048095703125,57.775672253966334,13.12714958190918
