rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/value_loss
771.63,20.93419187,117,344,695,239616,-0.8861438695341348,0.0003,0.640060693025589,0.080615234375,0.00827779,-0.0013706145611649845,0.2,41.91462326049805,1160,131.30081895925105
771.63,21.19299548,118,348,693,241664,-0.8244676377624274,0.0003,0.5763851702213287,0.0498046875,0.0048317164,-0.0015903325285762549,0.2,5.215550899505615,1170,106.6674076884985
778.86,22.569752180000002,119,352,690,243712,-0.8721257044002414,0.0003,0.7679058909416199,0.107763671875,0.006901111,-0.0010013009581598454,0.2,0.6011079549789429,1180,40.0150827260688
780.42,22.684179780000004,120,356,690,245760,-0.7904181266203523,0.0003,0.7457300424575806,0.055810546875,0.006939225,-0.0018465587898390367,0.2,1.7596054077148438,1190,61.553259890154
773.36,23.73329668,121,359,689,247808,-0.7465643770992756,0.0003,0.8420592695474625,0.106982421875,0.004775412,0.000810166347946506,0.2,0.6624583601951599,1200,34.232611407060176
773.58,23.955367619999997,122,362,688,249856,-0.8495354481041432,0.0003,0.6492710709571838,0.036767578125,0.0039744284,-0.0014124351924692745,0.2,16.20013427734375,1210,132.6141685973853
772.17,24.089397139999996,123,366,688,251904,-0.7942243484780193,0.0003,0.7588410675525665,0.0205078125,0.0043183435,-0.002149186880706111,0.2,1.3873369693756104,1220,88.49095424897969
534.0,-365.8719656666667,1,1,1241,2048,-0.7633627366274596,0.0003,0.7969015836715698,0.086181640625,0.007858035,-0.00168253549200017,0.2,5.422897815704346,1230,51.13440222516656
637.4,-355.9000132,2,5,773,4096,-0.8837941903620958,0.0003,0.5473803281784058,0.026611328125,0.0048437584,-0.001073548423300963,0.2,135.46380615234375,1240,200.4597096323967
589.4,-336.2628425,3,7,817,6144,-0.7965789124369621,0.0003,0.15282797813415527,0.033935546875,0.0071397945,-0.0016937650652835146,0.2,3.1417922973632812,1250,72.67880873978137
657.8333333333334,-350.378224,4,11,709,8192,-0.7450673531740903,0.0003,0.4037850499153137,0.00419921875,0.0021423087,-0.000815003167008399,0.2,300.6646728515625,1260,230.3718171954155
666.7857142857143,-349.64137735714286,5,15,645,10240,-0.7994147809222341,0.0003,0.5685786604881287,0.080126953125,0.006136423,-0.0009898338881612289,0.2,3.0113189220428467,1270,52.11801966950297
708.4375,-363.2084645625,6,20,608,12288,-0.8181093150749803,0.0003,0.5014627277851105,0.020361328125,0.0015651477,1.9446627266006545e-05,0.2,47.33758544921875,1280,75.88036680221558
754.4736842105264,-378.84133747368423,7,23,612,14336,-0.8898489924147726,0.0003,0.6553679406642914,0.1265625,0.013552127,-0.00354747227174812,0.2,3.9581713676452637,1290,48.06407433077693
777.8571428571429,-384.7793854761905,8,27,597,16384,-0.8720400542020798,0.0003,0.5708096623420715,0.058935546875,0.011255002,-0.0011397067373764003,0.2,9.898381233215332,1300,61.08128339424729
735.5416666666666,-367.99965208333333,9,30,607,18432,-0.8984827538952231,0.0003,0.7446918189525604,0.097314453125,0.009060682,-0.0032843866894836536,0.2,2.234520196914673,1310,47.70589641034603
756.2222222222222,-366.346000962963,10,34,601,20480,-0.8483645351603627,0.0003,0.5180436968803406,0.091015625,0.009255158,-0.0033105782480561175,0.2,263.8725280761719,1320,157.52276492118835
773.0344827586207,-368.2017912413793,11,37,605,22528,-0.8614008568227292,0.0003,0.58371302485466,0.072607421875,0.009289969,-0.0020644704971346075,0.2,7.15339994430542,1330,100.63984362483025
718.060606060606,-355.3037216060606,12,39,623,24576,-0.9119949335232377,0.0003,0.7408786714076996,0.156298828125,0.009487964,-0.004153606904583285,0.2,7.371069431304932,1340,48.32387646734715
720.3333333333334,-351.1616553888889,13,42,619,26624,-0.8093640960752964,0.0003,0.4334881901741028,0.022119140625,0.0054865796,-0.003114448583801277,0.2,31.335708618164062,1350,218.66718398332597
735.0526315789474,-351.47820892105267,14,46,622,28672,-0.8544726071879267,0.0003,0.639075756072998,0.0984375,0.009475544,-0.003887680721891229,0.2,8.04894733428955,1360,82.84915816113353
712.0697674418604,-342.88581879069767,15,48,631,30720,-0.8899994058534503,0.0003,0.49726688861846924,0.16298828125,0.0116784545,-0.0019784637152042706,0.2,2.679013729095459,1370,50.77733635492623
724.8666666666667,-342.1927838222222,16,51,631,32768,-0.7615545779466629,0.0003,0.3617667555809021,0.01875,0.0025797593,-0.0023335519734246192,0.2,48.539215087890625,1380,228.8467226743698
714.3541666666666,-330.9968640625,17,54,634,34816,-0.7425310349091887,0.0003,0.6530404686927795,0.071826171875,0.004596797,-0.0012563012445752975,0.2,2.3794631958007812,1390,37.84066277481615
707.1923076923077,-323.60604019230766,18,57,638,36864,-0.5570852608419955,0.0003,0.5424520671367645,0.018505859375,0.0028520362,-0.0012836325930038583,0.2,32.2847900390625,1400,145.98797131180763
698.5818181818182,-320.2777258727272,19,60,646,38912,-0.8233156424015761,0.0003,0.48266804218292236,0.0369140625,0.0064161653,-0.0017899953614687546,0.2,2.123042583465576,1410,134.20242566764355
692.728813559322,-310.7708241355932,20,63,649,40960,-0.890272000990808,0.0003,0.534022331237793,0.039013671875,0.003344943,-0.0003328276201500557,0.2,4.079292297363281,1420,124.21667308658361
690.7868852459017,-306.3678496393443,21,65,654,43008,-0.6171061475761235,0.0003,0.5604379177093506,0.038525390625,0.004298563,-0.0013878060519346036,0.2,67.56840515136719,1430,170.13097899854182
681.1363636363636,-297.92452854545456,22,68,660,45056,-0.8772048911079764,0.0003,0.36686384677886963,0.07021484375,0.00722304,-0.0018448610622726846,0.2,12.965736389160156,1440,88.66596996858716
