rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/approx_kl,train/clip_range,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/loss
-10.950603610000003,165888,360,460,537.87,81,0.007818453,0.2,0.0003,-0.7940036445856095,800,0.6255464255809784,0.043212890625,92.70974715948105,-0.0046444246960163586,182.92662048339844
-11.06802455,167936,362,463,546.66,82,0.004844611,0.2,0.0003,-0.8785339979454875,810,0.8291990607976913,0.040185546875,42.340316724777225,-0.0027903524474822915,15.529767036437988
-13.380184169999998,169984,366,464,548.72,83,0.005562015,0.2,0.0003,-0.8855508085340261,820,0.7180124223232269,0.064306640625,134.86315654814243,-0.002954978667548858,17.466630935668945
-17.60538461,172032,369,465,548.09,84,0.0038293882,0.2,0.0003,-0.8634387787431479,830,0.6511101126670837,0.023095703125,116.1019911006093,-0.0015706575282820267,10.536361694335938
-20.38889583,174080,372,467,551.13,85,0.0057146125,0.2,0.0003,-0.9134669004008173,840,0.8149974346160889,0.053466796875,57.24478220045567,-0.00419067787588574,7.8196024894714355
-18.455534710000006,176128,375,468,554.85,86,0.004190687,0.2,0.0003,-0.7546209728345274,850,0.8175532221794128,0.050390625,108.85688316822052,-0.003696425346424803,16.454809188842773
-16.95299202,178176,378,470,563.17,87,0.005150863,0.2,0.0003,-0.8528315654024482,860,0.7874501943588257,0.05556640625,105.67954222261906,-0.002792287490592571,21.658079147338867
-16.15199038,180224,382,471,571.65,88,0.0030627388,0.2,0.0003,-0.8914399810135365,870,0.7788055539131165,0.024951171875,110.07085867226124,-0.00021257549669826404,31.96711540222168
-18.89171176,182272,386,471,575.65,89,0.004605484,0.2,0.0003,-0.8196054868400097,880,0.8402813225984573,0.04951171875,87.67647985070944,-0.003148828003759263,34.010494232177734
-21.047598000000004,184320,390,471,588.65,90,0.0059664324,0.2,0.0003,-0.8441615909337997,890,0.9208610653877258,0.06201171875,36.87482825368643,-0.0028295878866629208,1.8896691799163818
-18.8998073,186368,393,473,595.6,91,0.0054639624,0.2,0.0003,-0.8438223069533706,900,0.6564538478851318,0.058984375,80.90515060424805,-0.004865683243406238,25.261266708374023
-18.448624620000004,188416,397,474,607.26,92,0.005440321,0.2,0.0003,-0.8971018221229314,910,0.6608104705810547,0.061328125,54.4476739346981,-0.001471382731688209,2.8779397010803223
-15.28570252,190464,400,475,619.46,93,0.013009825,0.2,0.0003,-0.8082153834402561,920,0.6795953512191772,0.0919921875,102.98814366906882,-0.004119581943086814,34.83821105957031
-14.293270210000001,192512,403,477,624.51,94,0.0051966407,0.2,0.0003,-0.809516573138535,930,0.5689934492111206,0.04130859375,97.76855412721633,-0.002676504454939277,48.3945426940918
-14.956750529999999,194560,407,477,635.41,95,0.004829013,0.2,0.0003,-0.8208238346502185,940,0.7680575847625732,0.03349609375,112.65794787406921,-0.0028222717795870268,26.282466888427734
-14.053750059999997,196608,410,479,639.29,96,0.00474979,0.2,0.0003,-0.8405761133879424,950,0.5841182768344879,0.029443359375,72.25123712271451,-0.004511483715032227,9.046585083007812
-14.194049739999995,198656,413,480,650.37,97,0.00681688,0.2,0.0003,-0.9078126568347216,960,0.6573921144008636,0.076220703125,90.15415143817663,-0.0034970019110915017,19.7117919921875
