rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate
536.55,189,157696,77,833,5.9701479499999985,0.0051225917,0.2,267.5474548339844,94.43043431043625,0.63658806681633,760,-0.7340955052524805,0.025146484375,-0.004303159988194238,0.0003
531.34,191,159744,78,833,8.046382100000002,0.0029640086,0.2,9.264986991882324,191.3221061974764,0.5299161672592163,770,-0.758470413647592,0.0443359375,-0.003204974661275628,0.0003
535.22,194,161792,79,833,13.02238945,0.0036993101,0.2,7.172995567321777,85.30438344478607,0.690211683511734,780,-0.7820463221520185,0.026708984375,-0.0017575887040948146,0.0003
534.4,196,163840,80,833,11.726644929999999,0.005725079,0.2,31.966501235961914,115.31751980185508,0.6566360890865326,790,-0.8195706496015192,0.045556640625,-0.00522585720391362,0.0003
523.35,198,165888,81,834,14.14994632,0.0034341346,0.2,17.6295223236084,184.42219308018684,0.523941159248352,800,-0.6859528021886945,0.028564453125,-0.0031624175935576204,0.0003
520.71,200,167936,82,836,11.940047739999995,0.0072960323,0.2,66.61539459228516,158.11506976485254,0.5968136787414551,810,-0.7600975595414639,0.073828125,-0.003399935116613051,0.0003
519.97,203,169984,83,836,13.368182259999996,0.009074233,0.2,33.99694061279297,217.1997865021229,0.5710973143577576,820,-0.7697713712230325,0.059033203125,-0.005295814402052202,0.0003
529.98,205,172032,84,836,21.310627339999996,0.0023001768,0.2,48.81993865966797,208.98393966555597,0.4498674273490906,830,-0.7149039322510362,0.01865234375,-0.0035658650442201177,0.0003
524.88,207,174080,85,837,20.389466650000003,0.005635238,0.2,74.11983489990234,204.1553973555565,0.4596714973449707,840,-0.700316428206861,0.03623046875,-0.0017704490768664983,0.0003
522.07,210,176128,86,838,24.370936800000003,0.0034098048,0.2,47.22736358642578,157.67757612168788,0.5182691216468811,850,-0.7355322200804949,0.038232421875,-0.004797524226160021,0.0003
524.34,212,178176,87,838,30.213502829999996,0.010394444,0.2,17.49737548828125,108.87404277026653,0.809746190905571,860,-0.8169256752356887,0.1189453125,-0.003443806627910817,0.0003
529.68,215,180224,88,838,30.24651198,0.0036187991,0.2,61.66072463989258,151.30158792138099,0.537466824054718,870,-0.7256115552037954,0.033056640625,-0.0029554803695646115,0.0003
531.9,217,182272,89,839,33.712481479999994,0.0050083427,0.2,83.58003997802734,196.09806261062622,0.6602010428905487,880,-0.6779266981408,0.03828125,-0.00494709766790038,0.0003
521.63,219,184320,90,840,34.10338659999999,0.006357151,0.2,27.632532119750977,182.76844089329242,0.5347021818161011,890,-0.7608323287218809,0.070068359375,-0.003987140345270745,0.0003
522.16,221,186368,91,841,36.753026309999996,0.006453004,0.2,39.49763870239258,300.9106437385082,0.4379028081893921,900,-0.762113487534225,0.0322265625,-0.0027076419748482293,0.0003
511.39,223,188416,92,842,39.46367636,0.005016936,0.2,38.439998626708984,176.81885160505772,0.7158241868019104,910,-0.7989749545231462,0.054345703125,-0.003880750721145887,0.0003
509.1,226,190464,93,841,43.91394843999999,0.0052181967,0.2,225.30125427246094,153.30258269011975,0.6682704389095306,920,-0.724317797087133,0.05439453125,-0.0034395363640214783,0.0003
