time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/loss
87,178176,267,665,870.51,25.929173960000004,0.084228515625,0.0003,-0.002568642182268377,860,-0.8109872229397297,88.07877492457628,0.4670155644416809,0.2,0.008893702,22.085451126098633
88,180224,270,665,858.15,26.63087454,0.069091796875,0.0003,-0.0004253711871569976,870,-0.8789862463250756,166.5086421519518,0.32415783405303955,0.2,0.004407568,15.56527042388916
89,182272,273,666,847.13,26.137798009999997,0.0568359375,0.0003,-0.0050378015323076395,880,-0.7422571239992977,131.47939536869526,0.6479178965091705,0.2,0.0051188804,135.96249389648438
90,184320,277,664,839.65,25.96265851,0.083251953125,0.0003,-0.0031602304570697015,890,-0.8810132447630167,174.004325568676,0.18595510721206665,0.2,0.009550852,474.7572937011719
91,186368,280,664,826.86,28.19944664,0.063720703125,0.0003,-0.0016950236196862534,900,-0.7813031798228621,132.76631323546172,0.4365515112876892,0.2,0.006028315,59.11526107788086
92,188416,282,665,816.31,29.88675333,0.064013671875,0.0003,-0.002347121098136995,910,-0.8888172036036849,148.72619497328998,0.5019041299819946,0.2,0.003475748,54.09090805053711
93,190464,285,666,800.9,29.702847040000005,0.025732421875,0.0003,-0.0014168083951517473,920,-0.859348364546895,153.49099964648485,0.5020163357257843,0.2,0.0039579077,103.28933715820312
94,192512,288,667,782.44,31.260873669999995,0.04912109375,0.0003,-0.0028588508117536548,930,-0.856029543839395,147.8896418735385,0.4796912670135498,0.2,0.00524263,85.29739379882812
95,194560,290,669,761.63,30.11147779,0.02802734375,0.0003,-0.003120080382359447,940,-0.8015697976574302,150.90774345993995,0.48872166872024536,0.2,0.0036799656,15.122091293334961
96,196608,293,670,737.38,31.047955250000005,0.04033203125,0.0003,-0.0012236969843797852,950,-0.8033582730218768,197.52526382505894,0.5201068222522736,0.2,0.0031207306,476.4898376464844
97,198656,295,671,729.89,32.68134387,0.05703125,0.0003,-0.003028055308823241,960,-0.8134341696277261,180.16250681579112,0.5688377916812897,0.2,0.0024210154,388.8846130371094
