rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/explained_variance
32.02902873,315,618.91,235520,115,746,45.93166732788086,1140,-0.8465466493740678,138.86417163908482,0.009008884,0.2,0.048095703125,-0.0023469541694794314,0.0003,0.6096247136592865
34.083407969999996,319,631.81,237568,116,744,2.8308682441711426,1150,-0.8064335085451603,32.22910242527723,0.010140526,0.2,0.12060546875,-0.003918710457946872,0.0003,0.7700363248586655
30.62441857,321,627.2,239616,117,745,3.1216790676116943,1160,-0.8749303506687284,51.743268203735354,0.0070101703,0.2,0.06396484375,-0.0014771132347959793,0.0003,0.8498444259166718
24.775063250000002,323,619.19,241664,118,746,110.1104736328125,1170,-0.7663434552028775,146.68365744501352,0.0056397594,0.2,0.037158203125,-0.0011290352027572225,0.0003,0.7230579853057861
22.65649591,326,626.79,243712,119,745,62.473392486572266,1180,-0.7730023624375463,235.46138982772828,0.00545848,0.2,0.05,-0.005282788365002488,0.0003,0.7516246438026428
18.70745989,329,624.1,245760,120,745,95.14747619628906,1190,-0.8073982471600175,93.48187152445317,0.015345067,0.2,0.11787109375,-0.0019797745044343174,0.0003,0.6758564710617065
18.275066239999997,332,624.68,247808,121,744,66.59790802001953,1200,-0.7451801700517535,199.31133010685443,0.0045614657,0.2,0.03212890625,-0.0016839221221744082,0.0003,0.4552372694015503
15.810684420000003,335,623.75,249856,122,744,5.21293306350708,1210,-0.7502455981448293,92.22050532996654,0.0046094926,0.2,0.05234375,-0.0014882327835948673,0.0003,0.7437832951545715
16.33172627,338,621.96,251904,123,743,28.842138290405273,1220,-0.6721368178725242,247.69010059833528,0.0019386557,0.2,0.027197265625,-0.002148106620370527,0.0003,0.6094505190849304
-205.46,2,588.3333333333334,2048,1,892,24.79326820373535,1230,-0.8279955357313156,126.2495639950037,0.006615746,0.2,0.073681640625,-0.0012681065418291837,0.0003,0.6611055135726929
-80.49374999999999,4,495.125,4096,2,925,61.7674560546875,1240,-0.8312570316717028,114.75698011890054,0.004618009,0.2,0.05517578125,-0.0010903038404649124,0.0003,0.6641086637973785
-99.58416666666666,7,502.25,6144,3,859,98.1093521118164,1250,-0.6884343571960926,106.67429531514645,0.005538723,0.2,0.10263671875,-0.0028492645142250694,0.0003,0.5824562013149261
