rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_range,train/entropy_loss
722.23,-16.59542077,381,627,239616,117,0.7757812142372131,-0.001939678774215281,21.37429259046912,0.100830078125,1.7776570320129395,0.008991092,0.0003,1160,0.2,-0.890340674854815
723.38,-15.306094040000003,385,627,241664,118,0.48751765489578247,-0.00092899166920688,72.64617058485746,0.027099609375,57.605838775634766,0.003806064,0.0003,1170,0.2,-0.7598188063129783
728.79,-17.676935340000007,389,625,243712,119,0.5884971916675568,-0.0016025931763579138,49.20285476073623,0.0412109375,2.732483148574829,0.005857719,0.0003,1180,0.2,-0.7527230326086283
731.59,-18.340033170000005,392,625,245760,120,0.3926091194152832,-0.0013922762154834345,37.671826446801425,0.05546875,1.0197831392288208,0.006014614,0.0003,1190,0.2,-0.8318791784346103
735.51,-17.294697539999998,396,625,247808,121,0.5461256802082062,-0.003009607693820726,42.491815720498565,0.07705078125,2.148197889328003,0.0062790355,0.0003,1200,0.2,-0.7978907596319914
739.8,-16.885869169999996,400,624,249856,122,0.707904040813446,0.0004018318126327358,24.419266391545534,0.0765625,2.148897171020508,0.0040663746,0.0003,1210,0.2,-0.8560274204239249
743.3,-16.698024089999993,403,623,251904,123,0.7897751927375793,-0.0012521801283583045,23.435158354789017,0.05966796875,188.2369384765625,0.0045847483,0.0003,1220,0.2,-0.8518245622515679
833.5,-569.675,3,656,2048,1,0.780950129032135,-0.002277698740363121,25.65841979123652,0.082275390625,1.5914267301559448,0.009718492,0.0003,1230,0.2,-0.8229151956737042
761.8,-605.75,8,504,4096,2,0.6333703696727753,-0.0009766602248419075,79.63473782390356,0.029443359375,10.865471839904785,0.0059872977,0.0003,1240,0.2,-0.7006717031821609
824.0,-613.8857142857142,11,553,6144,3,0.62015500664711,-0.0018009322015132057,106.63667879402638,0.03759765625,2.9682743549346924,0.0071136667,0.0003,1250,0.2,-0.7943632131442427
