time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss
732,93,809.31,260,30.24546943,190464,0.0003,0.2,0.28532010316848755,41.03872299194336,0.115966796875,97.31771012246608,0.0059166215,-0.0035630527476314456,920,-0.7528393672779202
733,94,804.14,262,30.95920157,192512,0.0003,0.2,0.3831292986869812,27.967605590820312,0.0349609375,148.28062718212604,0.0067428574,-0.0021605236204777613,930,-0.7203227235004306
734,95,796.78,264,37.06972172,194560,0.0003,0.2,0.4792889356613159,91.83438110351562,0.048193359375,149.2303872793913,0.0049708,-0.0018329907710722183,940,-0.6975559066981077
733,96,791.91,268,41.58665571,196608,0.0003,0.2,0.5167491734027863,51.69168472290039,0.04208984375,95.82401952445507,0.003928817,-0.0015569389121083076,950,-0.7726123722270131
732,97,784.02,271,40.789469749999995,198656,0.0003,0.2,0.6636607944965363,14.675932884216309,0.0630859375,82.99403823018073,0.009261632,-0.000592027703896747,960,-0.8183561239391566
733,98,774.4,273,43.041574059999995,200704,0.0003,0.2,0.3689914345741272,81.73360443115234,0.03173828125,200.98518371731043,0.00305019,-0.0006383164814906195,970,-0.8046211428940296
732,99,766.2,276,43.83151779,202752,0.0003,0.2,0.7225379049777985,23.421173095703125,0.074267578125,109.788846822083,0.0067006387,-0.0022041772939701333,980,-0.7606398850679398
732,100,761.99,279,40.73271107,204800,0.0003,0.2,0.7381181120872498,5.513901710510254,0.0396484375,108.51229970753192,0.0068463543,-0.0006132527112640673,990,-0.7469192875549198
732,101,755.66,282,43.36195165,206848,0.0003,0.2,0.5281334519386292,30.934951782226562,0.056201171875,105.09988489374518,0.0057470007,-0.0008824772477964871,1000,-0.8010137623175979
732,102,753.17,285,47.22476248,208896,0.0003,0.2,0.7754136323928833,17.936744689941406,0.079638671875,88.63358205705882,0.0069288993,-0.002799235944621614,1010,-0.7860977021977306
732,103,749.32,288,49.525971940000005,210944,0.0003,0.2,0.6923146843910217,19.559663772583008,0.064111328125,79.95359207242727,0.0079025775,-0.0013975510177260731,1020,-0.7380895122885704
731,104,744.15,291,48.89567540999999,212992,0.0003,0.2,0.5295432806015015,9.119633674621582,0.038232421875,111.20785828232765,0.006819039,-0.002339932307950221,1030,-0.7122334754094481
731,105,745.14,293,54.130785499999995,215040,0.0003,0.2,0.506089448928833,9.9746675491333,0.060888671875,129.31699488162994,0.004560201,-0.00207923026100616,1040,-0.8233029432594776
732,106,735.73,296,53.74208833000001,217088,0.0003,0.2,0.654658168554306,8.921107292175293,0.0625,76.68524581193924,0.0047378726,-0.0016526396637345897,1050,-0.7249346822500229
732,107,726.13,299,53.02416216999998,219136,0.0003,0.2,0.6144179403781891,36.87236404418945,0.03505859375,177.30932962149382,0.005590316,-0.002461253013461828,1060,-0.7782783634960652
730,108,725.37,302,51.91727028999999,221184,0.0003,0.2,0.7716332077980042,7.63583517074585,0.024951171875,113.12891563624143,0.0031105476,-0.0022097843255323825,1070,-0.7482194051146507
731,109,719.18,305,50.940782709999986,223232,0.0003,0.2,0.6890540421009064,61.7093505859375,0.09482421875,142.28979811370374,0.0066126166,-0.003220060311286943,1080,-0.6993760237470269
731,110,710.57,308,51.31075844000001,225280,0.0003,0.2,0.6009463965892792,10.982404708862305,0.067578125,199.1582290634513,0.0070145284,-0.007820439201896078,1090,-0.7821776205673814
731,111,706.24,310,48.45216901,227328,0.0003,0.2,0.4838944673538208,35.08776092529297,0.1216796875,129.56445222795008,0.011326749,-0.0036577832004695667,1100,-0.676315489038825
730,112,700.23,313,48.10124776,229376,0.0003,0.2,0.1481601595878601,31.4943790435791,0.053564453125,132.45953324735166,0.0062516946,-0.0025385995613760315,1110,-0.7728400124236942
