time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range
86,690,255,176128,898.87,0.09141010000000113,-0.009655530214877217,9.777948379516602,0.128955078125,0.01742721,0.0003,0.628473162651062,850,-0.8055521436035633,138.4626095034182,0.2
87,691,257,178176,886.48,-1.5215965400000002,-0.0019154548481310485,48.3914909362793,0.0322265625,0.003975154,0.0003,0.7682788372039795,860,-0.6874851401895284,65.52464713454246,0.2
88,690,260,180224,878.32,0.0988675999999998,-0.0023862296402512584,107.79310607910156,0.008056640625,0.0019836633,0.0003,0.6439829766750336,870,-0.7674981985241175,213.3501998126507,0.2
89,688,264,182272,873.89,4.16067797,-0.0016583001262915787,4.907644271850586,0.062060546875,0.004251047,0.0003,0.6684792935848236,880,-0.7487566508352757,91.96945926398038,0.2
90,688,267,184320,856.36,10.2341272,-0.004327193320204969,10.992477416992188,0.0546875,0.012374414,0.0003,0.6792979538440704,890,-0.7293393839150667,120.51362671852112,0.2
91,689,270,186368,850.91,10.58347367,-0.00615264239240787,28.57486343383789,0.088671875,0.009046411,0.0003,0.5681931376457214,900,-0.799879214912653,157.90049482583998,0.2
92,691,272,188416,849.01,11.79283062,-0.006981397235358599,25.62727165222168,0.0810546875,0.014168356,0.0003,0.7017630934715271,910,-0.6618067272007465,44.38749299198389,0.2
93,693,274,190464,843.27,14.248236900000002,-0.001627740354888374,169.5236358642578,0.025830078125,0.0038167543,0.0003,0.6211954355239868,920,-0.7363925827667117,221.57855429947375,0.2
94,693,277,192512,839.62,15.512090720000002,-0.0019496243257890455,88.32064819335938,0.023095703125,0.0037524095,0.0003,0.736434668302536,930,-0.6908150259405375,167.55665183365346,0.2
95,694,280,194560,826.65,14.695845709999999,-0.0014564875968062553,6.621480941772461,0.085009765625,0.005592119,0.0003,0.8161692917346954,940,-0.7648438271135092,89.95807419419289,0.2
96,695,282,196608,824.66,17.4738643,-0.002905776853731368,57.36711883544922,0.057080078125,0.005079207,0.0003,0.8215474635362625,950,-0.7535483092069626,160.85471394509077,0.2
97,697,285,198656,795.64,22.10805262,-0.004340615664841607,25.113473892211914,0.079931640625,0.005459895,0.0003,0.531025618314743,960,-0.5970187625847757,127.36935030072928,0.2
98,698,287,200704,773.61,25.13663291,-0.001962983753037406,355.26947021484375,0.03251953125,0.0050837817,0.0003,0.5749900043010712,970,-0.7568213554099202,138.09362363219262,0.2
99,699,290,202752,755.09,26.964852899999997,-0.0015675870912673418,73.02539825439453,0.024609375,0.0030562687,0.0003,0.6603110730648041,980,-0.6397411179728806,235.01320280432702,0.2
100,698,293,204800,743.7,29.065445710000002,-0.0014513696114590857,128.48951721191406,0.1060546875,0.0065621696,0.0003,0.47676414251327515,990,-0.6800420327112079,146.64191059172154,0.2
101,698,295,206848,730.55,31.758513790000006,-0.0017157151924038772,6.904375076293945,0.048046875,0.0041872123,0.0003,0.8389468193054199,1000,-0.6770714405924082,113.06355705857277,0.2
102,698,299,208896,731.7,34.3072511,-0.00245915803607204,14.301197052001953,0.070947265625,0.0050716414,0.0003,0.8135256320238113,1010,-0.7818587636575103,91.88809950947761,0.2
103,700,301,210944,706.1,33.71669795,-0.0003842276222712826,6.904293537139893,0.077392578125,0.004020592,0.0003,0.5966359078884125,1020,-0.6666856421157717,72.17181449122727,0.2
104,699,304,212992,694.17,36.06141964,-0.0024932539603469196,38.752601623535156,0.01572265625,0.0032211829,0.0003,0.5022563636302948,1030,-0.6907716650515795,284.7249769210815,0.2
105,700,306,215040,678.62,37.97880977,-0.002421382122702198,8.575395584106445,0.0505859375,0.0038710246,0.0003,0.7487459480762482,1040,-0.6877993950620294,71.09462818056345,0.2
106,701,309,217088,669.65,36.90396108,-0.0032339140729163774,24.58464241027832,0.08701171875,0.0034850999,0.0003,0.6687420606613159,1050,-0.6929692858830094,95.11329261213541,0.2
107,702,312,219136,648.55,39.56593097000001,-0.001692186602303991,7.898436069488525,0.019775390625,0.0031125548,0.0003,0.6994172036647797,1060,-0.6382660333067178,125.84552160352469,0.2
108,703,314,221184,623.53,43.49414143,-0.0036556262937665453,83.63284301757812,0.083447265625,0.0066056573,0.0003,0.7722976356744766,1070,-0.7436468441039323,145.8501122325659,0.2
109,703,317,223232,605.66,47.30094535,-0.0030251350843172988,47.842037200927734,0.037109375,0.002877051,0.0003,0.5928539037704468,1080,-0.6617753606289625,202.21352388858796,0.2
110,704,319,225280,589.8,48.815955290000005,-0.0057723182209883815,293.539306640625,0.06142578125,0.011030387,0.0003,0.703988254070282,1090,-0.7800547884777188,159.78877885639668,0.2
111,705,322,227328,559.78,49.67750627000001,-0.0032216921099461615,51.38854217529297,0.059521484375,0.0054814275,0.0003,0.7622911781072617,1100,-0.6250795046798885,152.15964957773684,0.2
112,707,324,229376,551.36,45.32529986,-0.0018157840633648448,18.19613265991211,0.041552734375,0.0054545356,0.0003,0.7313413619995117,1110,-0.724706401862204,198.26121427416803,0.2
113,708,326,231424,537.69,48.155223459999995,-0.0006924804889422376,71.3286361694336,0.046044921875,0.0047090845,0.0003,0.762623980641365,1120,-0.7408436885103583,164.38427606225014,0.2
114,709,328,233472,532.78,51.745404310000005,-0.002838311662344495,81.10950469970703,0.050732421875,0.005727928,0.0003,0.753127321600914,1130,-0.6395600372925401,163.6428186774254,0.2
115,710,331,235520,529.23,48.828237879999996,-0.0022663409894448706,7.071228504180908,0.08046875,0.0050005666,0.0003,0.5436123013496399,1140,-0.7368337912485003,138.4345856487751,0.2
116,712,333,237568,520.37,50.040963489999996,-0.001489808159385575,28.73124885559082,0.09892578125,0.010142474,0.0003,0.6214940547943115,1150,-0.656554145924747,108.05978116244077,0.2
117,713,335,239616,507.99,50.613755,-0.003432825113850413,17.18303871154785,0.081396484375,0.0038729208,0.0003,0.6187158524990082,1160,-0.6743069617077708,157.30666439980268,0.2
118,714,338,241664,496.63,51.02297819000001,-0.002732612415275071,15.798991203308105,0.03203125,0.0037912927,0.0003,0.6128940880298615,1170,-0.6679552432149649,230.78932478427888,0.2
119,715,340,243712,485.97,53.75719558000001,-0.0033166525223350617,66.59626007080078,0.05361328125,0.004314536,0.0003,0.6528296172618866,1180,-0.622536007873714,151.93905495256186,0.2
120,716,342,245760,476.01,52.517720870000005,-0.0017326672961644363,14.861276626586914,0.053173828125,0.0037713472,0.0003,0.7549908757209778,1190,-0.7104091871529817,144.05841695964335,0.2
121,717,345,247808,477.3,52.76283888,-0.002230470156791853,66.71702575683594,0.054638671875,0.0069111027,0.0003,0.6439855098724365,1200,-0.6550448156893254,220.27133153378963,0.2
122,718,347,249856,467.56,55.865773139999995,-0.0022936392218980473,4.593074321746826,0.03369140625,0.0035353445,0.0003,0.6828387975692749,1210,-0.6716426311060786,94.81398476660252,0.2
123,720,349,251904,462.59,54.91513046,-0.001429706687486032,56.01865005493164,0.0470703125,0.0061384216,0.0003,0.7384588718414307,1220,-0.6221522583626211,196.94991874545812,0.2
1,1074,1,2048,494.25,-68.03999999999999,-0.000760000792433857,55.190216064453125,0.049609375,0.0044480367,0.0003,0.7366175055503845,1230,-0.6689958054572344,202.27426300048828,0.2
2,926,4,4096,448.55555555555554,-6.027777777777776,-0.0030217051462386735,63.07440185546875,0.059765625,0.006728092,0.0003,0.6783210635185242,1240,-0.6364271592348814,128.35960622280837,0.2
3,890,6,6144,435.0,-4.389285714285713,-0.0013723355034017005,61.84230422973633,0.056005859375,0.0074296705,0.0003,0.6339475214481354,1250,-0.6421843996271491,92.08965559601783,0.2
4,880,9,8192,414.89473684210526,7.874736842105267,-0.0015042165767226833,7.132699489593506,0.0732421875,0.0057464847,0.0003,0.7117339074611664,1260,-0.6518834132701159,68.42632596641779,0.2
5,848,12,10240,432.9130434782609,8.42913043478261,-0.0020169651717878876,4.521450519561768,0.057421875,0.00515005,0.0003,0.7827915251255035,1270,-0.7007213544100523,33.74591890275478,0.2
6,850,14,12288,417.2068965517241,16.192068965517244,-0.0005119738889334258,8.759997367858887,0.110009765625,0.0054489304,0.0003,0.8735829442739487,1280,-0.6874501738697291,19.982454849407077,0.2
7,856,16,14336,406.0571428571429,15.21914285714286,-0.0037306289741536602,8.159567832946777,0.055126953125,0.007457773,0.0003,0.9560702294111252,1290,-0.6364878492429853,17.114152770489454,0.2
8,860,19,16384,391.7317073170732,5.601707317073171,-0.0002901241805375321,5.454014301300049,0.056787109375,0.005402685,0.0003,0.8857846781611443,1300,-0.6703851064667106,56.55548391491175,0.2
9,860,21,18432,391.0,11.023829787234042,-0.0011481890309369192,9.651834487915039,0.04736328125,0.0065366337,0.0003,0.8467229455709457,1310,-0.6872403195127845,94.50117259025573,0.2
10,848,24,20480,400.94117647058823,11.230392156862745,-0.0011230178992263974,14.41137981414795,0.024267578125,0.002147784,0.0003,0.9306530877947807,1320,-0.5621745307929814,31.145848122239112,0.2
11,859,26,22528,396.14285714285717,14.37125,-0.0007144087954657153,1.896370768547058,0.084326171875,0.006918622,0.0003,0.9512878507375717,1330,-0.649254578538239,13.442223218455911,0.2
12,870,28,24576,391.0967741935484,14.475806451612904,-0.0007852875700336881,5.905276298522949,0.027880859375,0.0041599087,0.0003,0.9482916705310345,1340,-0.6088575826026499,24.853885361552237,0.2
13,878,30,26624,387.36764705882354,14.341323529411763,-0.0013748398399911822,4.252166748046875,0.04267578125,0.0028327366,0.0003,0.908160574734211,1350,-0.6573057095520198,50.868283634632824,0.2
14,873,32,28672,389.3972602739726,16.418082191780822,-0.00254421361569257,53.36180114746094,0.0654296875,0.003924517,0.0003,0.8286985605955124,1360,-0.6788075618445873,94.20974281430244,0.2
15,875,35,30720,386.873417721519,16.044303797468356,-0.004040596238337457,14.712491035461426,0.087939453125,0.010779567,0.0003,0.8659479171037674,1370,-0.6506123427301646,71.19407845884561,0.2
16,884,37,32768,383.6,15.907529411764708,-0.003659207368764328,9.705427169799805,0.070263671875,0.005332293,0.0003,0.9641160443425179,1380,-0.6552757116034627,25.178603178262712,0.2
17,888,39,34816,378.29347826086956,16.59130434782609,-0.002967225124302786,19.404396057128906,0.0630859375,0.00661145,0.0003,0.9508234262466431,1390,-0.6448206961154938,36.489152412861586,0.2
18,889,41,36864,375.07142857142856,16.57265306122449,-0.0009794741949008313,41.28820037841797,0.032763671875,0.0055355486,0.0003,0.9224085733294487,1400,-0.6044945132918655,65.24237400889396,0.2
19,891,43,38912,368.49,21.7975,-0.002929872636013897,6.0857110023498535,0.062548828125,0.006114759,0.0003,0.9746301919221878,1410,-0.6353711221367121,21.614627417176962,0.2
20,893,45,40960,361.53,20.326999999999998,-0.004000319557962939,7.709456920623779,0.0919921875,0.007176146,0.0003,0.9661661051213741,1420,-0.6444896189495921,19.598143134266138,0.2
