time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance
932,265,247808,57.34990940000001,393.1,121,0.2,0.0580078125,13.089265823364258,-0.0031739894970087335,1200,0.0003,-0.653087037615478,102.80528561621904,0.0058825854,0.7927674204111099
933,267,249856,61.95597661000001,392.44,122,0.2,0.036767578125,7.817653656005859,-0.001978750157286413,1210,0.0003,-0.7092376258224249,128.69787531644107,0.0038083675,0.8235937207937241
933,269,251904,59.339890960000005,378.93,123,0.2,0.048681640625,6.20680046081543,-0.0031627789176127408,1220,0.0003,-0.7017967466264963,160.51870238780975,0.0059197913,0.7231325805187225
1215,1,2048,-150.0875,333.5,1,0.2,0.04306640625,45.17498779296875,-0.0028636747003474737,1230,0.0003,-0.7512004343792796,193.50515259504317,0.003395658,0.7634297758340836
1068,3,4096,-172.73000000000002,388.2,2,0.2,0.166748046875,8.205629348754883,-0.003220203670207411,1240,0.0003,-0.7366020599380135,52.02456838786602,0.018422646,0.5620719194412231
1060,5,6144,-176.41176470588235,351.8235294117647,3,0.2,0.06845703125,34.608551025390625,-0.0016142469678015914,1250,0.0003,-0.7408496713265776,98.18509814739227,0.0066301003,0.6868477463722229
1059,7,8192,-182.0354166666667,330.5416666666667,4,0.2,0.06396484375,56.80799865722656,-0.003580595699895639,1260,0.0003,-0.7247459931299091,146.69632059931754,0.007598336,0.814487636089325
1077,9,10240,-182.94545454545454,310.1818181818182,5,0.2,0.12353515625,22.445823669433594,-0.0052107258146861565,1270,0.0003,-0.7691118225455285,109.16311011612416,0.01189114,0.8695607483386993
1084,11,12288,-171.97750000000002,303.375,6,0.2,0.086669921875,53.70805358886719,-0.0025496465521428037,1280,0.0003,-0.7351108597591519,175.50910513401033,0.009736428,0.854124590754509
1081,13,14336,-159.56354166666665,298.3958333333333,7,0.2,0.05380859375,4.102811336517334,-0.0014645021117758005,1290,0.0003,-0.714555243961513,29.045467722415925,0.005935136,0.971064755693078
1085,15,16384,-152.11759259259256,299.1666666666667,8,0.2,0.04287109375,13.962647438049316,-0.000982044685224537,1300,0.0003,-0.6481527185067535,33.12862974405289,0.005371345,0.9739721231162548
1086,16,18432,-149.3016393442623,297.91803278688525,9,0.2,0.092431640625,11.646594047546387,-0.004764858626731439,1310,0.0003,-0.6519076364114881,40.15526638031006,0.008322067,0.9699067492038012
1091,18,20480,-144.87391304347827,295.6376811594203,10,0.2,0.052587890625,54.502235412597656,-0.002347312864367268,1320,0.0003,-0.6682189963757992,137.54819805324078,0.006019194,0.9165541902184486
