time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance
750,810.18,129024,63,171,-27.316095089999997,0.2,27.326034545898438,0.0032809281,0.0003,620,142.25179246217013,-0.8778495831415057,0.011572265625,-0.0009886969724902882,0.6930698156356812
743,822.73,131072,64,176,-22.381127019999997,0.2,8.884490966796875,0.01092658,0.0003,630,73.39575417116285,-0.8721514035016298,0.089990234375,-0.002867824296845356,0.7238215804100037
740,837.73,133120,65,179,-19.000737129999997,0.2,2.247943878173828,0.008244736,0.0003,640,46.715807707980275,-0.9378888221457601,0.096044921875,-0.0010439560377562885,0.6809544861316681
740,837.27,135168,66,182,-21.111094279999996,0.2,1.2972053289413452,0.007202783,0.0003,650,46.96952127031982,-0.9666540801525116,0.103515625,-0.002984650287544355,0.7620129436254501
740,842.71,137216,67,185,-21.001196579999995,0.2,126.29191589355469,0.003772003,0.0003,660,183.2441384524107,-0.8121073385700583,0.035888671875,-0.0025768050480110107,0.5929723680019379
741,851.63,139264,68,187,-18.871268769999993,0.2,379.91314697265625,0.0070772124,0.0003,670,78.1944423969835,-0.904763320274651,0.0638671875,-0.0028554049284139184,0.7207328677177429
736,857.48,141312,69,191,-16.395332129999996,0.2,11.049334526062012,0.006829725,0.0003,680,80.64826177805662,-0.8426029806956649,0.034326171875,-0.0027938259510847272,0.7854664325714111
736,861.01,143360,70,194,-16.98393266,0.2,37.836177825927734,0.00803036,0.0003,690,92.98032780215144,-0.9051395799964667,0.14765625,-0.004208710111561232,0.6017392575740814
734,862.72,145408,71,197,-14.24650187,0.2,16.624088287353516,0.0072464086,0.0003,700,88.73474998809397,-0.8971939783543348,0.06953125,-0.0011851874907733873,0.7440881133079529
729,862.72,147456,72,202,-13.407179269999997,0.2,67.65940856933594,0.005653047,0.0003,710,106.8643736332655,-0.7916203686967492,0.03232421875,-0.0010813244287419365,0.5272131860256195
727,862.72,149504,73,205,-14.016979959999999,0.2,1.2041434049606323,0.0070698354,0.0003,720,33.45291204825044,-0.8828881705179811,0.0904296875,-0.002953600797627587,0.6786137521266937
725,878.81,151552,74,208,-8.322986929999997,0.2,2.6619834899902344,0.009279093,0.0003,730,44.999965213984254,-0.9287635698914528,0.15009765625,-0.006476565251068678,0.8083115071058273
724,876.21,153600,75,212,-8.2199455,0.2,1.6262338161468506,0.0068628876,0.0003,740,61.127341736108065,-0.8717714758589864,0.060107421875,-0.0029416936362395064,0.6803492307662964
724,876.34,155648,76,214,-9.1546555,0.2,6.4257636070251465,0.0052112937,0.0003,750,37.935872489959,-0.9028006894513965,0.0443359375,-0.002537706618750235,0.7364217638969421
721,883.42,157696,77,218,-7.909002389999999,0.2,36.88420486450195,0.004441871,0.0003,760,107.41741867959499,-0.7986791927367449,0.04208984375,-0.0013191310907131992,0.6396329998970032
715,883.42,159744,78,223,-7.3052872,0.2,15.9678316116333,0.0044534807,0.0003,770,69.6886279039085,-0.9362992625683546,0.0353515625,-0.00241515397283365,0.6540266573429108
714,885.06,161792,79,226,-8.61824598,0.2,1.5011534690856934,0.01479223,0.0003,780,36.28022054098547,-0.8827995045110584,0.12568359375,-0.0015975754249666352,0.8006972372531891
713,879.46,163840,80,229,-9.38635175,0.2,1.4575800895690918,0.009589937,0.0003,790,41.28906580917537,-0.8908731326460838,0.0978515625,-0.0009600081990356557,0.8264266699552536
709,878.68,165888,81,233,-8.274588769999998,0.2,45.84259796142578,0.0046377014,0.0003,800,148.55153464078904,-0.886149793677032,0.011865234375,-0.00015292838543246035,0.6214519143104553
706,878.68,167936,82,237,-9.72069395,0.2,75.41912078857422,0.005522416,0.0003,810,65.19261685311794,-0.887958406098187,0.074951171875,-0.0008132287999615073,0.79036945104599
705,880.65,169984,83,240,-7.667232830000001,0.2,2.8118979930877686,0.0053938646,0.0003,820,33.95184037126601,-0.9098453227430582,0.108447265625,-0.0006614619265747024,0.8218166381120682
704,876.57,172032,84,244,-9.239833220000001,0.2,23.806364059448242,0.008765319,0.0003,830,133.7387826502323,-0.8346992706879973,0.085791015625,-0.002298531945416471,0.7245319485664368
698,872.01,174080,85,249,-10.367922140000001,0.2,155.53468322753906,0.008410467,0.0003,840,113.84703104868531,-0.9117229714989662,0.0552734375,-0.002594221567778732,0.5475344657897949
696,870.43,176128,86,252,-12.464872859999998,0.2,1.867030382156372,0.01194217,0.0003,850,47.81746577136219,-0.7180045576766133,0.070703125,-0.0015966204227879643,0.7871512621641159
