time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/clip_range,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
94,10.13138805,266,192512,675.23,721,0.2,20.214885711669922,930,0.6568187475204468,-0.8201383812353015,71.7207079719752,0.011262128,0.0003,0.097802734375,-0.0013133413493051193
95,6.784798269999999,269,194560,667.62,722,0.2,46.34942626953125,940,0.6486122012138367,-0.6915367921814323,112.49319321215152,0.0060455324,0.0003,0.0587890625,-0.002587501563539263
96,6.742171269999999,272,196608,671.82,721,0.2,41.820953369140625,950,0.6200104355812073,-0.8771126227453351,135.41180206909775,0.0062206388,0.0003,0.0453125,-0.002814519152889261
97,9.62523594,275,198656,668.05,721,0.2,9.899116516113281,960,0.7860031574964523,-0.6391064307652414,57.33452348224819,0.01589992,0.0003,0.113037109375,-0.0021955916283332043
98,8.607978980000002,278,200704,668.05,720,0.2,79.08827209472656,970,0.6663160026073456,-0.7630914498120547,122.05783138275146,0.0077815806,0.0003,0.099267578125,-0.0030690528343257028
99,10.29400686,281,202752,662.79,720,0.2,1.7260342836380005,980,0.8205078691244125,-0.8581403031945228,36.712830014713106,0.01215067,0.0003,0.12353515625,-0.001283331841113977
100,8.93689276,284,204800,667.44,718,0.2,33.60324478149414,990,0.577439695596695,-0.8351428532972932,109.4167351141572,0.0054569007,0.0003,0.037744140625,-0.001401989327314368
101,8.49881367,287,206848,657.19,720,0.2,0.6914303302764893,1000,0.7633572816848755,-0.8212033523246646,52.07907233163714,0.009733833,0.0003,0.140283203125,-0.0018310195358935744
102,9.92411174,289,208896,664.62,721,0.2,42.65879440307617,1010,0.6871252655982971,-0.8254857424646616,156.04613144099713,0.0037616054,0.0003,0.021728515625,-0.0007783711276715622
103,11.198760550000001,293,210944,678.05,719,0.2,46.828006744384766,1020,0.583942711353302,-0.7448570990934968,109.8924682945013,0.0030948264,0.0003,0.012646484375,-0.001675180443271529
104,12.856592520000001,296,212992,683.57,719,0.2,0.9280678033828735,1030,0.7104219198226929,-0.8684008624404669,33.86836651656777,0.0036753216,0.0003,0.10009765625,-0.0016486096959852149
105,10.82261698,298,215040,682.64,719,0.2,6.1194047927856445,1040,0.6983807981014252,-0.7279550289735198,105.95378715693951,0.0058546024,0.0003,0.09951171875,-0.005437140536378138
106,10.576859570000002,301,217088,679.79,719,0.2,87.01654052734375,1050,0.6962132453918457,-0.8825760122388602,130.23251875191926,0.008569619,0.0003,0.090283203125,-0.004173432043171488
107,11.437530930000001,304,219136,684.46,718,0.2,85.52262115478516,1060,0.8063262850046158,-0.8562831150367856,93.30758010298014,0.0052919094,0.0003,0.05478515625,-0.002673776537994854
108,11.281328079999996,307,221184,681.33,718,0.2,0.8372854590415955,1070,0.9088142812252045,-0.7323640322312712,30.863822388090192,0.00652924,0.0003,0.06923828125,-0.001077740272739902
109,10.849872780000004,310,223232,683.9,717,0.2,2.923107147216797,1080,0.8235131055116653,-0.7491060093045234,83.66220388188958,0.00926649,0.0003,0.07373046875,-0.0028519412597233897
110,12.899517920000003,313,225280,684.14,718,0.2,14.754495620727539,1090,0.8642041385173798,-0.7231093132868409,52.83312459848821,0.0027990902,0.0003,0.0609375,-0.0015713910644990392
111,15.941688290000004,315,227328,677.27,719,0.2,24.062707901000977,1100,0.8787898495793343,-0.6945356385782361,68.27697644904256,0.029340487,0.0003,0.15908203125,-0.004470501098694513
112,14.30592002,319,229376,684.81,717,0.2,33.496578216552734,1110,0.4356445074081421,-0.7967748247087002,221.5180021136999,0.0030034068,0.0003,0.0087890625,-0.0006087266923714196
113,14.234039870000004,322,231424,690.74,716,0.2,1.8443025350570679,1120,0.768425926566124,-0.7789777372032404,65.90635962709784,0.004573684,0.0003,0.05927734375,-0.00124227863852866
114,14.37734142,325,233472,689.98,716,0.2,31.49680519104004,1130,0.7065864503383636,-0.6068627023138106,53.25965089835226,0.011191636,0.0003,0.115673828125,-0.004890170650469372
115,16.73218382,328,235520,695.25,717,0.2,49.88740158081055,1140,0.5359515845775604,-0.6508592476136983,129.60419737920165,0.006205738,0.0003,0.045068359375,-0.002501842920901254
116,20.465702420000003,332,237568,708.59,714,0.2,5.6585164070129395,1150,0.841384544968605,-0.8814374806359411,54.5911874756217,0.007157251,0.0003,0.08173828125,-0.0028067153209121896
117,19.84154348,335,239616,712.98,714,0.2,1.5947169065475464,1160,0.8056218475103378,-0.8100188689306378,48.851797360181806,0.009732709,0.0003,0.10419921875,0.0003965630938182585
118,20.013827129999996,338,241664,701.89,714,0.2,13.870850563049316,1170,0.7942342460155487,-0.7477414790540934,88.19373215511442,0.0033022172,0.0003,0.0533203125,-0.0005655785753333475
119,19.96401185,341,243712,701.89,714,0.2,45.397491455078125,1180,0.6344617903232574,-0.7851816706359387,174.87403745353222,0.005089117,0.0003,0.024365234375,-0.0019611238571087598
120,23.494308389999993,344,245760,704.2,712,0.2,2.896207809448242,1190,0.8871153965592384,-0.9434027614071965,36.04294834882021,0.0062954035,0.0003,0.070556640625,-0.0016362020927772392
121,20.74475254,348,247808,709.82,710,0.2,10.912724494934082,1200,0.5398394763469696,-0.7978175513446331,84.07995428144932,0.0029837205,0.0003,0.0244140625,-0.0007747370771539863
122,22.408316230000004,352,249856,708.04,709,0.2,6.544783115386963,1210,0.7219242751598358,-0.8009065825492143,117.82897474169731,0.0035042693,0.0003,0.04970703125,-0.0016149642025993672
123,25.665461750000006,354,251904,708.58,709,0.2,2.612703561782837,1220,0.7492823600769043,-0.7737612742930651,45.75322500169277,0.004758712,0.0003,0.074560546875,-0.0022646391415037216
1,-407.81590600000004,2,2048,1000.0,731,0.2,16.56186294555664,1230,0.7911023199558258,-0.822810360789299,58.413637007027866,0.0045979563,0.0003,0.041650390625,0.00019986944353149737
2,-385.44941750000004,5,4096,876.0,699,0.2,0.7462097406387329,1240,-0.032999634742736816,-0.8593690276145936,51.6769601162523,0.0077767354,0.0003,0.126904296875,0.0005002798803616315
3,-416.68428950000003,8,6144,917.3333333333334,689,0.2,58.39219284057617,1250,-0.0015717744827270508,-0.8204590998589992,77.05319796130061,0.006182597,0.0003,0.04189453125,-0.00040534431900596246
4,-424.47124662500005,11,8192,938.0,685,0.2,1.813610553741455,1260,0.5998459756374359,-0.7947905890643596,52.92139134258032,0.009455697,0.0003,0.091357421875,-0.003170525879249908
5,-470.1411050833333,14,10240,851.25,692,0.2,2.7220616340637207,1270,0.7892863005399704,-0.842871767655015,41.58864334449172,0.011098781,0.0003,0.154296875,-0.005144580235355534
6,-474.69264328571427,17,12288,855.7142857142857,715,0.2,216.6058349609375,1280,0.5322220921516418,-0.7772451046854257,187.4261915206909,0.0036188741,0.0003,0.0201171875,-0.0020214583462802695
7,-463.016552,20,14336,838.8235294117648,710,0.2,3.0503597259521484,1290,0.7600944489240646,-0.7486235802993179,73.8842569425702,0.0042002443,0.0003,0.02861328125,-0.0021671885220712283
8,-479.3105422105262,24,16384,855.7894736842105,672,0.2,32.9360466003418,1300,0.47636258602142334,-0.7933404942974448,127.56198383197189,0.005394443,0.0003,0.03896484375,-0.0033623853370954747
