time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/learning_rate
249856,382.89,275,58.82420628,906,122,-0.7366279706358909,0.0055572814,1210,-0.0031383333800476974,0.2,0.7035542130470276,199.91679252386092,0.03935546875,243.3236541748047,0.0003
251904,382.55,277,64.30114628000001,907,123,-0.625342496111989,0.006762606,1220,-0.004012899427470984,0.2,0.7781521826982498,143.21180612146856,0.06201171875,67.40718078613281,0.0003
2048,375.0,1,-156.46999999999997,1397,1,-0.654631276987493,0.0033630251,1230,-0.0025890458608046176,0.2,0.7143039405345917,206.16155114769936,0.034912109375,32.587364196777344,0.0003
4096,319.4166666666667,3,-204.24166666666667,1241,2,-0.7252063566818834,0.011164043,1240,-0.003343310739728622,0.2,0.3331785202026367,129.93253681063652,0.08681640625,46.73065948486328,0.0003
6144,310.42105263157896,5,-198.23157894736843,1184,3,-0.7874759217724204,0.002435734,1250,-0.004038767876772908,0.2,0.6612313389778137,223.3553807079792,0.11728515625,65.34288024902344,0.0003
8192,301.9259259259259,7,-187.56481481481484,1169,4,-0.729503407329321,0.006739459,1260,-0.0024238518984930125,0.2,0.7786494791507721,138.22538374066352,0.054150390625,87.5992431640625,0.0003
10240,312.875,9,-176.74843750000002,1125,5,-0.6956754751503468,0.0069858907,1270,-0.002857022127136588,0.2,0.8501514345407486,115.32362151741981,0.0744140625,55.28585433959961,0.0003
12288,310.87179487179486,10,-166.75256410256412,1122,6,-0.6631272185593844,0.0055832705,1280,-0.0017286080510530155,0.2,0.8899684622883797,74.97503785192967,0.043896484375,27.1886043548584,0.0003
14336,315.64444444444445,13,-169.1877777777778,1102,7,-0.6953806277364493,0.008484423,1290,-0.0004941393985063769,0.2,0.9672877863049507,32.39079996049404,0.0583984375,11.778793334960938,0.0003
16384,320.6666666666667,15,-168.39607843137253,1090,8,-0.5999634585343301,0.010321394,1300,-0.0028532690645079128,0.2,0.9000631496310234,124.3253986120224,0.058837890625,24.901996612548828,0.0003
18432,316.3103448275862,16,-167.06034482758622,1091,9,-0.6422280912287534,0.0052704033,1310,-0.0030727779514563734,0.2,0.8824505880475044,111.87034419775009,0.076953125,57.83135986328125,0.0003
20480,317.796875,18,-165.12187500000002,1082,10,-0.6593444362282753,0.0070020733,1320,-0.0016611108963843434,0.2,0.9055922031402588,112.26951278150082,0.04560546875,16.208011627197266,0.0003
22528,315.0,20,-161.10352112676057,1083,11,-0.5966926362365484,0.0045482377,1330,-0.003659851321936003,0.2,0.9211689904332161,108.34472016394139,0.031689453125,48.873435974121094,0.0003
24576,314.2435897435897,22,-158.4429487179487,1087,12,-0.5844719558022916,0.005306783,1340,-0.0029827866041159724,0.2,0.9531209245324135,93.02957494854927,0.041796875,12.01601791381836,0.0003
26624,313.6904761904762,24,-156.01011904761907,1088,13,-0.5707442520186305,0.0034494088,1350,-0.0024364269840589257,0.2,0.950326282531023,83.04645671248436,0.02958984375,14.380249977111816,0.0003
