time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss
178,-28.432885109999997,812.24,732,131072,64,0.11201171875,0.675956130027771,0.8333408534526825,15.788639114424587,0.009989602,-0.005380431220692117,0.0003,0.2,630,-0.8043648213148117
183,-28.221629779999997,823.54,725,133120,65,0.0943359375,0.6632089614868164,0.6822527348995209,17.349975319579244,0.010932895,-0.002671769859443884,0.0003,0.2,640,-0.7567299282178283
186,-27.851212749999995,823.54,725,135168,66,0.062939453125,0.8496962785720825,0.6584760546684265,9.985826018452645,0.0048640734,-0.0012856136097980197,0.0003,0.2,650,-0.7341912057250738
189,-26.15784564,831.31,723,137216,67,0.094580078125,0.5747601985931396,0.7846723198890686,13.109927386231721,0.00799185,-0.006424471918580821,0.0003,0.2,660,-0.7997643878683448
193,-23.908856609999997,846.56,720,139264,68,0.072265625,0.7772073149681091,0.6992628872394562,13.262456250190734,0.006197234,-0.0037152650664211253,0.0003,0.2,670,-0.7107866669073701
197,-20.690988919999995,868.46,716,141312,69,0.068896484375,0.4834447503089905,0.8054725229740143,7.665784973278642,0.006475696,0.00014954896687413566,0.0003,0.2,680,-0.806125009432435
200,-21.04701391,878.63,715,143360,70,0.07509765625,0.9029459953308105,0.6658449172973633,25.308714940585197,0.008477606,-0.008067990456038388,0.0003,0.2,690,-0.7321692135185003
202,-17.758868389999996,893.56,716,145408,71,0.027490234375,30.254348754882812,0.7091768085956573,58.68944941684604,0.0036801207,-0.003854061186211766,0.0003,0.2,700,-0.7447511151432991
206,-17.335478919999996,903.93,715,147456,72,0.0865234375,0.3608957529067993,0.8216536492109299,13.83498475216329,0.004461764,-0.0017255787999602035,0.0003,0.2,710,-0.7544038446620107
209,-14.261091729999999,917.51,714,149504,73,0.065380859375,7.172726154327393,0.7607264518737793,40.58296784758568,0.0055074776,-0.002761834599732538,0.0003,0.2,720,-0.7492336723953485
212,-15.518025499999997,917.51,712,151552,74,0.069970703125,0.6300345063209534,0.7234062552452087,10.379513781424611,0.0044978396,-0.003363560412253719,0.0003,0.2,730,-0.7844772830605506
216,-13.630147179999994,924.64,708,153600,75,0.09677734375,224.39892578125,0.6159091889858246,19.020555560663343,0.00722716,0.0010443039253004826,0.0003,0.2,740,-0.679360774345696
220,-13.290159229999999,935.04,706,155648,76,0.06875,0.3910441994667053,0.6550559997558594,12.613670083135366,0.0065129865,-0.002185795411787694,0.0003,0.2,750,-0.7409997507929802
223,-14.07911959,935.04,706,157696,77,0.05341796875,1.3460910320281982,0.6203702986240387,40.35461793579161,0.005677308,-0.003248492097191047,0.0003,0.2,760,-0.7246108155697584
226,-9.919602309999998,949.26,706,159744,78,0.0640625,0.6272755265235901,0.9363475143909454,16.50119519755244,0.0062728478,-0.0023191809668787755,0.0003,0.2,770,-0.746270889788866
229,-8.723930259999998,962.89,704,161792,79,0.0876953125,0.8921160101890564,0.7545976638793945,19.34083144608885,0.005360376,-0.0026978314330335707,0.0003,0.2,780,-0.6948227738961578
232,-8.73548299,962.71,706,163840,80,0.0556640625,0.9240913987159729,0.7112306356430054,16.00285153929144,0.0040853033,0.00031817654380574825,0.0003,0.2,790,-0.6293595690280199
234,-5.2220970399999995,976.04,706,165888,81,0.0724609375,1.7132707834243774,0.5873640477657318,69.82642464637756,0.008203128,0.0011811016775027383,0.0003,0.2,800,-0.7173657419160009
